patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,12874.0,18409.0,13036.0,0,0,0,3.6,3.01,2.05
a2,11014.0,22477.0,14086.0,0,0,0,4.42,2.97,1.76
a3,10136.0,27187.0,15639.0,0,0,0,5.12,3.01,1.46
a4,9882.0,27428.0,15339.0,0,0,0,5.65,3.26,1.6
a5,8242.0,8749.0,6760.0,0,0,0,12.71,10.97,7.93
a6,7255.0,9790.0,7263.0,0,0,0,15.07,11.1,6.97
a7,6735.0,11609.0,7890.0,0,0,0,17.42,11.1,6.06
a8,6467.0,15134.0,8712.0,0,0,0,20.36,11.07,5.12
a9,5969.0,4120.0,3307.0,0,0,0,40.62,39.94,31.49
a10,5767.0,4208.0,3457.0,0,0,0,42.88,40.04,30.47
a11,5545.0,4235.0,3478.0,0,0,0,45.09,40.03,29.12
a12,5416.0,4348.0,3623.0,0,0,0,46.77,39.85,28.06
a13,5202.0,2999.0,2264.0,0,0,0,71.78,75.46,63.09
a14,5140.0,3035.0,2299.0,0,0,0,71.91,73.14,62.17
a15,5101.0,2973.0,2271.0,0,0,0,74.11,76.98,63.06
a16,5136.0,3017.0,2284.0,0,0,0,72.73,75.12,62.6
a17,5072.0,2947.0,2248.0,0,0,0,74.05,76.81,62.33
a18,5001.0,2898.0,2183.0,0,0,0,74.16,77.19,62.97
a19,5136.0,2975.0,2157.0,0,0,0,69.16,71.7,62.05
a20,18549.0,30900.0,21775.0,0,0,0,1.37,1.12,0.78
a21,10338.0,28034.0,22538.0,0,0,0,5.17,3.27,0.85
a22,8293.0,25426.0,22721.0,0,0,0,10.35,5.9,0.91
b1,13535.0,19194.0,15353.0,0,0,0,3.35,2.93,1.63
b2,11906.0,23211.0,18908.0,0,0,0,3.98,2.94,1.07
b3,10884.0,27440.0,22340.0,0,0,0,4.71,3.09,0.74
b4,10632.0,28389.0,23485.0,0,0,0,5.08,3.21,0.69
b5,8098.0,9328.0,8540.0,0,0,0,12.86,11.1,5.86
b6,7370.0,11021.0,11120.0,0,0,0,14.66,11.01,3.94
b7,6986.0,14056.0,15395.0,0,0,0,16.97,10.94,2.28
b8,6965.0,19011.0,20856.0,0,0,0,19.7,11.01,1.2
b9,5999.0,4203.0,3498.0,0,0,0,40.39,40.01,29.68
b10,5788.0,4367.0,3858.0,0,0,0,42.59,40.11,26.44
b11,5581.0,4462.0,4116.0,0,0,0,44.29,39.94,23.52
b12,5454.0,4643.0,4496.0,0,0,0,45.98,39.89,21.17
b13,5424.0,3057.0,2242.0,0,0,0,65.55,71.21,61.79
b14,5168.0,3133.0,2319.0,0,0,0,68.8,67.99,60.07
b15,5121.0,3077.0,2527.0,0,0,0,71.26,74.48,51.88
b16,5487.0,3353.0,2592.0,0,0,0,57.82,60.0,49.14
