patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,28737.0,30465.0,28930.0,0,0,0,1540.89555006,1394.0,1372.89184178
a2,25252.0,35135.0,29920.0,0,0,0,1756.6170755,1383.0,1266.24466391
a3,23400.0,40785.0,32372.0,0,0,0,1921.44012945,1375.0,1153.39805825
a4,22302.0,40225.0,31040.0,0,0,0,2056.4045677,1440.0,1201.80097879
a5,17870.0,17320.0,15237.0,0,0,0,4144.71662125,3701.0,3359.24856191
a6,15172.0,19777.0,16600.0,0,0,0,4771.84104938,3739.0,3029.28240741
a7,13085.0,22977.0,17465.0,0,0,0,5314.16666667,3682.0,2670.5
a8,11465.0,28487.0,18412.0,0,0,0,5988.85311475,3643.0,2312.40918033
a9,11262.0,7622.0,7075.0,0,0,0,12155.5568581,11980.0,10975.8147714
a10,10462.0,7927.0,7297.0,0,0,0,12713.7809187,12000.0,10621.9081272
a11,9897.0,8390.0,7715.0,0,0,0,13202.6743499,11930.0,10121.462766
a12,9547.0,8730.0,7960.0,0,0,0,13693.3769322,11940.0,9860.08323424
a13,9430.0,5325.0,5242.0,0,0,0,21174.6122449,22170.0,21290.9562682
a14,9205.0,5460.0,5295.0,0,0,0,21130.7833284,21480.0,20883.1569613
a15,9205.0,5315.0,5315.0,0,0,0,21783.4484761,22590.0,21199.8461538
a16,9195.0,5305.0,5177.0,0,0,0,21326.0961313,21970.0,21094.2907386
a17,9087.0,5300.0,5285.0,0,0,0,21655.848564,22410.0,20947.2062663
a18,8855.0,5065.0,4932.0,0,0,0,21686.7024673,22510.0,21144.371553
a19,9045.0,5107.0,4772.0,0,0,0,20181.7634855,20830.0,20725.0474215
a20,40205.0,44828.0,45863.0,0,0,0,677.534555308,603.3,642.340452662
a21,23230.0,41413.0,42058.0,0,0,0,1736.39698492,1221.0,651.825598581
a22,16292.0,39193.0,40033.0,0,0,0,3086.12137203,1944.0,669.08707124
b1,29772.0,31640.0,33023.0,0,0,0,1469.44946809,1371.0,1210.96897163
b2,27352.0,36848.0,38605.0,0,0,0,1616.66187262,1361.0,1017.054887
b3,25445.0,42265.0,43965.0,0,0,0,1779.34856974,1371.0,892.706576231
b4,24517.0,43098.0,44553.0,0,0,0,1889.49837806,1421.0,880.005897965
b5,17570.0,18620.0,19040.0,0,0,0,4135.86095346,3702.0,2667.24687855
b6,15472.0,22045.0,24252.0,0,0,0,4610.41608294,3677.0,2015.18968899
b7,13692.0,27442.0,31870.0,0,0,0,5131.65018264,3623.0,1425.17561113
b8,12540.0,35063.0,39340.0,0,0,0,5745.68917749,3593.0,1030.71919192
b9,11295.0,7750.0,7425.0,0,0,0,12015.8026467,11930.0,10375.2560414
b10,10612.0,8292.0,8352.0,0,0,0,12482.5843015,11880.0,9301.3431567
b11,9910.0,8710.0,9025.0,0,0,0,12913.716443,11850.0,8373.86744966
b12,9577.0,9222.0,9940.0,0,0,0,13307.1124031,11830.0,7614.8255814
b13,10207.0,5460.0,5327.0,0,0,0,19217.069371,20630.0,20793.7301587
b14,9355.0,5747.0,5432.0,0,0,0,19972.9593693,19710.0,20080.5336568
b15,9270.0,5645.0,6125.0,0,0,0,20622.7197117,21530.0,17536.7729415
b16,10345.0,6210.0,6137.0,0,0,0,16861.7990654,17390.0,16536.7523364
b17,9280.0,6125.0,6167.0,0,0,0,18892.7752028,18730.0,16635.6257242
b18,9972.0,5555.0,5827.0,0,0,0,18277.5034868,19850.0,17242.0920502
b19,9812.0,5442.0,4795.0,0,0,0,17538.2760736,17940.0,19552.398773
b20,30870.0,43895.0,45830.0,0,0,0,1053.00981267,827.4,579.893487957
b21,18177.0,41168.0,41420.0,0,0,0,2565.17791411,1644.0,593.626643295
b22,10655.0,11225.0,11700.0,0,0,0,8353.68619934,7262.0,4269.30832421
c1,27460.0,26330.0,29260.0,0,0,0,1768.28067701,1735.0,1390.93653032
c2,26542.0,29820.0,37158.0,0,0,0,1520.63736829,1376.0,639.728604472
c3,26075.0,33405.0,46983.0,0,0,0,1719.22832443,1511.0,611.622679888
c4,25487.0,33070.0,48123.0,0,0,0,1782.17157712,1551.0,506.887843526
c5,13522.0,12030.0,13692.0,0,0,0,6812.41986337,6531.0,3816.32790331
c6,12380.0,14820.0,22407.0,0,0,0,7333.96819961,6614.0,2231.09246575
c7,12125.0,18885.0,38040.0,0,0,0,7802.91824197,6565.0,1144.84168242
c8,12167.0,22035.0,50423.0,0,0,0,8135.79843861,6639.0,931.3761533
c9,10547.0,7072.0,7212.0,0,0,0,13562.9642058,13670.0,10994.1051454
c10,10047.0,7552.0,8492.0,0,0,0,13809.5832213,13630.0,9210.0537779
c11,9547.0,8000.0,9940.0,0,0,0,14117.4164291,13630.0,7572.61466701
c12,9387.0,8587.0,11550.0,0,0,0,14248.7484165,13490.0,6439.10818343
c13,11357.0,5635.0,5445.0,0,0,0,16961.1124331,18770.0,20098.7507436
c14,9515.0,6205.0,5507.0,0,0,0,18146.2688442,17160.0,18588.2035176
c15,9290.0,5907.0,6882.0,0,0,0,19267.009544,20210.0,14101.9936373
c16,11507.0,7080.0,7062.0,0,0,0,13117.1403662,13530.0,12672.8247602
c17,9440.0,6957.0,7127.0,0,0,0,16403.1257176,15670.0,12903.9121699
c18,11177.0,6035.0,6755.0,0,0,0,15119.7481918,17140.0,13655.0656309
c19,11027.0,6030.0,4985.0,0,0,0,14366.1102159,14530.0,17929.5423783
c20,38575.0,44568.0,49080.0,0,0,0,698.445505618,609.9,495.025280899
c21,11272.0,16957.0,20980.0,0,0,0,6467.26647261,5060.0,1862.51918497
c22,10315.0,8997.0,9260.0,0,0,0,9716.66776226,8963.0,5869.77074774
d1,29110.0,25892.0,30230.0,0,0,0,1614.60463193,1667.0,1314.48028674
d2,29717.0,28050.0,38733.0,0,0,0,1582.53046409,1660.0,1061.33264195
d3,30507.0,30607.0,49080.0,0,0,0,1588.4334817,1675.0,878.505192878
d4,29387.0,30050.0,50338.0,0,0,0,1771.58262351,1867.0,905.101971283
d5,13532.0,9972.0,11635.0,0,0,0,7852.75951333,8170.0,5126.60626456
d6,13405.0,11570.0,18977.0,0,0,0,7731.9558308,8131.0,3139.14746436
d7,14107.0,14537.0,33140.0,0,0,0,7581.05595161,8071.0,1783.67530784
d8,15300.0,18907.0,54015.0,0,0,0,7487.87515502,8020.0,1069.22281935
d9,10250.0,6460.0,6755.0,0,0,0,15022.4101714,15560.0,12424.7761194
d10,10015.0,6742.0,7915.0,0,0,0,14954.9332635,15600.0,10272.0753729
d11,9897.0,7112.0,9375.0,0,0,0,14723.6377246,15420.0,8329.41616766
d12,9940.0,8785.0,17112.0,0,0,0,14469.8237394,15350.0,4428.27978581
d13,12700.0,5732.0,5380.0,0,0,0,14810.1086957,16920.0,19356.8478261
d14,9642.0,6860.0,5647.0,0,0,0,16347.5246225,14680.0,17166.8286277
d15,9322.0,6247.0,7990.0,0,0,0,18300.8244275,19210.0,11369.5826972
d16,12977.0,8325.0,8130.0,0,0,0,10065.2053597,10330.0,9695.09466939
d17,9505.0,7980.0,8087.0,0,0,0,14196.241074,12970.0,9880.31705227
d18,12497.0,6477.0,7757.0,0,0,0,12563.722966,14900.0,10898.7899073
d19,12657.0,6792.0,5187.0,0,0,0,11627.0943396,11540.0,16421.2418525
d20,15450.0,23500.0,30592.0,0,0,0,3926.20380148,3076.0,1118.17634636
d21,13692.0,11335.0,11945.0,0,0,0,6130.00053952,5944.0,3960.52872943
d22,10112.0,8055.0,8652.0,0,0,0,10538.8707519,10140.0,6455.19400589
e1,31350.0,25422.0,30517.0,0,0,0,1407.42179072,1544.0,1212.54800431
e2,33833.0,26975.0,40013.0,0,0,0,1315.63069307,1546.0,965.101980198
e3,36368.0,29095.0,51138.0,0,0,0,1261.59275598,1565.0,807.0269329
e4,36188.0,28902.0,53023.0,0,0,0,1370.7276068,1714.0,851.882406982
e5,20405.0,14725.0,17527.0,0,0,0,3912.51686559,4333.0,2997.34769071
e6,22142.0,16285.0,26585.0,0,0,0,3622.82933579,4349.0,2058.15221402
e7,24870.0,18545.0,39470.0,0,0,0,3175.94313968,4188.0,1263.99258344
e8,28195.0,22002.0,56913.0,0,0,0,3068.46971473,4292.0,1025.61860102
e9,12497.0,7762.0,8140.0,0,0,0,10563.4212696,11230.0,9066.70513877
e10,12902.0,8160.0,9642.0,0,0,0,10263.8896121,11280.0,7823.46263994
e11,13350.0,8485.0,11187.0,0,0,0,9676.59921027,10980.0,6441.13030602
e12,14875.0,9567.0,17315.0,0,0,0,8704.93621622,10890.0,3951.00972973
e13,14460.0,5955.0,5455.0,0,0,0,12802.1338655,15190.0,18645.8765735
e14,9770.0,7740.0,5860.0,0,0,0,14639.8727648,12430.0,15674.281293
e15,9280.0,6685.0,9407.0,0,0,0,17193.9618955,18040.0,8830.52271617
e16,14790.0,9765.0,9417.0,0,0,0,7529.6489083,7684.0,7156.07452693
e17,9642.0,9332.0,9407.0,0,0,0,12289.0324417,10660.0,7386.76721685
e18,14065.0,6920.0,8907.0,0,0,0,10194.8959366,12680.0,8542.34886026
e19,14620.0,7707.0,5327.0,0,0,0,9129.93922652,8837.0,14581.8637201
