patch r g b
a1 24742 34535 30890
a2 20767 38388 33085
a3 18285 41908 35570
a4 17517 42198 34813
a5 14362 20782 17080
a6 12030 24092 18497
a7 10580 28520 20117
a8 9280 34460 21770
a9 9162 8752 8407
a10 8630 9257 8780
a11 8140 9797 9142
a12 7787 10180 9375
a13 7542 5460 5432
a14 7362 5687 5540
a15 7395 5485 5530
a16 7415 5540 5487
a17 7265 5427 5475
a18 7212 5380 5412
a19 7617 5690 5465
a20 34610 47323 45340
a21 18060 41915 43475
a22 12657 41040 43155
b1 25487 35200 34120
b2 22377 39628 39875
b3 19947 43465 44903
b4 19052 44545 46578
b5 14075 22072 20927
b6 12242 26527 26787
b7 10815 32850 35123
b8 9952 40965 44125
b9 9227 8895 8842
b10 8662 9652 9982
b11 8267 10260 11027
b12 7852 10680 11795
b13 8247 5677 5647
b14 7542 6177 5795
b15 7490 5902 6572
b16 8320 6547 6500
b17 7362 6365 6435
b18 8075 5812 6275
b19 8182 6142 5540
b20 25487 45208 46768
b21 13862 42340 44285
b22 8970 13537 14385
c1 23462 29877 30325
c2 21992 33170 37838
c3 21237 36543 46150
c4 20447 36250 47483
c5 11112 14042 16227
c6 10250 17335 26095
c7 9727 21832 42645
c8 9867 25350 54685
c9 8662 8022 8577
c10 8320 8687 10260
c11 8045 9317 12285
c12 7872 9855 13980
c13 9237 5862 5690
c14 7607 6822 5945
c15 7617 6340 7787
c16 9322 7760 7872
c17 7532 7457 7607
c18 8897 6265 7297
c19 9025 6695 5540
c20 33235 47348 47908
c21 9407 20825 24720
c22 8832 10877 11795
d1 25327 29340 30667
d2 25412 31300 38128
d3 25967 33463 46023
d4 24837 32893 47578
d5 11272 11630 14427
d6 11305 13567 22855
d7 11720 16722 38648
d8 12572 20847 58608
d9 8460 7157 7885
d10 8342 7547 9440
d11 8320 7967 11325
d12 8492 9695 19892
d13 10345 6020 5690
d14 7767 7797 6190
d15 7627 6742 9162
d16 10612 9347 9290
d17 7640 8970 9185
d18 10047 6817 8492
d19 10185 7637 5667
d20 12370 28375 33980
d21 11432 13477 14460
d22 8640 9615 11080
e1 27875 29100 31275
e2 30210 30532 39075
e3 32905 32217 46895
e4 32552 31647 48528
e5 17145 16585 19402
e6 18807 18032 28907
e7 21427 20197 42665
e8 24710 22722 57265
e9 10315 8742 9547
e10 10547 8837 10975
e11 10985 9205 12775
e12 12337 10217 19157
e13 11572 6115 5550
e14 7862 8885 6350
e15 7702 7292 11027
e16 11997 11135 10900
e17 7830 10840 10995
e18 11497 7527 10217
e19 11730 8820 5912
e20 9760 30292 51000
e21 11602 23782 36103
e22 9057 14565 19562
f1 40738 39820 38980
f2 45000 39693 41855
f3 47685 39933 46118
f4 48378 38920 46183
f5 25210 20505 20917
f6 31892 20197 24177
f7 39788 20217 28057
f8 45798 21150 35878
f9 10645 8522 8672
f10 11240 8300 8897
f11 11945 8337 9355
f12 14330 8070 10335
f13 13435 6417 5550
f14 7927 10255 6542
f15 7715 7845 13127
f16 13990 13452 12742
f17 7927 13180 13105
f18 13405 8475 12402
f19 13797 10162 6062
f20 10762 13340 16005
f21 8927 12470 17080
f22 8555 10440 13275
g1 37243 31682 28460
g2 43093 30395 27480
g3 46695 29137 26755
g4 47153 28445 26490
g5 22377 16500 15077
g6 28430 15445 14447
g7 36273 14347 13532
g8 43240 14020 13330
g9 10815 8380 8300
g10 11677 8130 8182
g11 12625 8005 8065
g12 15780 7357 7415
g13 15545 6680 5487
g14 8065 12120 6787
g15 7777 8625 16057
g16 16410 16765 15237
g17 8097 16477 15855
g18 15620 9477 14937
g19 16237 11810 6190
g20 9237 11005 14640
g21 9237 12200 19552
g22 8812 16670 47365
h1 35483 30682 24602
h2 41323 28887 20820
h3 46193 27587 18145
h4 46823 25880 16867
h5 21555 16510 13212
h6 26947 14862 10877
h7 34653 13537 8940
h8 42293 12737 7682
h9 10792 8342 7735
h10 11485 8097 7362
h11 12370 7762 6765
h12 15025 6987 5475
h13 18072 6850 5337
h14 8310 14635 7137
h15 7915 9667 20032
h16 19755 20932 18187
h17 8352 20872 19190
h18 18530 10687 18262
h19 19617 14027 6285
h20 8992 9797 14650
