patch r g b
a1 2948 4893 3474
a2 2500 5411 3663
a3 2207 5943 4007
a4 2133 6009 3976
a5 1716 2887 1934
a6 1440 3295 2061
a7 1263 3860 2208
a8 1143 4737 2446
a9 1101 1208 1009
a10 1025 1244 1026
a11 959 1291 1046
a12 903 1327 1054
a13 882 736 634
a14 859 758 643
a15 860 731 633
a16 864 739 627
a17 854 723 627
a18 849 714 618
a19 873 731 598
a20 4139 6935 5139
a21 2206 6113 5051
a22 1573 6127 5121
b1 3069 5047 3863
b2 2717 5693 4560
b3 2418 6247 5157
b4 2335 6424 5344
b5 1672 3059 2381
b6 1463 3661 2997
b7 1298 4529 3914
b8 1230 5741 4969
b9 1103 1224 1063
b10 1016 1277 1141
b11 956 1339 1229
b12 905 1392 1302
b13 942 736 618
b14 858 790 638
b15 856 767 721
b16 951 851 716
b17 863 839 728
b18 938 773 711
b19 933 787 606
b20 3051 6511 5233
b21 1719 6248 5218
b22 1073 1900 1676
c1 2824 4291 3469
c2 2649 4783 4346
c3 2544 5293 5361
c4 2453 5257 5503
c5 1312 1925 1833
c6 1213 2406 2979
c7 1166 3155 4954
c8 1195 3731 6408
c9 1026 1094 1011
c10 972 1161 1180
c11 927 1232 1364
c12 903 1306 1541
c13 1040 752 614
c14 865 860 648
c15 862 818 842
c16 1051 990 829
c17 867 966 842
c18 1035 837 820
c19 1032 866 609
c20 3976 6905 5434
c21 1140 2989 2893
c22 1032 1489 1341
d1 3042 4264 3559
d2 3056 4553 4374
d3 3101 4930 5398
d4 2956 4829 5568
d5 1311 1577 1594
d6 1318 1876 2557
d7 1381 2457 4496
d8 1502 3221 6941
d9 982 956 905
d10 964 1007 1076
d11 961 1070 1279
d12 981 1368 2254
d13 1159 777 614
d14 870 956 654
d15 862 877 994
d16 1189 1189 979
d17 880 1153 1011
d18 1158 919 957
d19 1152 972 612
d20 1452 3953 3785
d21 1333 1855 1639
d22 995 1291 1226
e1 3334 4222 3540
e2 3610 4472 4455
e3 3878 4753 5383
e4 3842 4695 5664
e5 1993 2295 2149
e6 2187 2548 3229
e7 2504 2975 4881
e8 2904 3528 6706
e9 1194 1177 1099
e10 1211 1194 1241
e11 1268 1258 1460
e12 1425 1459 2212
e13 1304 804 607
e14 878 1088 670
e15 870 958 1202
e16 1354 1443 1160
e17 894 1398 1199
e18 1305 1013 1126
e19 1304 1110 616
e20 1165 4356 5861
e21 1376 3455 4213
e22 1061 2026 2232
f1 4895 5789 4370
f2 5444 5884 4832
f3 5731 5891 5216
f4 5802 5802 5356
f5 2961 2914 2359
f6 3725 2924 2745
f7 4661 3024 3240
f8 5433 3291 4165
f9 1238 1149 1019
f10 1294 1121 1015
f11 1379 1129 1079
f12 1644 1120 1170
f13 1499 843 603
f14 891 1260 693
f15 875 1057 1460
f16 1579 1766 1374
f17 909 1714 1436
f18 1518 1151 1356
f19 1530 1291 629
f20 1218 1784 1757
f21 1029 1711 1929
f22 976 1400 1458
g1 4429 4630 3283
g2 5175 4503 3204
g3 5572 4327 3095
g4 5615 4237 3099
g5 2610 2320 1708
g6 3312 2220 1661
g7 4236 2152 1592
g8 5087 2166 1595
g9 1242 1113 947
g10 1341 1091 931
g11 1435 1068 906
g12 1798 1015 845
g13 1734 885 599
g14 910 1498 719
g15 882 1173 1784
g16 1859 2207 1627
g17 936 2170 1737
g18 1768 1313 1647
g19 1813 1532 650
g20 1033 1445 1598
g21 1051 1678 2216
g22 1034 2617 5742
h1 4228 4497 2878
h2 4939 4275 2468
h3 5448 4025 2098
h4 5540 3794 1957
h5 2484 2289 1485
h6 3107 2102 1253
h7 4008 1995 1074
h8 4925 1940 931
h9 1235 1092 874
h10 1301 1054 811
h11 1395 1019 752
h12 1718 957 624
h13 2022 934 588
h14 933 1835 760
h15 891 1325 2225
h16 2253 2804 1953
h17 968 2766 2100
h18 2115 1529 2056
h19 2201 1838 663
h20 1001 1298 1587
h21 1174 1296 1173
h22 1135 1418 1955
i1 3310 3741 2076
i2 3659 3508 1605
i3 4146 3287 1299
i4 5205 2936 957
i5 1881 2025 1314
i6 1996 1932 1104
i7 2109 1873 975
i8 2673 1650 682
i9 1169 1116 879
i10 1175 1081 808
i11 1191 1059 747
i12 1230 1010 639
i13 2397 992 579
i14 958 2259 791
i15 909 1537 2858
i16 2797 3602 2428
i17 1016 3593 2649
i18 2551 1800 2619
i19 2753 2279 700
i20 1047 1206 1588
i21 2261 2603 3917
i22 1423 1180 1356
j1 4109 5302 2960
j2 4088 5031 2242
j3 4299 4677 1701
j4 5385 3870 1017
j5 1993 2451 1482
j6 1948 2401 1243
j7 1934 2346 1050
