patch r g b
a1 1538 16931 1884
a2 1649 18651 2073
a3 1735 20061 2221
a4 1727 20008 2214
a5 901 9836 1090
a6 1001 11288 1249
a7 1133 13090 1443
a8 1333 15826 1730
a9 428 4267 477
a10 438 4465 500
a11 457 4764 532
a12 471 4982 553
a13 298 2770 313
a14 306 2918 328
a15 293 2753 310
a16 295 2800 312
a17 293 2784 312
a18 290 2712 305
a19 299 2811 313
a20 2012 22096 2432
a21 1716 19712 2208
a22 1581 18475 2078
b1 1550 17084 1919
b2 1665 18675 2092
b3 1749 19986 2239
b4 1737 20064 2255
b5 918 10037 1132
b6 1021 11488 1309
b7 1186 13741 1569
b8 1392 16451 1872
b9 425 4256 478
b10 436 4486 502
b11 453 4720 533
b12 467 4952 561
b13 304 2813 315
b14 320 3126 345
b15 301 2849 323
b16 334 3200 357
b17 329 3220 357
b18 308 2847 322
b19 325 3065 340
b20 1879 21174 2338
b21 1648 19237 2154
b22 610 6578 740
c1 1309 14112 1589
c2 1380 15114 1719
c3 1437 15993 1834
c4 1392 15499 1780
c5 593 6175 709
c6 634 6829 813
c7 684 7454 929
c8 722 7982 1004
c9 387 3812 431
c10 392 3951 450
c11 401 4068 469
c12 408 4189 490
c13 315 2842 317
c14 345 3420 378
c15 305 2919 335
c16 377 3664 407
c17 362 3664 409
c18 321 2964 335
c19 360 3421 374
c20 1971 21834 2399
c21 823 9253 1057
c22 501 5274 591
d1 1294 13747 1556
d2 1329 14151 1616
d3 1348 14356 1660
d4 1282 13622 1588
d5 506 5048 581
d6 509 5121 620
d7 502 5026 658
d8 506 5059 699
d9 349 3359 384
d10 352 3402 393
d11 353 3427 403
d12 351 3383 431
d13 327 2887 322
d14 377 3840 420
d15 308 2951 343
d16 437 4325 481
d17 408 4232 472
d18 339 3078 351
d19 401 3858 418
d20 1051 11912 1361
d21 608 6417 718
d22 447 4597 517
e1 1294 13481 1524
e2 1302 13336 1533
e3 1297 13171 1539
e4 1261 12662 1495
e5 718 7191 827
e6 698 6807 819
e7 679 6337 810
e8 677 6007 804
e9 415 3975 451
e10 415 3941 453
e11 414 3909 455
e12 398 3606 451
e13 338 2912 323
e14 419 4332 470
e15 312 2999 353
e16 510 5101 565
e17 471 5022 557
e18 356 3179 369
e19 450 4395 470
e20 945 10831 1287
e21 862 9596 1131
e22 593 6389 740
f1 1770 18815 2098
f2 1753 18456 2071
f3 1734 18065 2036
f4 1694 17486 1985
f5 944 9232 1045
f6 919 8382 969
f7 920 7874 936
f8 913 7508 921
f9 422 3965 447
f10 414 3850 434
f11 410 3748 429
f12 396 3370 392
f13 356 2955 327
f14 475 5042 542
f15 319 3060 367
f16 603 6139 677
f17 553 6051 675
f18 380 3333 392
f19 518 5086 539
f20 565 5942 672
f21 513 5423 627
f22 450 4677 534
g1 1493 15475 1725
g2 1479 14969 1657
g3 1443 14489 1604
g4 1413 14018 1557
g5 796 7642 850
g6 791 6937 776
g7 792 6404 719
g8 796 6097 685
g9 423 3964 446
g10 413 3777 424
g11 411 3700 416
g12 396 3216 362
g13 377 2989 329
g14 551 6013 641
g15 324 3132 387
g16 735 7625 839
g17 665 7443 830
g18 408 3479 416
g19 609 6011 631
g20 452 4664 537
g21 470 4894 580
g22 408 4199 575
h1 1502 15633 1719
h2 1479 15099 1648
h3 1467 14726 1597
h4 1392 13709 1481
h5 816 7949 876
h6 800 7173 782
h7 800 6526 709
h8 795 6145 661
h9 427 3995 447
h10 420 3886 432
h11 411 3719 410
h12 403 3314 364
h13 402 3023 331
h14 654 7300 769
h15 332 3200 411
h16 916 9585 1054
h17 806 9209 1026
h18 444 3664 447
h19 733 7250 752
h20 401 4026 469
h21 448 4489 501
h22 403 3967 473
i1 1285 13349 1459
i2 1255 12760 1368
i3 1229 12149 1290
i4 1173 11016 1153
i5 734 7374 811
i6 730 7222 787
i7 723 7032 756
i8 704 6209 656
i9 432 4137 462
i10 428 4093 453
i11 425 4082 447
i12 416 3917 427
i13 434 3029 332
i14 783 8922 932
i15 344 3324 441
i16 1174 12415 1361
i17 992 11486 1281
i18 495 3872 488
