patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,12514.0,16531.0,12258.0,0,0,0,3.6,3.01,2.05
a2,11183.0,18998.0,12521.0,0,0,0,4.42,2.97,1.76
a3,10336.0,21606.0,13303.0,0,0,0,5.12,3.01,1.46
a4,9955.0,21816.0,12992.0,0,0,0,5.65,3.26,1.6
a5,7723.0,9057.0,6227.0,0,0,0,12.71,10.97,7.93
a6,6524.0,10128.0,6569.0,0,0,0,15.07,11.1,6.97
a7,5652.0,11782.0,6979.0,0,0,0,17.42,11.1,6.06
a8,4994.0,14525.0,7385.0,0,0,0,20.36,11.07,5.12
a9,4843.0,3926.0,2839.0,0,0,0,40.62,39.94,31.49
a10,4572.0,4124.0,3034.0,0,0,0,42.88,40.04,30.47
a11,4378.0,4385.0,3230.0,0,0,0,45.09,40.03,29.12
a12,4196.0,4549.0,3341.0,0,0,0,46.77,39.85,28.06
a13,4082.0,2780.0,2082.0,0,0,0,71.78,75.46,63.09
a14,3991.0,2804.0,2066.0,0,0,0,71.91,73.14,62.17
a15,3965.0,2730.0,2060.0,0,0,0,74.11,76.98,63.06
a16,3957.0,2723.0,2017.0,0,0,0,72.73,75.12,62.6
a17,3923.0,2710.0,2038.0,0,0,0,74.05,76.81,62.33
a18,3919.0,2671.0,2003.0,0,0,0,74.16,77.19,62.97
a19,4074.0,2768.0,2000.0,0,0,0,69.16,71.7,62.05
a20,18984.0,26252.0,20884.0,0,0,0,1.37,1.12,0.78
a21,11131.0,23902.0,19066.0,0,0,0,5.17,3.27,0.85
a22,7922.0,22756.0,18215.0,0,0,0,10.35,5.9,0.91
b1,13110.0,17274.0,13966.0,0,0,0,3.35,2.93,1.63
b2,12152.0,20084.0,16445.0,0,0,0,3.98,2.94,1.07
b3,11347.0,22945.0,18562.0,0,0,0,4.71,3.09,0.74
b4,10983.0,23581.0,19066.0,0,0,0,5.08,3.21,0.69
b5,7597.0,9782.0,7893.0,0,0,0,12.86,11.1,5.86
b6,6672.0,11532.0,9970.0,0,0,0,14.66,11.01,3.94
b7,5927.0,14428.0,13075.0,0,0,0,16.97,10.94,2.28
b8,5476.0,18362.0,16151.0,0,0,0,19.7,11.01,1.2
b9,4832.0,3967.0,2990.0,0,0,0,40.39,40.01,29.68
b10,4558.0,4259.0,3398.0,0,0,0,42.59,40.11,26.44
b11,4353.0,4562.0,3794.0,0,0,0,44.29,39.94,23.52
b12,4201.0,4824.0,4165.0,0,0,0,45.98,39.89,21.17
b13,4426.0,2874.0,2129.0,0,0,0,65.55,71.21,61.79
b14,4049.0,2970.0,2122.0,0,0,0,68.8,67.99,60.07
b15,4002.0,2870.0,2325.0,0,0,0,71.26,74.48,51.88
b16,4414.0,3105.0,2303.0,0,0,0,57.82,60.0,49.14
b17,3987.0,3069.0,2338.0,0,0,0,65.61,64.93,49.68
b18,4362.0,2912.0,2310.0,0,0,0,62.84,68.83,51.29
b19,4388.0,2948.0,2014.0,0,0,0,60.77,62.73,59.44
b20,14648.0,25537.0,20850.0,0,0,0,2.87,2.06,0.8
b21,8787.0,23942.0,18985.0,0,0,0,8.37,4.88,0.88
b22,4963.0,6297.0,5225.0,0,0,0,29.02,24.67,11.91
c1,11940.0,14226.0,12285.0,0,0,0,4.49,4.31,2.29
c2,11700.0,16296.0,15911.0,0,0,0,4.9,4.37,1.42
c3,11634.0,18451.0,20195.0,0,0,0,5.13,4.3,0.82
c4,11208.0,18087.0,20515.0,0,0,0,5.7,4.77,0.85
c5,5816.0,6242.0,5569.0,0,0,0,23.78,22.59,10.89
c6,5278.0,7681.0,9136.0,0,0,0,25.55,22.41,5.5
c7,5154.0,10204.0,16022.0,0,0,0,27.72,22.42,2.39
c8,5233.0,12068.0,21278.0,0,0,0,28.7,22.23,1.28
c9,4513.0,3639.0,2901.0,0,0,0,46.89,47.28,32.4
c10,4337.0,3967.0,3543.0,0,0,0,48.17,47.13,26.63
c11,4213.0,4268.0,4209.0,0,0,0,49.81,47.42,21.58
c12,4117.0,4550.0,4824.0,0,0,0,50.47,46.85,18.1
c13,4915.0,2986.0,2185.0,0,0,0,58.24,65.94,60.94
c14,4117.0,3183.0,2156.0,0,0,0,64.18,60.73,57.45
c15,4009.0,3010.0,2636.0,0,0,0,68.73,71.96,42.7
c16,4904.0,3544.0,2627.0,0,0,0,45.88,47.73,38.75
c17,4003.0,3393.0,2603.0,0,0,0,58.66,55.64,39.4
c18,4809.0,3121.0,2606.0,0,0,0,53.28,61.12,41.61
