patch r g b
a1 3028 4007 2962
a2 2713 4605 3038
a3 2507 5261 3232
a4 2415 5296 3154
a5 1870 2191 1509
a6 1578 2456 1591
a7 1369 2859 1688
a8 1207 3512 1784
a9 1173 953 690
a10 1108 999 737
a11 1061 1062 783
a12 1016 1103 809
a13 988 673 505
a14 967 679 501
a15 961 661 499
a16 959 660 489
a17 949 655 492
a18 950 648 487
a19 988 671 485
a20 4600 6376 5053
a21 2697 5789 4604
a22 1920 5511 4422
b1 3179 4176 3384
b2 2948 4872 4004
b3 2747 5546 4496
b4 2662 5719 4607
b5 1843 2373 1914
b6 1615 2795 2427
b7 1434 3491 3165
b8 1327 4456 3919
b9 1172 964 728
b10 1106 1033 825
b11 1053 1105 920
b12 1017 1167 1010
b13 1073 696 515
b14 982 721 515
b15 968 694 562
b16 1068 753 559
b17 964 742 565
b18 1056 705 559
b19 1063 713 487
b20 3554 6195 5054
b21 2129 5809 4616
b22 1203 1525 1265
c1 2893 3440 2983
c2 2837 3952 3855
c3 2813 4467 4876
c4 2715 4391 5000
c5 1408 1512 1349
c6 1277 1861 2217
c7 1248 2476 3891
c8 1268 2925 5161
c9 1093 883 706
c10 1050 961 860
c11 1021 1035 1019
c12 996 1102 1169
c13 1190 722 529
c14 997 771 522
c15 969 726 635
c16 1188 859 635
c17 969 819 629
c18 1164 754 630
c19 1185 782 500
c20 4421 6397 5457
c21 1279 2334 2320
c22 1156 1209 984
d1 3078 3417 3077
d2 3195 3790 4026
d3 3290 4173 5153
d4 3142 4067 5252
d5 1396 1244 1135
d6 1385 1483 1878
d7 1458 1956 3401
d8 1596 2654 5646
d9 1061 804 652
d10 1048 859 794
d11 1055 923 952
d12 1058 1178 1757
d13 1338 748 529
d14 1012 843 532
d15 968 769 732
d16 1343 1003 733
d17 983 946 729
d18 1303 820 724
d19 1340 865 507
d20 1722 3190 3262
d21 1519 1530 1275
d22 1118 1063 898
e1 3326 3379 3121
e2 3637 3710 4233
e3 3921 4038 5435
e4 3877 4005 5597
e5 2138 1893 1742
e6 2314 2158 2689
e7 2603 2596 4192
e8 2980 3164 6066
e9 1300 977 795
e10 1333 1019 935
e11 1403 1097 1129
e12 1567 1281 1766
e13 1521 776 527
e14 1033 939 543
e15 963 821 866
e16 1542 1208 877
e17 1004 1123 868
e18 1485 903 857
e19 1544 985 521
e20 1362 3580 5305
e21 1617 2833 3613
e22 1188 1646 1722
f1 4796 4655 4107
f2 5404 4733 4647
f3 5898 4792 5253
f4 5929 4660 5193
f5 2946 2402 2066
f6 3499 2454 2470
f7 4237 2586 2959
f8 5037 2783 3650
f9 1343 953 729
f10 1423 959 765
f11 1538 986 826
f12 1848 1011 925
f13 1769 823 537
f14 1055 1065 566
f15 965 891 1047
f16 1807 1477 1061
f17 1018 1351 1046
f18 1702 1003 1014
f19 1816 1133 537
f20 1384 1486 1369
f21 1140 1396 1458
f22 1096 1155 1087
g1 4214 3625 2898
g2 4914 3516 2867
g3 5486 3395 2806
g4 5492 3299 2734
g5 2655 1934 1422
g6 3170 1888 1406
g7 3861 1859 1383
g8 4705 1851 1322
g9 1355 935 695
g10 1478 930 698
g11 1615 940 704
g12 2028 937 688
g13 2022 866 541
g14 1074 1229 582
g15 965 980 1295
g16 2099 1837 1318
g17 1042 1660 1275
g18 1946 1143 1266
g19 2131 1347 567
g20 1168 1211 1216
g21 1167 1399 1707
g22 1120 2157 4575
h1 4035 3508 2501
h2 4610 3292 2143
h3 5284 3101 1820
h4 5428 2925 1671
h5 2586 1890 1218
h6 3073 1787 1046
h7 3756 1711 891
h8 4709 1691 775
h9 1367 932 661
h10 1449 909 622
h11 1582 909 605
h12 1971 895 541
h13 2330 929 553
h14 1096 1443 598
h15 965 1097 1632
h16 2457 2310 1684
h17 1074 2084 1617
h18 2242 1338 1637
h19 2507 1593 593
h20 1125 1096 1195
h21 1346 1106 895
h22 1262 1196 1493
i1 3231 2886 1719
i2 3508 2661 1320
i3 3944 2496 1064
i4 5182 2283 788
i5 2079 1651 1014
i6 2216 1621 883
i7 2333 1576 778
i8 2826 1455 586
i9 1296 939 656
i10 1312 917 614
i11 1356 937 609
i12 1422 905 539
i13 2655 990 559
i14 1129 1724 633
i15 975 1257 2121
i16 2942 2981 2221
i17 1135 2683 2101
i18 2583 1600 2171
i19 2975 1888 631
i20 1173 1024 1183
i21 2495 2336 3453
i22 1617 1037 1048
j1 4056 4281 2529
j2 3988 3995 1855
j3 4160 3644 1375
j4 5463 2921 799
j5 2185 1948 1174
j6 2184 1935 1003
j7 2192 1880 843
j8 2245 1783 623
j9 1271 937 648
j10 1253 928 612
j11 1255 937 590
j12 1245 923 536
j13 3012 1057 559
j14 1174 2058 668
j15 1014 1561 3015
j16 3693 3988 3134
j17 1238 3620 2907
j18 3065 2006 3091
j19 3645 2222 677
j20 1617 958 860
j21 4322 3447 5823
j22 5464 4938 5563
k1 2748 3195 1826
k2 2461 3333 1433
k3 2209 3474 1197
k4 2096 3636 1116
k5 1819 1731 1016
k6 1665 1810 900
k7 1531 1875 792
k8 1276 2024 636
k9 1221 940 637
k10 1163 946 611
k11 1120 959 581
k12 1055 993 542
k13 3458 1147 569
k14 1231 2510 728
k15 1087 2012 4359
k16 4898 5565 4462
k17 1393 5094 3957
k18 3779 2617 4545
k19 4607 2662 735
k20 4481 4070 3980
k21 5408 4867 4246
k22 5022 4019 2839
l1 3158 4217 2822
l2 2767 4624 2580
l3 2502 5007 2437
l4 2403 4961 2313
l5 1878 2130 1321
l6 1613 2391 1251
l7 1389 2745 1170
l8 1241 3306 1108
l9 1187 946 656
l10 1122 968 652
l11 1057 985 633
l12 1018 1027 646
l13 3984 1270 583
l14 1302 3075 803
l15 1201 2682 6322
l16 6457 7887 6424
l17 1623 7175 5280
l18 4833 3548 6698
l19 5659 3217 832
l20 6273 7055 5490
l21 5559 6612 4852
l22 4154 5771 4033
gs0 879 566 380
gs1 928 613 413
gs2 991 666 459
gs3 1055 731 513
gs4 1130 800 565
gs5 1220 883 625
gs6 1318 970 690
gs7 1431 1084 773
gs8 1560 1204 851
gs9 1692 1359 970
gs10 1841 1523 1099
gs11 2001 1748 1272
gs12 2181 1954 1430
gs13 2384 2229 1639
gs14 2605 2504 1848
gs15 2859 2833 2139
gs16 3178 3277 2502
gs17 3625 3851 3010
gs18 4099 4439 3510
gs19 4701 5208 4141
gs20 5330 6112 4887
gs21 5633 6547 5263
gs22 5899 6987 5646
gs23 6512 7457 5938
