patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,13042.0,20660.0,16565.0,0,0,0,3.6,3.01,2.05
a2,11588.0,21478.0,17018.0,0,0,0,4.42,2.97,1.76
a3,10553.0,22006.0,17597.0,0,0,0,5.12,3.01,1.46
a4,10222.0,21950.0,17492.0,0,0,0,5.65,3.26,1.6
a5,7949.0,13037.0,10264.0,0,0,0,12.71,10.97,7.93
a6,6927.0,14110.0,10810.0,0,0,0,15.07,11.1,6.97
a7,6399.0,15537.0,11469.0,0,0,0,17.42,11.1,6.06
a8,6033.0,17251.0,12213.0,0,0,0,20.36,11.07,5.12
a9,5056.0,6146.0,4727.0,0,0,0,40.62,39.94,31.49
a10,4808.0,6319.0,4812.0,0,0,0,42.88,40.04,30.47
a11,4602.0,6559.0,4947.0,0,0,0,45.09,40.03,29.12
a12,4458.0,6792.0,5101.0,0,0,0,46.77,39.85,28.06
a13,4069.0,4027.0,3077.0,0,0,0,71.78,75.46,63.09
a14,3991.0,4132.0,3097.0,0,0,0,71.91,73.14,62.17
a15,3938.0,3980.0,3080.0,0,0,0,74.11,76.98,63.06
a16,3960.0,4031.0,3062.0,0,0,0,72.73,75.12,62.6
a17,3884.0,3939.0,3037.0,0,0,0,74.05,76.81,62.33
a18,3837.0,3844.0,2925.0,0,0,0,74.16,77.19,62.97
a19,3914.0,3878.0,2820.0,0,0,0,69.16,71.7,62.05
a20,15601.0,24171.0,19721.0,0,0,0,1.37,1.12,0.78
a21,10300.0,22248.0,18696.0,0,0,0,5.17,3.27,0.85
a22,7485.0,20657.0,17999.0,0,0,0,10.35,5.9,0.91
b1,13410.0,21096.0,17592.0,0,0,0,3.35,2.93,1.63
b2,12404.0,22073.0,18682.0,0,0,0,3.98,2.94,1.07
b3,11306.0,22547.0,19143.0,0,0,0,4.71,3.09,0.74
b4,10933.0,22642.0,19414.0,0,0,0,5.08,3.21,0.69
b5,7751.0,13626.0,12015.0,0,0,0,12.86,11.1,5.86
b6,7049.0,15400.0,14349.0,0,0,0,14.66,11.01,3.94
b7,6611.0,17517.0,16502.0,0,0,0,16.97,10.94,2.28
b8,6338.0,19485.0,17905.0,0,0,0,19.7,11.01,1.2
b9,5045.0,6194.0,4962.0,0,0,0,40.39,40.01,29.68
b10,4807.0,6518.0,5393.0,0,0,0,42.59,40.11,26.44
b11,4614.0,6817.0,5745.0,0,0,0,44.29,39.94,23.52
b12,4497.0,7196.0,6281.0,0,0,0,45.98,39.89,21.17
b13,4353.0,4098.0,3079.0,0,0,0,65.55,71.21,61.79
b14,4006.0,4295.0,3098.0,0,0,0,68.8,67.99,60.07
b15,3934.0,4140.0,3431.0,0,0,0,71.26,74.48,51.88
b16,4390.0,4613.0,3504.0,0,0,0,57.82,60.0,49.14
b17,3973.0,4485.0,3454.0,0,0,0,65.61,64.93,49.68
b18,4232.0,4145.0,3375.0,0,0,0,62.84,68.83,51.29
b19,4188.0,4148.0,2848.0,0,0,0,60.77,62.73,59.44
