patch r g b
a1 29227 30372 28887
a2 25680 35105 30295
a3 23347 40438 32905
a4 22482 40753 32287
a5 17710 17150 16122
a6 14620 18662 16845
a7 12680 21150 17635
a8 11272 25760 18945
a9 10942 7820 7287
a10 10367 8027 7500
a11 9770 8300 7640
a12 9312 8470 7820
a13 9120 5240 4932
a14 8875 5315 4867
a15 8842 5135 4857
a16 8917 5207 4857
a17 8705 5075 4772
a18 8682 5010 4697
a19 8865 5075 4580
a20 37955 43395 43795
a21 21950 38238 41590
a22 15227 35340 40875
b1 30060 31167 32467
b2 27107 36110 39128
b3 24997 41665 46278
b4 24177 43353 47930
b5 17165 18160 20052
b6 14620 20495 24262
b7 12817 24885 31455
b8 11700 31577 40663
b9 11092 7990 7767
b10 10270 8262 8310
b11 9642 8545 8875
b12 9237 8852 9505
b13 9877 5380 4955
b14 8950 5587 4942
b15 8747 5337 5465
b16 9737 5827 5360
b17 8800 5715 5360
b18 9590 5332 5295
b19 9515 5422 4665
b20 29675 42288 45585
b21 17080 38088 43050
b22 10505 10750 12062
c1 27607 25472 28257
c2 26222 28445 36453
c3 25412 32467 48558
c4 24870 32642 51245
c5 13127 11857 14300
c6 11677 13920 22302
c7 11060 17630 37925
c8 11060 21257 53268
c9 10367 7297 7490
c10 9750 7542 8407
c11 9237 7900 9567
c12 8917 8315 10965
c13 10877 5502 5017
c14 9077 6062 5070
c15 8715 5610 6167
c16 10665 6615 6062
c17 8832 6407 6105
c18 10462 5730 6030
c19 10665 5992 4740
c20 36848 43903 48920
c21 10877 15525 21215
c22 10185 8875 9440
d1 29410 25115 28982
d2 29792 27330 38020
d3 30177 30197 50263
d4 29067 29782 52405
d5 13020 10052 12105
d6 12582 11372 19052
d7 12680 14160 32680
d8 13405 19035 55060
d9 9995 6582 6840
d10 9665 6717 7692
d11 9515 7025 9015
d12 9280 8457 15832
d13 12125 5655 5007
d14 9247 6727 5272
d15 8682 5940 7170
d16 11997 7740 7150
d17 8950 7345 7052
d18 11572 6157 6915
d19 11997 6690 4942
d20 13947 20612 28430
d21 13020 10767 11932
d22 9940 7970 8705
e1 31902 24805 29175
e2 34183 26655 39298
e3 36625 29185 52278
e4 36175 28630 53663
e5 19862 14117 17485
e6 21365 15592 25957
e7 23750 17790 38468
e8 26915 21875 58383
e9 12157 8005 8310
e10 12190 7990 9195
e11 12402 8127 10302
e12 13415 9045 15780
e13 13565 5837 4985
e14 9440 7475 5412
e15 8620 6270 8437
e16 13692 9227 8640
e17 9057 8545 8407
e18 12807 6642 7990
e19 13627 7477 5017
e20 10762 22615 47548
e21 13062 18040 31040
e22 10217 11277 15770
f1 45020 34338 38435
f2 52385 34678 44148
f3 58788 35010 49465
f4 59908 34003 49945
f5 29057 17872 20362
f6 35143 17975 23805
f7 43518 18120 27737
f8 55305 19307 34888
f9 12605 7787 7660
f10 13085 7585 7650
f11 13767 7575 7947
f12 16302 7532 8695
f13 15502 6072 5017
f14 9642 8337 5517
f15 8587 6755 9962
f16 15832 10857 10155
f17 9205 10057 10185
f18 14780 7430 9685
f19 16005 8447 5092
f20 11997 10490 12690
f21 10005 9925 13627
f22 9707 8385 10165
g1 41218 27107 27577
g2 50263 26137 27225
g3 59163 25280 26702
g4 60270 24587 26542
g5 26382 14865 14757
g6 32255 14420 14650
g7 40823 13792 14150
g8 54633 13622 13692
g9 12742 7660 7362
g10 13627 7410 7052
g11 14587 7345 6947
g12 18145 6967 6500
g13 17922 6337 5027
g14 9887 9502 5700
g15 8522 7292 12177
g16 18700 13265 12657
g17 9365 12077 12530
g18 17047 8400 12082
g19 19402 9987 5445
g20 10250 8762 11177
g21 10142 9727 15290
g22 8970 13632 38840
h1 39928 26867 24230
h2 47568 25237 21237
h3 58885 24155 18775
h4 62188 22785 17592
h5 25745 14752 12957
h6 31497 13915 11080
h7 40248 13100 9577
h8 56050 12732 8352
h9 12935 7760 7075
h10 13500 7405 6457
h11 14460 7132 5977
h12 17592 6690 5082
h13 21192 6722 5102
h14 10197 10947 5945
h15 8437 7985 15025
h16 22610 16370 15630
h17 9652 14677 15802
h18 19862 9417 14885
h19 23837 11725 5667
h20 9962 8017 11102
h21 11752 7975 8267
h22 10867 8342 13340
i1 32755 22675 17667
i2 35963 21330 14012
i3 41450 20267 11572
i4 62443 18092 8620
i5 19967 13110 10922
i6 21215 12775 9417
i7 22472 12440 8365
i8 28737 11512 6285
i9 12402 7900 7052
i10 12435 7655 6487
i11 12615 7420 5965
i12 13000 7052 5200
i13 25222 7132 5102
i14 10602 13067 6327
i15 8450 8965 19265
i16 27535 21097 20140
i17 10057 18507 20182
i18 23750 10845 19297
i19 29345 14192 6242
i20 10367 7482 10835
i21 21492 14592 28440
i22 13745 7330 9492
j1 39533 33603 24625
j2 39683 32765 19040
j3 42560 30910 14800
j4 65535 24657 8822
j5 21237 15485 12657
j6 20895 15097 10602
j7 21012 14917 9045
j8 21652 14400 6775
j9 12157 7900 7032
j10 11795 7627 6360
j11 11720 7490 5827
j12 11560 7330 5220
j13 30337 7675 5187
j14 11092 15767 6775
j15 8610 10735 26895
j16 33960 28210 28077
j17 10580 24122 27257
j18 28707 13147 26457
j19 36668 16887 6542
j20 13957 7020 8055
j21 39193 21240 48760
j22 48910 32445 47930
k1 27310 25022 18775
k2 24327 26755 15332
k3 21972 28992 13127
k4 20947 30842 12380
k5 17452 13975 11252
k6 15717 14235 9567
k7 14555 14885 8545
k8 12497 16360 7000
k9 11592 7830 6850
k10 11027 7777 6360
k11 10472 7692 5775
k12 9855 7877 5327
k13 36943 8310 5337
k14 11752 19617 7425
k15 8917 13360 38095
k16 43328 39713 39918
k17 11572 33518 38053
k18 35773 16722 38883
k19 48123 20387 7245
k20 40045 26745 32873
k21 48773 32735 35920
k22 47440 27987 24935
l1 30455 32130 27522
l2 26585 35765 25467
l3 24102 39683 24710
l4 23187 39650 23750
l5 17975 16770 14172
l6 15110 18497 13245
l7 13170 21032 12540
l8 11997 25737 12115
l9 11262 7857 6947
l10 10547 7862 6702
l11 9930 7937 6435
l12 9417 8065 6275
l13 45095 9145 5540
l14 12497 24257 8192
l15 9642 18040 58245
l16 56775 56978 60708
l17 13320 48653 54270
l18 46460 22770 60430
l19 63105 25322 8375
l20 54365 48325 47578
l21 47780 46108 42475
l22 35718 40385 35495
gs0 8822 4927 4325
gs1 9290 5375 4730
gs2 9930 5852 5242
gs3 10377 6285 5700
gs4 11145 6850 6242
gs5 11955 7512 6892
gs6 12497 8045 7490
gs7 13245 8730 8192
gs8 14140 9435 8865
gs9 15227 10355 9642
gs10 16482 11330 10665
gs11 17890 12600 11945
gs12 19605 13812 13245
gs13 21757 15507 14790
gs14 24187 17745 17037
gs15 26830 20132 19807
gs16 29442 22840 22355
gs17 33108 26505 26245
gs18 36773 30757 30455
gs19 41120 35733 35783
gs20 45363 41355 41408
gs21 47878 44353 45053
gs22 49785 46805 48590
gs23 55165 48388 49815
