patch,r,g,b,refR,refG,refB,refX,refY,refZ
d12,4299.0,6484.0,9634.0,8765.0,3383.0,14801.0,14469.8237394,15350.0,4428.27978581
d13,4959.0,4028.0,2902.0,11118.0,2887.0,4159.0,14810.1086957,16920.0,19356.8478261
d14,3909.0,4695.0,2993.0,8441.0,3840.0,4240.0,16347.5246225,14680.0,17166.8286277
d15,3753.0,4372.0,4344.0,8045.0,2951.0,6457.0,18300.8244275,19210.0,11369.5826972
d16,5205.0,5759.0,4426.0,11305.0,4325.0,6391.0,10065.2053597,10330.0,9695.09466939
d17,3986.0,5478.0,4355.0,8327.0,4232.0,6302.0,14196.241074,12970.0,9880.31705227
d18,4981.0,4652.0,4294.0,10933.0,3078.0,6310.0,12563.722966,14900.0,10898.7899073
d19,5040.0,4844.0,2908.0,11148.0,3858.0,4025.0,11627.0943396,11540.0,16421.2418525
d20,6798.0,16182.0,16719.0,12865.0,11912.0,25286.0,3926.20380148,3076.0,1118.17634636
d21,5856.0,8579.0,7661.0,12314.0,6417.0,11210.0,6130.00053952,5944.0,3960.52872943
d22,4499.0,6155.0,5510.0,9487.0,4597.0,8155.0,10538.8707519,10140.0,6455.19400589
e1,13877.0,18811.0,17342.0,29379.0,13481.0,25668.0,1407.42179072,1544.0,1212.54800431
e2,14894.0,19955.0,20818.0,31806.0,13336.0,31665.0,1315.63069307,1546.0,965.101980198
e3,15878.0,20790.0,23549.0,34126.0,13171.0,36092.0,1261.59275598,1565.0,807.0269329
e4,15797.0,20483.0,24069.0,34024.0,12662.0,36824.0,1370.7276068,1714.0,851.882406982
e5,8175.0,10410.0,10314.0,17568.0,7191.0,15555.0,3912.51686559,4333.0,2997.34769071
e6,8924.0,11661.0,14956.0,19105.0,6807.0,23020.0,3622.82933579,4349.0,2058.15221402
e7,10115.0,13060.0,20080.0,21536.0,6337.0,31653.0,3175.94313968,4188.0,1263.99258344
e8,11701.0,14393.0,24352.0,25009.0,6007.0,38280.0,3068.46971473,4292.0,1025.61860102
e9,5130.0,5576.0,4778.0,11135.0,3975.0,7004.0,10563.4212696,11230.0,9066.70513877
e10,5268.0,5787.0,5482.0,11371.0,3941.0,8137.0,10263.8896121,11280.0,7823.46263994
e11,5416.0,6011.0,6237.0,11701.0,3909.0,9426.0,9676.59921027,10980.0,6441.13030602
e12,5925.0,6887.0,9574.0,12678.0,3606.0,14674.0,8704.93621622,10890.0,3951.00972973
e13,5483.0,4122.0,2917.0,12391.0,2912.0,4154.0,12802.1338655,15190.0,18645.8765735
e14,3979.0,5113.0,3003.0,8532.0,4332.0,4179.0,14639.8727648,12430.0,15674.281293
e15,3747.0,4610.0,5006.0,7972.0,2999.0,7536.0,17193.9618955,18040.0,8830.52271617
e16,5827.0,6742.0,5205.0,12607.0,5101.0,7558.0,7529.6489083,7684.0,7156.07452693
e17,4117.0,6396.0,5126.0,8475.0,5022.0,7435.0,12289.0324417,10660.0,7386.76721685
e18,5516.0,5023.0,5013.0,12150.0,3179.0,7406.0,10194.8959366,12680.0,8542.34886026
e19,5659.0,5413.0,2998.0,12584.0,4395.0,4082.0,9129.93922652,8837.0,14581.8637201
e20,5581.0,16501.0,21087.0,9656.0,10831.0,32533.0,6434.84630839,4647.0,588.168759417
e21,6341.0,14466.0,17808.0,12052.0,9596.0,27406.0,4750.84660622,4005.0,1057.9245283
e22,4888.0,9155.0,10056.0,9711.0,6389.0,15172.0,8016.6317388,7048.0,2773.89015439
f1,18053.0,24922.0,20894.0,38611.0,18815.0,31101.0,672.98500283,774.7,744.448556876
f2,18843.0,25152.0,22222.0,40711.0,18456.0,33035.0,495.72192846,663.6,560.740279938
f3,19352.0,25242.0,23414.0,41961.0,18065.0,35155.0,526.972400898,771.7,625.286711543
f4,19541.0,24998.0,23648.0,42543.0,17486.0,35958.0,451.931165185,711.7,501.553673374
f5,12295.0,13224.0,11923.0,27256.0,9232.0,17886.0,2040.2863673,2425.0,2055.28367841
f6,14914.0,13521.0,13909.0,33696.0,8382.0,21102.0,1719.0386414,2426.0,1825.91877923
f7,17002.0,14119.0,16230.0,38715.0,7874.0,24967.0,1311.0,2262.0,1427.0
f8,18385.0,15085.0,19504.0,41650.0,7508.0,30073.0,1053.41581171,2262.0,1234.97646349
f9,5260.0,5443.0,4400.0,11520.0,3965.0,6437.0,10025.6144307,10740.0,9504.96054115
f10,5533.0,5446.0,4555.0,12119.0,3850.0,6656.0,9726.42303433,10870.0,9497.7076412
f11,5783.0,5451.0,4731.0,12755.0,3748.0,6970.0,9151.00725222,10680.0,8855.53585818
f12,6670.0,5404.0,5190.0,14995.0,3370.0,7772.0,7953.52323838,10610.0,7948.22088956
f13,6214.0,4279.0,2913.0,14150.0,2955.0,4151.0,10665.917791,13160.0,17466.8340132
f14,4096.0,5753.0,3125.0,8708.0,5042.0,4282.0,12931.5443038,10340.0,14124.477396
f15,3765.0,4960.0,5952.0,7917.0,3060.0,9055.0,16328.1560953,17010.0,6770.30888941
f16,6671.0,8051.0,6171.0,14394.0,6139.0,8971.0,5341.98951965,5471.0,5114.23027656
f17,4272.0,7605.0,6168.0,8596.0,6051.0,8994.0,10450.3650298,8564.0,5294.46267386
f18,6246.0,5557.0,5939.0,13848.0,3333.0,8994.0,8025.29273454,10590.0,6284.7778039
f19,6529.0,6114.0,3049.0,14591.0,5086.0,4115.0,6978.71864952,6562.0,12833.8794212
f20,5455.0,8227.0,7901.0,11378.0,5942.0,11841.0,6903.98126464,6633.0,3722.97189696
f21,4668.0,7840.0,8526.0,9544.0,5423.0,12883.0,8878.60150376,8172.0,3430.60150376
f22,4404.0,6528.0,6438.0,9158.0,4677.0,9616.0,10106.409874,9556.0,4909.45950116
g1,16838.0,20547.0,16393.0,36598.0,15475.0,24199.0,817.542575713,961.1,1047.29097324
g2,18213.0,20379.0,16388.0,40027.0,14969.0,24071.0,616.631853786,858.8,1016.00997969
g3,18775.0,19963.0,16420.0,41718.0,14489.0,23925.0,531.98072842,863.2,1080.29962719
g4,18831.0,19457.0,16108.0,42157.0,14018.0,23836.0,587.516193752,945.5,1176.92934938
g5,10839.0,10659.0,8599.0,24072.0,7642.0,12449.0,2636.33266533,3110.0,3157.18866304
g6,13538.0,10352.0,8339.0,31116.0,6937.0,12281.0,2327.80919932,3134.0,3436.54400909
g7,16230.0,10296.0,8371.0,37713.0,6404.0,12357.0,1898.39362594,3006.0,3499.29661728
