patch r g b
a1 25072 31812 32287
a2 22120 35270 33993
a3 20767 39160 37073
a4 20150 39218 36103
a5 16047 18045 16962
a6 14225 20357 18072
a7 12785 23405 19242
a8 11615 28082 20875
a9 10165 8300 8140
a10 9547 8560 8352
a11 8950 8805 8545
a12 8545 8960 8567
a13 8012 5512 5315
a14 7862 5715 5337
a15 7872 5567 5380
a16 7852 5545 5242
a17 7735 5450 5220
a18 7715 5390 5167
a19 7990 5535 5112
a20 35303 45005 49560
a21 20287 38973 45938
a22 15535 36373 43573
b1 26032 33048 37125
b2 23442 37140 43093
b3 22142 41308 49123
b4 21642 42038 49645
b5 15940 19365 21172
b6 14427 22665 26372
b7 13117 27535 33820
b8 12350 34338 42838
b9 10112 8305 8427
b10 9492 8747 9195
b11 8970 9152 9962
b12 8522 9530 10675
b13 8790 5710 5455
b14 7937 5982 5455
b15 7787 5757 6062
b16 8832 6322 6040
b17 7905 6195 5977
b18 8662 5800 5945
b19 8695 5922 5167
b20 26202 42510 49773
b21 17112 38823 46588
b22 10175 11677 13287
c1 23932 27847 32565
c2 22782 30997 41493
c3 22482 34423 51085
c4 21972 34145 51948
c5 12552 12515 15172
c6 11625 15187 24050
c7 11112 19200 39438
c8 11135 22185 51128
c9 9417 7670 8182
c10 8950 8075 9430
c11 8522 8492 10942
c12 8395 9050 12455
c13 9717 5820 5402
c14 8172 6502 5592
c15 7820 6062 6915
c16 9972 7245 6990
c17 8012 6935 6905
c18 9547 6152 6755
c19 9727 6402 5187
c20 33993 45053 53183
c21 11060 17507 23547
c22 9717 9605 10697
d1 25755 27640 33523
d2 25957 29712 42058
d3 26425 32185 52108
d4 25370 31525 53205
d5 12380 10627 13307
d6 12360 12350 20885
d7 12712 15390 35260
d8 13532 19525 54270
d9 9077 7010 7575
d10 8917 7282 8780
d11 8780 7622 10217
d12 8800 9195 17697
d13 10995 6062 5507
d14 8352 7155 5657
d15 7830 6407 8032
d16 11325 8405 8205
d17 8150 7930 7895
d18 10665 6595 7692
d19 11050 7117 5360
d20 14427 24132 32853
d21 12605 11810 13435
d22 9407 8677 9887
e1 28460 27550 34300
e2 30645 29090 43593
e3 33448 31230 54420
e4 32938 30640 55623
e5 17890 15075 19222
e6 19085 16655 28845
e7 21150 19100 41855
e8 24145 22332 57883
e9 11282 8465 9322
e10 11485 8555 10325
e11 11752 8847 11965
e12 13000 9897 17880
e13 12402 6285 5582
e14 8545 7927 5837
e15 7757 6742 9365
e16 12827 9865 9717
e17 8320 9087 9195
e18 11997 7170 9015
e19 12582 7985 5507
e20 11295 25225 48068
e21 13307 20622 34875
e22 10090 12550 17857
f1 41633 38130 44115
f2 45843 38398 49178
f3 48868 38675 53705
f4 49273 37733 54590
f5 25297 18922 22557
f6 31840 18762 25755
f7 40065 19487 31040
f8 46203 21107 39353
f9 11700 8285 8597
f10 12125 8122 8610
f11 12785 8160 9087
f12 14960 8097 9982
f13 14245 6557 5667
f14 8780 8870 6010
f15 7777 7217 11145
f16 14790 11762 11507
f17 8695 10815 11135
f18 13725 7942 10900
f19 14715 9162 5807
f20 11762 11602 14362
f21 9770 10910 15355
f22 9227 9190 11625
g1 38180 30042 31915
g2 44285 29382 31915
g3 47760 28595 31412
g4 48260 27640 31040
g5 22590 15397 15992
g6 28662 14587 15642
g7 37390 14060 15215
g8 44788 13942 15290
g9 11752 8112 8097
g10 12552 7880 7842
g11 13467 7872 7960
g12 16270 7527 7597
g13 16175 6755 5690
g14 9205 10270 6382
g15 7852 7915 13725
g16 17080 14442 14352
g17 9087 13245 13777
g18 15695 8927 13510
g19 17005 10537 6052
g20 9962 9667 12742
g21 9897 10792 17250
g22 8812 14847 41035
h1 36763 29335 27767
h2 42623 27867 24327
h3 47590 26787 21652
h4 48270 25120 20042
h5 21930 15320 14140
h6 27375 14000 11945
h7 36495 13275 10430
h8 44788 12760 9312
h9 11827 8060 7650
h10 12467 7882 7160
h11 13245 7665 6702
h12 15940 7255 5827
h13 18615 7090 5795
h14 9590 11975 6670
h15 7960 8822 17240
h16 20042 18177 18017
h17 9492 16270 17112
h18 17975 10100 16975
h19 20255 12337 6457
h20 9492 8795 12680
h21 11230 8800 9590
h22 10462 9200 15322
i1 28972 24320 19605
i2 32670 22997 15417
i3 37870 21682 12850
i4 47290 19425 9665
i5 17592 13792 12157
i6 18390 13327 10462
i7 19222 12870 9237
i8 24647 11602 6915
i9 11370 8277 7682
i10 11390 8065 7170
i11 11602 7967 6670
i12 12092 7750 5955
i13 22002 7397 5870
i14 10025 14140 6935
i15 8075 9945 21982
i16 24327 23345 23325
i17 10175 20840 22260
i18 21162 11692 22205
i19 25370 14885 6915
i20 9877 8202 12540
i21 19232 16335 33170
i22 12902 7980 10995
j1 36550 35883 28662
j2 36900 34520 21705
j3 38990 32397 16537
j4 49165 27017 9962
j5 18667 16547 14042
j6 18360 16162 11847
j7 18317 15845 10057
j8 18680 15167 7425
j9 11145 8287 7575
j10 10922 8220 7137
j11 10762 8045 6542
j12 10665 7895 5880
j13 26617 7697 5807
j14 10612 17107 7425
j15 8235 11757 29772
j16 30932 30917 32722
j17 11112 27550 30550
j18 26277 14325 31092
j19 32895 18070 7310
j20 13020 7612 9345
j21 36710 22925 52118
j22 44180 36528 53333
k1 23687 26845 21087
k2 21192 28072 16887
k3 19510 29760 14480
k4 18837 31060 13362
k5 15907 15012 12540
k6 14630 15417 10815
k7 13725 16062 9492
k8 11965 17800 7715
k9 10665 8320 7542
k10 10185 8427 7170
k11 9727 8395 6637
k12 9002 8480 5850
k13 32938 8122 5752
