patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,11034.0,16988.0,13176.0,0,0,0,3.6,3.01,2.05
a2,9982.0,18397.0,13530.0,0,0,0,4.42,2.97,1.76
a3,9368.0,19777.0,14115.0,0,0,0,5.12,3.01,1.46
a4,9099.0,19669.0,13758.0,0,0,0,5.65,3.26,1.6
a5,6962.0,9657.0,7086.0,0,0,0,12.71,10.97,7.93
a6,6215.0,10928.0,7442.0,0,0,0,15.07,11.1,6.97
a7,5705.0,12513.0,7821.0,0,0,0,17.42,11.1,6.06
a8,5169.0,14627.0,8053.0,0,0,0,20.36,11.07,5.12
a9,4309.0,4423.0,3180.0,0,0,0,40.62,39.94,31.49
a10,4079.0,4600.0,3297.0,0,0,0,42.88,40.04,30.47
a11,3902.0,4835.0,3472.0,0,0,0,45.09,40.03,29.12
a12,3730.0,4994.0,3566.0,0,0,0,46.77,39.85,28.06
a13,3522.0,2959.0,2118.0,0,0,0,71.78,75.46,63.09
a14,3444.0,3061.0,2163.0,0,0,0,71.91,73.14,62.17
a15,3433.0,2972.0,2174.0,0,0,0,74.11,76.98,63.06
a16,3441.0,2984.0,2122.0,0,0,0,72.73,75.12,62.6
a17,3409.0,2975.0,2166.0,0,0,0,74.05,76.81,62.33
a18,3417.0,2934.0,2103.0,0,0,0,74.16,77.19,62.97
a19,3537.0,3005.0,2050.0,0,0,0,69.16,71.7,62.05
a20,15296.0,24384.0,19372.0,0,0,0,1.37,1.12,0.78
a21,9576.0,21012.0,17463.0,0,0,0,5.17,3.27,0.85
a22,7307.0,19813.0,16158.0,0,0,0,10.35,5.9,0.91
b1,11419.0,17670.0,14636.0,0,0,0,3.35,2.93,1.63
b2,10613.0,19413.0,16519.0,0,0,0,3.98,2.94,1.07
b3,9976.0,20850.0,17662.0,0,0,0,4.71,3.09,0.74
b4,9715.0,21057.0,17813.0,0,0,0,5.08,3.21,0.69
b5,6957.0,10361.0,8584.0,0,0,0,12.86,11.1,5.86
b6,6481.0,12230.0,10450.0,0,0,0,14.66,11.01,3.94
b7,6015.0,14797.0,12837.0,0,0,0,16.97,10.94,2.28
b8,5579.0,17784.0,14711.0,0,0,0,19.7,11.01,1.2
b9,4323.0,4479.0,3352.0,0,0,0,40.39,40.01,29.68
b10,4104.0,4773.0,3752.0,0,0,0,42.59,40.11,26.44
b11,3947.0,5119.0,4189.0,0,0,0,44.29,39.94,23.52
b12,3789.0,5310.0,4448.0,0,0,0,45.98,39.89,21.17
b13,3793.0,3018.0,2135.0,0,0,0,65.55,71.21,61.79
b14,3482.0,3221.0,2176.0,0,0,0,68.8,67.99,60.07
b15,3422.0,3125.0,2503.0,0,0,0,71.26,74.48,51.88
b16,3853.0,3494.0,2516.0,0,0,0,57.82,60.0,49.14
b17,3496.0,3433.0,2512.0,0,0,0,65.61,64.93,49.68
b18,3811.0,3200.0,2480.0,0,0,0,62.84,68.83,51.29
b19,3806.0,3217.0,2075.0,0,0,0,60.77,62.73,59.44
b20,12063.0,22825.0,18852.0,0,0,0,2.87,2.06,0.8
b21,7978.0,20649.0,16951.0,0,0,0,8.37,4.88,0.88
b22,4558.0,6823.0,5790.0,0,0,0,29.02,24.67,11.91
c1,10502.0,14780.0,12983.0,0,0,0,4.49,4.31,2.29
c2,10243.0,16362.0,15737.0,0,0,0,4.9,4.37,1.42
c3,10102.0,17891.0,18151.0,0,0,0,5.13,4.3,0.82
c4,9809.0,17557.0,18352.0,0,0,0,5.7,4.77,0.85
c5,5336.0,6874.0,6363.0,0,0,0,23.78,22.59,10.89
c6,5221.0,8477.0,9789.0,0,0,0,25.55,22.41,5.5
c7,5119.0,10462.0,14804.0,0,0,0,27.72,22.42,2.39
c8,5150.0,11684.0,17641.0,0,0,0,28.7,22.23,1.28
c9,4052.0,4099.0,3192.0,0,0,0,46.89,47.28,32.4
c10,3918.0,4429.0,3848.0,0,0,0,48.17,47.13,26.63
c11,3834.0,4837.0,4682.0,0,0,0,49.81,47.42,21.58
c12,3778.0,5135.0,5311.0,0,0,0,50.47,46.85,18.1
c13,4166.0,3117.0,2165.0,0,0,0,58.24,65.94,60.94
c14,3550.0,3490.0,2220.0,0,0,0,64.18,60.73,57.45
c15,3492.0,3360.0,2926.0,0,0,0,68.73,71.96,42.7
c16,4292.0,4037.0,2951.0,0,0,0,45.88,47.73,38.75
c17,3563.0,3906.0,2907.0,0,0,0,58.66,55.64,39.4
c18,4198.0,3480.0,2895.0,0,0,0,53.28,61.12,41.61
c19,4199.0,3513.0,2112.0,0,0,0,50.72,52.04,56.28
c20,14774.0,24224.0,19894.0,0,0,0,1.7,1.45,0.76
c21,5162.0,10226.0,9727.0,0,0,0,22.87,17.19,4.72
c22,4308.0,5564.0,4632.0,0,0,0,34.53,31.48,17.4
d1,11219.0,14889.0,13548.0,0,0,0,4.16,4.32,2.27
d2,11380.0,15974.0,16301.0,0,0,0,4.07,4.26,1.47
d3,11553.0,17068.0,18946.0,0,0,0,4.08,4.3,0.89
d4,11077.0,16381.0,19000.0,0,0,0,4.69,4.91,0.92
d5,5238.0,5855.0,5569.0,0,0,0,26.68,27.74,13.94
d6,5421.0,6948.0,8736.0,0,0,0,26.33,27.41,7.43
d7,5745.0,8568.0,13926.0,0,0,0,26.1,27.43,3.6
d8,6077.0,10231.0,19353.0,0,0,0,25.91,27.31,1.65
d9,3889.0,3666.0,2866.0,0,0,0,53.02,55.12,37.61
d10,3875.0,3943.0,3543.0,0,0,0,52.96,55.14,30.47
d11,3916.0,4260.0,4331.0,0,0,0,52.49,54.62,24.44
d12,4131.0,5428.0,7877.0,0,0,0,52.17,54.65,11.69
d13,4620.0,3276.0,2256.0,0,0,0,51.28,60.55,59.94
d14,3621.0,3859.0,2305.0,0,0,0,58.99,52.82,54.44
d15,3521.0,3580.0,3418.0,0,0,0,66.07,69.08,34.69
d16,4797.0,4677.0,3446.0,0,0,0,35.35,36.71,29.94
d17,3676.0,4556.0,3464.0,0,0,0,51.68,46.54,30.64
d18,4628.0,3804.0,3398.0,0,0,0,44.32,53.48,33.27
d19,4668.0,3917.0,2209.0,0,0,0,41.16,41.63,52.5
d20,6674.0,13391.0,12852.0,0,0,0,13.96,10.52,2.72
d21,5560.0,6954.0,6106.0,0,0,0,21.28,20.6,11.58
d22,4181.0,5016.0,4331.0,0,0,0,38.28,36.52,19.91
e1,11994.0,14781.0,13663.0,0,0,0,3.71,4.2,2.3
e2,12802.0,15757.0,16836.0,0,0,0,3.39,4.21,1.48
e3,13625.0,16675.0,19655.0,0,0,0,3.12,4.17,0.94
e4,13437.0,16216.0,19946.0,0,0,0,3.34,4.54,0.97
e5,7714.0,8290.0,8102.0,0,0,0,12.46,14.03,7.52
e6,8369.0,9239.0,11683.0,0,0,0,11.51,14.17,4.54
e7,9281.0,10538.0,16592.0,0,0,0,10.28,14.01,2.58
e8,10250.0,11746.0,20963.0,0,0,0,9.41,13.94,1.45
e9,4666.0,4447.0,3588.0,0,0,0,37.32,40.04,27.82
e10,4830.0,4705.0,4325.0,0,0,0,36.12,40.08,23.52
e11,5031.0,4971.0,5088.0,0,0,0,34.48,39.54,19.51
e12,5687.0,5835.0,8001.0,0,0,0,31.25,39.49,11.51
