patch r g b
a1 4018 6643 4813
a2 3434 6973 5021
a3 3097 7275 5346
a4 2986 7297 5354
a5 2380 4065 2804
a6 1988 4500 2981
a7 1716 5012 3174
a8 1519 5849 3500
a9 1473 1834 1431
a10 1376 1898 1464
a11 1299 2010 1506
a12 1232 2085 1525
a13 1181 1133 939
a14 1152 1175 959
a15 1143 1126 944
a16 1149 1145 937
a17 1137 1130 948
a18 1137 1117 929
a19 1180 1159 915
a20 5426 8470 6647
a21 3108 7481 6364
a22 2188 7299 6399
b1 4190 6894 5282
b2 3710 7317 5856
b3 3345 7675 6451
b4 3238 7805 6679
b5 2333 4340 3465
b6 2018 4981 4225
b7 1776 5856 5145
b8 1627 6970 6156
b9 1484 1869 1513
b10 1379 1965 1625
b11 1304 2088 1760
b12 1242 2200 1882
b13 1276 1150 932
b14 1155 1245 959
b15 1147 1193 1084
b16 1279 1323 1062
b17 1154 1317 1076
b18 1270 1207 1066
b19 1269 1239 909
b20 4216 8079 6655
b21 2437 7413 6460
b22 1475 2925 2403
c1 3883 6036 4805
c2 3656 6520 5642
c3 3529 7021 6563
c4 3415 7001 6833
c5 1772 2920 2594
c6 1640 3597 4104
c7 1562 4369 5980
c8 1579 4915 7162
c9 1384 1684 1470
c10 1316 1781 1681
c11 1267 1923 1968
c12 1234 2041 2216
c13 1414 1178 925
c14 1166 1361 967
c15 1153 1270 1253
c16 1430 1552 1228
c17 1170 1525 1247
c18 1411 1309 1227
c19 1414 1374 915
c20 5367 8581 6996
c21 1587 4339 4115
c22 1426 2341 1935
d1 4195 6041 4860
d2 4240 6409 5689
d3 4300 6847 6694
d4 4088 6652 6873
d5 1778 2406 2259
d6 1777 2844 3630
d7 1856 3468 5719
d8 1975 4089 7739
d9 1329 1482 1330
d10 1305 1542 1543
d11 1312 1659 1847
d12 1345 2092 3262
d13 1579 1214 919
d14 1177 1519 980
d15 1161 1350 1449
d16 1622 1832 1406
d17 1195 1812 1446
d18 1591 1427 1407
d19 1600 1552 928
d20 2085 5376 5113
d21 1866 2869 2371
d22 1387 2050 1808
e1 4591 6048 4873
e2 4934 6367 5810
e3 5252 6724 6797
e4 5201 6610 7036
e5 2771 3459 3097
e6 3014 3761 4430
e7 3425 4150 5943
e8 3911 4621 7561
e9 1628 1811 1589
e10 1669 1848 1797
e11 1739 1929 2069
e12 1961 2202 3166
e13 1781 1251 908
e14 1197 1728 994
e15 1176 1461 1721
e16 1861 2206 1628
e17 1220 2173 1683
e18 1821 1586 1669
e19 1823 1756 941
e20 1594 5754 6948
e21 1941 4838 5500
e22 1479 3164 3220
f1 5892 7661 5812
f2 6161 7760 6188
f3 6336 7924 6763
f4 6371 7873 6874
f5 4087 4364 3494
f6 4972 4362 3998
f7 5685 4454 4610
f8 6099 4711 5569
f9 1683 1764 1462
f10 1772 1731 1482
f11 1890 1726 1554
f12 2283 1697 1685
f13 2082 1310 909
f14 1220 1995 1021
f15 1189 1608 2069
f16 2207 2688 1892
f17 1252 2658 2007
f18 2123 1767 1968
f19 2165 2044 949
f20 1712 2798 2543
f21 1429 2694 2803
f22 1362 2228 2149
g1 5629 6555 4642
g2 6047 6503 4658
g3 6235 6357 4581
g4 6256 6240 4560
g5 3615 3536 2489
g6 4507 3390 2389
g7 5348 3265 2376
g8 5830 3245 2381
g9 1698 1728 1385
g10 1831 1673 1356
g11 1988 1650 1328
g12 2513 1546 1238
g13 2421 1372 902
g14 1251 2353 1060
g15 1206 1797 2577
g16 2631 3312 2299
g17 1288 3300 2445
g18 2494 1998 2383
g19 2585 2402 969
g20 1462 2307 2352
g21 1465 2646 3214
g22 1387 3577 6999
h1 5492 6392 4212
h2 5938 6210 3763
h3 6203 5970 3318
h4 6223 5692 3121
h5 3469 3480 2161
h6 4304 3231 1812
h7 5195 3030 1576
h8 5712 2936 1408
h9 1688 1701 1291
h10 1791 1651 1210
h11 1933 1601 1130
h12 2402 1475 928
h13 2857 1447 896
h14 1293 2829 1120
h15 1229 2057 3281
h16 3213 4137 2888
h17 1346 4070 3058
h18 2974 2315 2963
h19 3160 2854 1009
h20 1417 2072 2363
h21 1637 2038 1704
h22 1579 2223 2884
i1 4601 5409 3144
i2 5017 5064 2423
i3 5455 4780 1955
i4 5972 4327 1493
i5 2662 3098 1875
i6 2821 2967 1585
i7 2960 2866 1405
i8 3727 2590 1026
i9 1593 1731 1290
i10 1615 1701 1207
i11 1646 1684 1128
i12 1703 1589 958
i13 3361 1527 879
i14 1336 3344 1179
i15 1259 2386 4201
i16 3958 5271 3702
i17 1411 4967 3874
i18 3546 2735 3789
i19 3945 3385 1070
i20 1481 1909 2348
i21 3172 3813 5130
i22 1983 1833 1976
j1 5439 7221 4372
j2 5452 6902 3446
j3 5669 6523 2631
j4 6145 5524 1561
j5 2843 3636 2131
j6 2794 3551 1797
j7 2776 3479 1548
j8 2770 3269 1130
j9 1565 1737 1270
j10 1537 1739 1210
j11 1526 1720 1114
j12 1494 1662 962
j13 3962 1631 866
j14 1388 3872 1255
j15 1310 2881 5590
j16 4965 6799 4836
j17 1507 6108 4940
j18 4337 3341 4953
j19 4937 4010 1161
j20 1988 1697 1669
j21 5570 5164 6868
j22 6111 7892 6865
k1 3745 5664 3353
k2 3263 5633 2697
k3 2876 5634 2267
k4 2687 5715 2128
k5 2325 3310 1924
k6 2069 3419 1680
k7 1890 3569 1521
k8 1556 3834 1245
k9 1509 1779 1279
k10 1427 1798 1207
k11 1375 1839 1132
k12 1267 1884 999
