patch r g b
a1 2983 4742 3736
a2 2706 4952 3823
a3 2544 5127 3950
a4 2476 5088 3903
a5 1990 2846 2134
a6 1798 3132 2236
a7 1661 3515 2352
a8 1521 3934 2429
a9 1231 1344 1004
a10 1186 1395 1042
a11 1140 1472 1081
a12 1103 1521 1103
a13 1003 907 658
a14 980 931 665
a15 972 897 657
a16 972 905 654
a17 958 888 651
a18 960 874 636
a19 992 905 638
a20 3791 5951 4876
a21 2597 5296 4447
a22 2041 4930 4144
b1 3074 4874 3990
b2 2864 5141 4272
b3 2686 5319 4457
b4 2622 5322 4474
b5 1981 3045 2569
b6 1841 3483 3043
b7 1723 4075 3571
b8 1609 4573 3829
b9 1233 1365 1066
b10 1194 1461 1175
b11 1153 1533 1265
b12 1130 1614 1363
b13 1066 920 660
b14 990 980 680
b15 980 953 765
b16 1079 1042 773
b17 987 1022 763
b18 1051 947 746
b19 1060 963 650
b20 3294 5734 4771
b21 2192 5074 4288
b22 1345 2069 1754
c1 2876 4336 3693
c2 2785 4629 4149
c3 2732 4879 4497
c4 2664 4816 4544
c5 1547 2057 1895
c6 1502 2489 2819
c7 1471 2944 3818
c8 1467 3130 4134
c9 1157 1249 1011
c10 1140 1350 1202
c11 1120 1446 1410
c12 1118 1544 1595
c13 1155 941 669
c14 1010 1056 691
c15 996 1018 896
c16 1194 1200 916
c17 1014 1166 898
c18 1158 1034 890
c19 1161 1054 671
c20 3721 5926 4917
c21 1495 2973 2838
c22 1256 1704 1448
d1 3035 4365 3815
d2 3086 4586 4262
d3 3138 4772 4630
d4 3017 4630 4639
d5 1504 1745 1665
d6 1548 2049 2546
d7 1620 2440 3775
d8 1683 2659 4481
d9 1104 1115 903
d10 1114 1197 1101
d11 1131 1286 1324
d12 1197 1589 2245
d13 1264 969 680
d14 1028 1152 706
d15 1014 1094 1063
d16 1349 1407 1090
d17 1050 1355 1060
d18 1283 1137 1063
d19 1292 1171 703
d20 1891 3806 3636
d21 1602 2076 1825
d22 1206 1536 1356
e1 3213 4383 3864
e2 3385 4558 4340
e3 3523 4699 4755
e4 3496 4593 4791
e5 2157 2457 2374
e6 2316 2728 3348
e7 2535 2970 4284
e8 2773 3119 4856
e9 1326 1346 1131
e10 1375 1412 1326
e11 1433 1489 1558
e12 1607 1694 2318
e13 1394 1001 691
e14 1055 1278 726
e15 1030 1178 1262
e16 1538 1661 1305
e17 1098 1591 1249
e18 1430 1246 1268
e19 1448 1305 728
e20 1526 3755 4088
e21 1759 3349 3726
e22 1350 2220 2272
f1 3755 5348 4433
f2 3860 5396 4612
f3 3929 5401 4763
f4 3950 5340 4786
f5 2922 3115 2735
f6 3303 3171 3166
f7 3580 3262 3623
f8 3747 3363 4148
f9 1353 1304 1032
f10 1424 1331 1116
f11 1486 1324 1166
f12 1720 1333 1307
f13 1563 1034 698
f14 1089 1443 756
f15 1059 1288 1520
f16 1797 1992 1576
f17 1159 1902 1496
f18 1635 1397 1548
f19 1669 1472 754
f20 1488 2020 1908
f21 1296 1947 2015
f22 1210 1650 1586
g1 3602 4670 3731
g2 3740 4595 3680
g3 3820 4495 3632
g4 3816 4395 3568
g5 2609 2483 1976
g6 3015 2406 1965
g7 3329 2329 1955
g8 3487 2276 1930
g9 1361 1284 990
g10 1449 1281 1012
g11 1532 1264 1003
g12 1804 1203 969
g13 1742 1068 702
g14 1122 1628 778
g15 1085 1417 1836
g16 2108 2443 1932
g17 1225 2283 1778
g18 1867 1569 1893
g19 1943 1690 789
g20 1289 1721 1729
g21 1322 1935 2275
g22 1241 2333 4026
h1 3553 4550 3375
h2 3682 4346 3005
h3 3757 4194 2691
h4 3774 3973 2504
h5 2532 2426 1740
h6 2896 2251 1500
h7 3190 2096 1305
h8 3324 1983 1139
h9 1356 1273 936
h10 1419 1252 901
h11 1495 1211 841
h12 1731 1126 710
h13 1967 1115 713
h14 1172 1873 815
h15 1114 1568 2235
h16 2487 3055 2395
h17 1305 2761 2146
h18 2140 1779 2325
h19 2288 1957 832
h20 1249 1592 1742
h21 1403 1579 1370
h22 1370 1691 2107
i1 3183 3863 2551
i2 3320 3579 1998
i3 3446 3338 1636
i4 3520 2935 1228
i5 2057 2154 1487
i6 2139 2080 1294
i7 2197 1999 1127
i8 2515 1735 788
i9 1313 1302 942
i10 1323 1280 889
i11 1340 1264 836
i12 1371 1202 719
i13 2218 1165 721
i14 1233 2178 876
i15 1155 1774 2786
i16 2980 3962 3081
i17 1395 3382 2662
i18 2470 2047 2900
i19 2730 2301 893
i20 1281 1495 1762
i21 2441 2865 3947
i22 1582 1459 1617
j1 3552 5048 3467
j2 3553 4779 2742
j3 3595 4478 2104
j4 3626 3731 1267
j5 2210 2550 1726
j6 2178 2479 1470
j7 2137 2381 1243
j8 2117 2172 877
j9 1289 1298 927
j10 1277 1298 883
j11 1267 1288 823
j12 1251 1248 722
j13 2507 1221 727
j14 1304 2513 942
j15 1196 2033 3492
j16 3491 4991 3960
j17 1509 4142 3307
j18 2909 2467 3798
j19 3171 2774 1000
j20 1575 1373 1377
j21 3633 3774 4926
j22 3879 5494 4898
k1 2789 4038 2642
k2 2537 3964 2123
