patch,r,g,b,refR,refG,refB,refX,refY,refZ
e1,13229.0,15357.0,14146.0,0,0,0,3.71,4.2,2.3
e2,14303.0,16612.0,18811.0,0,0,0,3.39,4.21,1.48
e3,15488.0,18303.0,24461.0,0,0,0,3.12,4.17,0.94
e4,15319.0,18146.0,25349.0,0,0,0,3.34,4.54,0.97
e5,8657.0,8676.0,8420.0,0,0,0,12.46,14.03,7.52
e6,9262.0,9639.0,12217.0,0,0,0,11.51,14.17,4.54
e7,10317.0,11503.0,18703.0,0,0,0,10.28,14.01,2.58
e8,11672.0,14302.0,27630.0,0,0,0,9.41,13.94,1.45
e9,5237.0,4808.0,4058.0,0,0,0,37.32,40.04,27.82
e10,5294.0,4882.0,4535.0,0,0,0,36.12,40.08,23.52
e11,5496.0,5107.0,5279.0,0,0,0,34.48,39.54,19.51
e12,6059.0,5829.0,7902.0,0,0,0,31.25,39.49,11.51
e13,5799.0,3567.0,2371.0,0,0,0,44.56,54.93,58.76
e14,4077.0,4419.0,2556.0,0,0,0,53.83,45.36,51.25
e15,3735.0,3907.0,4125.0,0,0,0,63.56,66.14,27.3
e16,6032.0,5586.0,4200.0,0,0,0,26.43,27.39,22.31
e17,3950.0,5175.0,4127.0,0,0,0,45.25,38.47,22.96
e18,5793.0,4333.0,4155.0,0,0,0,36.26,46.15,25.81
e19,6127.0,4682.0,2511.0,0,0,0,32.7,32.33,48.49
e20,5225.0,15078.0,23090.0,0,0,0,24.1,16.56,1.28
e21,6284.0,11993.0,15633.0,0,0,0,16.87,13.84,2.61
e22,4641.0,7202.0,7876.0,0,0,0,29.42,25.29,8.09
f1,19642.0,21383.0,18202.0,0,0,0,1.44,1.82,1.33
f2,23040.0,21836.0,20615.0,0,0,0,1.14,1.81,1.11
f3,25564.0,22165.0,23094.0,0,0,0,0.96,1.86,0.95
f4,25958.0,21957.0,23766.0,0,0,0,1.04,2.07,1.04
f5,12057.0,10774.0,9580.0,0,0,0,6.56,8.17,5.7
f6,14853.0,10848.0,10983.0,0,0,0,5.29,8.1,4.88
f7,19390.0,11618.0,13214.0,0,0,0,4.12,7.88,4.01
f8,24317.0,12781.0,16575.0,0,0,0,3.17,7.93,3.15
f9,5410.0,4673.0,3713.0,0,0,0,36.82,39.95,31.21
f10,5676.0,4641.0,3778.0,0,0,0,35.06,39.82,30.35
f11,6032.0,4709.0,3977.0,0,0,0,33.34,39.72,28.68
f12,7197.0,4770.0,4423.0,0,0,0,28.72,39.6,25.54
f13,6749.0,3763.0,2414.0,0,0,0,37.91,49.0,57.14
f14,4126.0,4857.0,2615.0,0,0,0,48.68,38.42,47.78
f15,3694.0,4150.0,4873.0,0,0,0,61.43,63.43,21.2
f16,7059.0,6651.0,5002.0,0,0,0,19.07,19.84,16.29
f17,4052.0,6090.0,4987.0,0,0,0,39.69,31.74,17.01
f18,6669.0,4833.0,4977.0,0,0,0,29.06,39.29,19.71
f19,7270.0,5388.0,2623.0,0,0,0,25.36,24.37,44.23
f20,5543.0,6819.0,6551.0,0,0,0,25.51,24.4,11.61
f21,4571.0,6419.0,6969.0,0,0,0,32.92,29.82,10.41
f22,4312.0,5364.0,5264.0,0,0,0,37.76,35.31,15.44
g1,17671.0,16703.0,12963.0,0,0,0,2.24,2.84,2.62
g2,22052.0,16522.0,12857.0,0,0,0,1.8,2.81,2.81
g3,25462.0,16105.0,12713.0,0,0,0,1.51,2.88,3.06
g4,25861.0,15776.0,12591.0,0,0,0,1.63,3.14,3.31
g5,10875.0,8885.0,7072.0,0,0,0,9.02,11.02,9.72
g6,13304.0,8548.0,6761.0,0,0,0,7.51,10.82,10.37
g7,17869.0,8625.0,6772.0,0,0,0,6.21,10.78,10.87
g8,23496.0,8756.0,6558.0,0,0,0,4.84,10.54,11.46
g9,5433.0,4558.0,3474.0,0,0,0,36.78,40.1,33.33
g10,5888.0,4508.0,3449.0,0,0,0,34.81,40.06,34.24
g11,6365.0,4526.0,3437.0,0,0,0,32.74,39.52,34.75
g12,7924.0,4415.0,3289.0,0,0,0,28.17,39.67,37.32
g13,7794.0,3961.0,2438.0,0,0,0,32.34,43.69,55.43
g14,4199.0,5446.0,2656.0,0,0,0,43.33,31.66,43.84
g15,3643.0,4463.0,5849.0,0,0,0,59.44,60.7,15.78
g16,8228.0,8116.0,6100.0,0,0,0,13.19,13.68,11.25
g17,4156.0,7310.0,6051.0,0,0,0,34.42,25.62,11.79
g18,7663.0,5450.0,6104.0,0,0,0,22.98,33.15,14.47
g19,8558.0,6250.0,2754.0,0,0,0,19.22,17.59,39.78
g20,4652.0,5700.0,5872.0,0,0,0,35.48,34.29,14.35
g21,4593.0,6308.0,7785.0,0,0,0,33.68,32.18,9.03
g22,4176.0,9463.0,19894.0,0,0,0,44.97,41.42,2.73
h1,16891.0,16338.0,11267.0,0,0,0,2.48,2.9,3.3
h2,20875.0,15733.0,9950.0,0,0,0,2.18,2.89,4.31
h3,25304.0,15305.0,8869.0,0,0,0,1.91,2.82,5.47
h4,26261.0,14483.0,8348.0,0,0,0,2.07,3.18,6.44
h5,10617.0,8840.0,6244.0,0,0,0,9.54,10.9,11.81
h6,12951.0,8270.0,5274.0,0,0,0,8.56,10.92,15.18
h7,17292.0,8067.0,4655.0,0,0,0,7.56,10.8,18.87
h8,23783.0,8037.0,4022.0,0,0,0,6.47,10.48,23.24
h9,5463.0,4545.0,3297.0,0,0,0,37.1,39.87,36.01
h10,5822.0,4463.0,3125.0,0,0,0,35.94,39.86,39.41
h11,6238.0,4337.0,2896.0,0,0,0,34.77,40.11,43.54
h12,7681.0,4167.0,2479.0,0,0,0,31.37,39.86,53.6
