patch,r,g,b,refR,refG,refB,refX,refY,refZ
i9,1243.0,1317.0,972.0,0,0,0,38.44,39.68,35.7
i10,1255.0,1294.0,910.0,0,0,0,38.68,39.92,39.37
i11,1272.0,1275.0,855.0,0,0,0,38.82,39.95,43.1
i12,1295.0,1203.0,732.0,0,0,0,39.39,40.48,52.11
i13,2455.0,1181.0,705.0,0,0,0,22.98,33.84,51.3
i14,1128.0,2209.0,861.0,0,0,0,33.71,20.65,35.93
i15,952.0,1687.0,2812.0,0,0,0,55.88,55.42,8.16
i16,2862.0,3895.0,3072.0,0,0,0,5.48,5.63,4.71
i17,1226.0,3422.0,2915.0,0,0,0,25.84,16.48,5.07
i18,2507.0,2059.0,2919.0,0,0,0,13.69,22.84,7.12
i19,2938.0,2483.0,872.0,0,0,0,10.53,8.11,31.26
i20,1117.0,1389.0,1645.0,0,0,0,40.46,44.14,15.57
i21,2220.0,2848.0,4145.0,0,0,0,10.6,14.14,3.33
i22,1423.0,1382.0,1504.0,0,0,0,27.73,35.54,16.85
j1,4007.0,5652.0,3631.0,0,0,0,2.03,1.81,2.98
j2,3993.0,5382.0,2813.0,0,0,0,2.43,1.89,4.86
j3,4132.0,5071.0,2130.0,0,0,0,2.75,1.86,7.76
j4,4515.0,4327.0,1311.0,0,0,0,3.89,1.92,19.02
j5,2053.0,2650.0,1776.0,0,0,0,11.37,11.02,11.93
j6,2029.0,2579.0,1485.0,0,0,0,12.09,11.01,15.55
j7,2031.0,2520.0,1246.0,0,0,0,13.09,11.24,20.23
j8,2064.0,2395.0,920.0,0,0,0,15.11,11.12,33.57
j9,1226.0,1322.0,962.0,0,0,0,39.41,40.08,36.29
j10,1209.0,1309.0,909.0,0,0,0,40.38,40.15,39.28
j11,1201.0,1293.0,842.0,0,0,0,41.5,40.42,43.68
j12,1181.0,1253.0,742.0,0,0,0,43.0,40.44,51.03
j13,2994.0,1270.0,717.0,0,0,0,19.05,29.21,48.71
j14,1200.0,2639.0,921.0,0,0,0,29.51,16.47,32.13
j15,988.0,2022.0,3764.0,0,0,0,54.05,52.52,5.29
j16,3619.0,5157.0,4123.0,0,0,0,3.1,3.21,2.66
j17,1338.0,4295.0,3823.0,0,0,0,22.32,13.18,2.86
j18,3098.0,2514.0,3900.0,0,0,0,10.1,18.32,4.5
j19,3623.0,2997.0,935.0,0,0,0,7.58,5.05,27.03
j20,1416.0,1269.0,1219.0,0,0,0,29.46,37.68,22.04
j21,3967.0,3854.0,5616.0,0,0,0,4.0,7.61,1.46
j22,4498.0,6047.0,5710.0,0,0,0,1.27,2.04,0.96
k1,2748.0,4263.0,2734.0,0,0,0,5.15,4.32,5.09
k2,2388.0,4294.0,2174.0,0,0,0,6.39,4.32,7.23
k3,2131.0,4331.0,1812.0,0,0,0,7.75,4.37,9.62
k4,2057.0,4449.0,1707.0,0,0,0,8.62,4.45,11.15
k5,1716.0,2373.0,1559.0,0,0,0,15.56,14.22,14.49
k6,1589.0,2442.0,1360.0,0,0,0,17.79,14.33,18.03
k7,1493.0,2514.0,1183.0,0,0,0,20.02,14.38,21.96
k8,1329.0,2710.0,955.0,0,0,0,25.52,14.48,31.69
k9,1185.0,1331.0,964.0,0,0,0,40.84,40.34,36.15
k10,1144.0,1337.0,909.0,0,0,0,42.98,40.37,39.23
k11,1108.0,1355.0,854.0,0,0,0,44.92,40.27,42.42
k12,1028.0,1346.0,746.0,0,0,0,48.93,40.18,48.91
k13,3488.0,1377.0,743.0,0,0,0,15.44,24.54,45.44
k14,1285.0,3165.0,1008.0,0,0,0,25.29,12.75,27.93
k15,1038.0,2372.0,4744.0,0,0,0,52.06,49.38,3.26
k16,4390.0,6605.0,5228.0,0,0,0,1.54,1.61,1.35
k17,1478.0,5292.0,4708.0,0,0,0,18.93,10.33,1.47
k18,3729.0,3077.0,5035.0,0,0,0,6.97,13.97,2.67
k19,4188.0,3698.0,1056.0,0,0,0,5.37,2.89,22.62
k20,4109.0,5250.0,4753.0,0,0,0,2.28,3.02,1.91
k21,4459.0,6141.0,5053.0,0,0,0,1.26,1.72,1.49
k22,4357.0,5489.0,3942.0,0,0,0,1.62,2.1,2.79
l1,3137.0,5355.0,3907.0,0,0,0,3.58,2.92,2.64
l2,2659.0,5472.0,3660.0,0,0,0,4.48,2.96,2.93
l3,2359.0,5552.0,3441.0,0,0,0,5.39,3.12,3.23
l4,2292.0,5489.0,3334.0,0,0,0,5.95,3.4,3.57
l5,1784.0,2870.0,1986.0,0,0,0,12.96,11.08,9.97
l6,1596.0,3135.0,1857.0,0,0,0,15.38,10.99,10.69
l7,1470.0,3496.0,1739.0,0,0,0,18.18,11.02,11.56
l8,1379.0,3949.0,1635.0,0,0,0,21.16,10.96,12.58
l9,1161.0,1340.0,987.0,0,0,0,40.94,39.99,33.66
l10,1112.0,1374.0,975.0,0,0,0,43.02,39.82,34.15
l11,1068.0,1410.0,960.0,0,0,0,45.36,39.98,35.08
l12,1003.0,1409.0,910.0,0,0,0,48.06,40.19,35.97
l13,3844.0,1520.0,775.0,0,0,0,12.12,19.77,41.27
l14,1391.0,3706.0,1112.0,0,0,0,21.34,9.74,23.64
l15,1102.0,2704.0,5535.0,0,0,0,48.52,44.71,1.86
l16,4838.0,7490.0,6063.0,0,0,0,0.63,0.68,0.6
l17,1636.0,6117.0,5318.0,0,0,0,15.51,7.82,0.67
l18,4240.0,3700.0,5946.0,0,0,0,4.37,9.78,1.44
l19,4493.0,4545.0,1245.0,0,0,0,3.85,1.6,18.27
l20,4708.0,7203.0,5691.0,0,0,0,0.71,0.78,0.82
l21,4521.0,6992.0,5418.0,0,0,0,0.96,0.93,1.01
l22,3875.0,6529.0,5024.0,0,0,0,1.94,1.57,1.38
gs0,878.0,841.0,624.0,0,0,0,74.72,77.75,63.04
gs1,941.0,926.0,691.0,0,0,0,65.56,67.88,55.45
gs2,989.0,984.0,745.0,0,0,0,58.77,60.99,49.71
gs3,1045.0,1057.0,805.0,0,0,0,52.06,53.98,44.05
gs4,1105.0,1139.0,870.0,0,0,0,45.81,47.44,38.7
gs5,1178.0,1240.0,952.0,0,0,0,39.71,41.23,33.59
gs6,1251.0,1348.0,1036.0,0,0,0,34.84,36.16,29.36
gs7,1340.0,1483.0,1141.0,0,0,0,30.03,31.18,25.42
gs8,1444.0,1628.0,1256.0,0,0,0,25.6,26.6,21.81
gs9,1557.0,1821.0,1397.0,0,0,0,21.49,22.27,18.18
gs10,1679.0,2020.0,1560.0,0,0,0,18.22,18.88,15.51
gs11,1826.0,2285.0,1764.0,0,0,0,15.15,15.65,12.67
