patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,16071.0,27431.0,17156.0,0,0,0,3.6,3.01,2.05
a2,13541.0,32250.0,18507.0,0,0,0,4.42,2.97,1.76
a3,12223.0,36967.0,20087.0,0,0,0,5.12,3.01,1.46
a4,11857.0,37665.0,20291.0,0,0,0,5.65,3.26,1.6
a5,9597.0,14001.0,9642.0,0,0,0,12.71,10.97,7.93
a6,8105.0,16497.0,10309.0,0,0,0,15.07,11.1,6.97
a7,7216.0,20087.0,11087.0,0,0,0,17.42,11.1,6.06
a8,6858.0,26679.0,12411.0,0,0,0,20.36,11.07,5.12
a9,6192.0,5278.0,4190.0,0,0,0,40.62,39.94,31.49
a10,5864.0,5433.0,4357.0,0,0,0,42.88,40.04,30.47
a11,5590.0,5660.0,4506.0,0,0,0,45.09,40.03,29.12
a12,5421.0,5922.0,4734.0,0,0,0,46.77,39.85,28.06
a13,5240.0,3560.0,2828.0,0,0,0,71.78,75.46,63.09
a14,5117.0,3625.0,2867.0,0,0,0,71.91,73.14,62.17
a15,5112.0,3529.0,2844.0,0,0,0,74.11,76.98,63.06
a16,5140.0,3559.0,2825.0,0,0,0,72.73,75.12,62.6
a17,5061.0,3511.0,2833.0,0,0,0,74.05,76.81,62.33
a18,5057.0,3465.0,2776.0,0,0,0,74.16,77.19,62.97
a19,5151.0,3485.0,2612.0,0,0,0,69.16,71.7,62.05
a20,23806.0,40741.0,28188.0,0,0,0,1.37,1.12,0.78
a21,12346.0,38517.0,28530.0,0,0,0,5.17,3.27,0.85
a22,9146.0,37900.0,28187.0,0,0,0,10.35,5.9,0.91
b1,16772.0,28117.0,19537.0,0,0,0,3.35,2.93,1.63
b2,14622.0,33057.0,23915.0,0,0,0,3.98,2.94,1.07
b3,13191.0,38100.0,28179.0,0,0,0,4.71,3.09,0.74
b4,12835.0,39622.0,29745.0,0,0,0,5.08,3.21,0.69
b5,9346.0,14874.0,11986.0,0,0,0,12.86,11.1,5.86
b6,8180.0,18119.0,15197.0,0,0,0,14.66,11.01,3.94
b7,7436.0,23587.0,19987.0,0,0,0,16.97,10.94,2.28
b8,7379.0,32235.0,26670.0,0,0,0,19.7,11.01,1.2
b9,6217.0,5351.0,4422.0,0,0,0,40.39,40.01,29.68
b10,5836.0,5597.0,4880.0,0,0,0,42.59,40.11,26.44
b11,5558.0,5852.0,5306.0,0,0,0,44.29,39.94,23.52
b12,5413.0,6241.0,5939.0,0,0,0,45.98,39.89,21.17
b13,5562.0,3596.0,2764.0,0,0,0,65.55,71.21,61.79
