patch r g b
a1 2697 4176 2910
a2 2271 5044 3077
a3 2054 6008 3365
a4 2011 6145 3375
a5 1653 2032 1555
a6 1420 2347 1692
a7 1297 2842 1848
a8 1240 3767 2059
a9 1156 876 755
a10 1086 876 756
a11 1026 886 770
a12 992 903 786
a13 953 589 484
a14 926 588 477
a15 926 574 471
a16 933 581 474
a17 919 565 463
a18 916 557 450
a19 930 563 429
a20 3847 6477 4559
a21 2078 6208 4795
a22 1595 5918 4844
b1 2806 4304 3320
b2 2461 5213 4061
b3 2224 6151 4771
b4 2195 6522 5137
b5 1620 2187 1996
b6 1443 2632 2563
b7 1345 3415 3468
b8 1344 4682 4588
b9 1156 881 783
b10 1090 916 860
b11 1034 941 929
b12 1003 978 1000
b13 1006 600 479
b14 937 609 481
b15 933 606 543
b16 1007 647 534
b17 929 624 526
b18 988 603 515
b19 980 595 432
b20 2791 6391 4887
b21 1722 6269 5012
b22 1114 1261 1266
c1 2616 3432 2970
c2 2453 3973 3955
c3 2373 4618 5309
c4 2331 4641 5668
c5 1320 1336 1426
c6 1245 1696 2436
c7 1247 2350 4369
c8 1310 3020 6330
c9 1100 816 758
c10 1055 861 881
c11 1018 911 1042
c12 998 966 1190
c13 1088 619 476
c14 948 644 490
c15 941 644 627
c16 1096 730 608
c17 944 695 611
c18 1072 653 595
c19 1067 640 438
c20 3716 6475 5049
c21 1182 2029 2458
c22 1079 1003 966
d1 2852 3382 3052
d2 2892 3721 4033
d3 2965 4218 5514
d4 2840 4155 5801
d5 1331 1134 1217
d6 1324 1379 2020
d7 1396 1905 3709
d8 1559 2884 6750
d9 1067 745 687
d10 1048 783 808
d11 1038 827 958
d12 1054 1094 1790
d13 1191 636 470
d14 960 693 500
d15 948 684 730
d16 1210 847 710
d17 961 796 725
d18 1176 708 680
d19 1174 698 440
d20 1445 2893 3343
d21 1340 1281 1261
d22 1060 906 891
e1 3148 3312 3079
e2 3465 3590 4120
e3 3790 3992 5538
e4 3766 3988 5890
e5 1935 1663 1763
e6 2112 1904 2692
e7 2415 2350 4213
e8 2853 3128 6640
e9 1237 881 824
e10 1258 916 949
e11 1290 957 1095
e12 1418 1155 1731
e13 1324 659 467
e14 976 758 512
e15 953 736 863
e16 1364 1011 857
e17 980 932 877
e18 1313 787 816
e19 1318 783 453
e20 1261 3316 5970
e21 1398 2512 3764
e22 1111 1382 1753
f1 4764 4751 3745
f2 5572 4765 4206
f3 6269 4831 4817
f4 6401 4779 4999
f5 2842 2181 2013
f6 3599 2205 2301
f7 4673 2361 2729
