patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,11734.0,19165.0,13268.0,0,0,0,3.6,3.01,2.05
a2,10327.0,19430.0,13648.0,0,0,0,4.42,2.97,1.76
a3,9337.0,19771.0,14258.0,0,0,0,5.12,3.01,1.46
a4,9010.0,19749.0,14255.0,0,0,0,5.65,3.26,1.6
a5,7381.0,13176.0,8580.0,0,0,0,12.71,10.97,7.93
a6,6297.0,14178.0,9154.0,0,0,0,15.07,11.1,6.97
a7,5487.0,15349.0,9727.0,0,0,0,17.42,11.1,6.06
a8,4738.0,16652.0,10436.0,0,0,0,20.36,11.07,5.12
a9,4447.0,6490.0,4208.0,0,0,0,40.62,39.94,31.49
a10,4130.0,6709.0,4303.0,0,0,0,42.88,40.04,30.47
a11,3889.0,7063.0,4449.0,0,0,0,45.09,40.03,29.12
a12,3720.0,7390.0,4531.0,0,0,0,46.77,39.85,28.06
a13,3533.0,4095.0,2906.0,0,0,0,71.78,75.46,63.09
a14,3442.0,4233.0,2935.0,0,0,0,71.91,73.14,62.17
a15,3401.0,4050.0,2912.0,0,0,0,74.11,76.98,63.06
a16,3409.0,4095.0,2853.0,0,0,0,72.73,75.12,62.6
a17,3367.0,4014.0,2856.0,0,0,0,74.05,76.81,62.33
a18,3373.0,4008.0,2859.0,0,0,0,74.16,77.19,62.97
a19,3544.0,4185.0,2827.0,0,0,0,69.16,71.7,62.05
a20,13984.0,22106.0,17413.0,0,0,0,1.37,1.12,0.78
a21,9562.0,20407.0,16676.0,0,0,0,5.17,3.27,0.85
a22,6832.0,19184.0,16316.0,0,0,0,10.35,5.9,0.91
b1,12031.0,19600.0,14245.0,0,0,0,3.35,2.93,1.63
b2,11010.0,20212.0,15560.0,0,0,0,3.98,2.94,1.07
b3,10118.0,20805.0,16722.0,0,0,0,4.71,3.09,0.74
b4,9738.0,20960.0,17169.0,0,0,0,5.08,3.21,0.69
b5,7252.0,13850.0,10146.0,0,0,0,12.86,11.1,5.86
b6,6403.0,15354.0,11848.0,0,0,0,14.66,11.01,3.94
b7,5613.0,17136.0,13831.0,0,0,0,16.97,10.94,2.28
b8,4989.0,18705.0,15776.0,0,0,0,19.7,11.01,1.2
b9,4458.0,6496.0,4379.0,0,0,0,40.39,40.01,29.68
b10,4126.0,6868.0,4768.0,0,0,0,42.59,40.11,26.44
b11,3897.0,7236.0,5159.0,0,0,0,44.29,39.94,23.52
b12,3727.0,7666.0,5567.0,0,0,0,45.98,39.89,21.17
b13,3822.0,4125.0,2870.0,0,0,0,65.55,71.21,61.79
b14,3437.0,4467.0,2918.0,0,0,0,68.8,67.99,60.07
b15,3422.0,4242.0,3330.0,0,0,0,71.26,74.48,51.88
b16,3832.0,4753.0,3231.0,0,0,0,57.82,60.0,49.14
b17,3415.0,4679.0,3244.0,0,0,0,65.61,64.93,49.68
b18,3764.0,4220.0,3194.0,0,0,0,62.84,68.83,51.29
b19,3800.0,4453.0,2790.0,0,0,0,60.77,62.73,59.44
b20,12454.0,21690.0,17488.0,0,0,0,2.87,2.06,0.8
b21,7609.0,19757.0,16790.0,0,0,0,8.37,4.88,0.88
b22,4607.0,9760.0,7354.0,0,0,0,29.02,24.67,11.91
c1,11436.0,18180.0,13130.0,0,0,0,4.49,4.31,2.29
c2,10911.0,19082.0,14960.0,0,0,0,4.9,4.37,1.42
c3,10630.0,20121.0,16902.0,0,0,0,5.13,4.3,0.82
c4,10301.0,20081.0,17293.0,0,0,0,5.7,4.77,0.85
c5,5514.0,9674.0,7886.0,0,0,0,23.78,22.59,10.89
c6,5079.0,11389.0,11429.0,0,0,0,25.55,22.41,5.5
c7,4788.0,13152.0,15036.0,0,0,0,27.72,22.42,2.39
c8,4750.0,14171.0,17143.0,0,0,0,28.7,22.23,1.28
c9,4149.0,5907.0,4266.0,0,0,0,46.89,47.28,32.4
c10,3916.0,6224.0,4919.0,0,0,0,48.17,47.13,26.63
c11,3766.0,6668.0,5756.0,0,0,0,49.81,47.42,21.58
c12,3678.0,7121.0,6615.0,0,0,0,50.47,46.85,18.1
c13,4265.0,4189.0,2844.0,0,0,0,58.24,65.94,60.94
c14,3473.0,4886.0,2908.0,0,0,0,64.18,60.73,57.45
c15,3456.0,4505.0,3813.0,0,0,0,68.73,71.96,42.7
c16,4324.0,5513.0,3650.0,0,0,0,45.88,47.73,38.75
c17,3468.0,5408.0,3691.0,0,0,0,58.66,55.64,39.4
c18,4224.0,4541.0,3645.0,0,0,0,53.28,61.12,41.61
