patch r g b
gs2 9015 6540 6275
gs3 9567 7020 6755
gs4 10112 7595 7362
gs5 10762 8295 8140
gs6 11422 8980 8842
gs7 12190 9860 9760
gs8 13052 10807 10697
gs9 14000 12060 11945
gs10 15025 13335 13372
gs11 16270 15035 15237
gs12 17655 16497 16877
gs13 19402 18540 19010
gs14 21492 20965 21780
gs15 24060 23660 25350
gs16 27130 27057 28610
gs17 30380 31060 33395
gs18 33395 35068 38328
gs19 35943 39138 43060
gs20 37838 42250 46885
gs21 38340 42953 48293
gs22 38445 43140 49273
gs23 38788 43310 48953
