patch,r,g,b,refR,refG,refB,refX,refY,refZ
c18,4570.0,3190.0,3655.0,3867.0,3045.0,3237.0,15119.7481918,17140.0,13655.0656309
c19,4602.0,3407.0,2747.0,3900.0,3685.0,2332.0,14366.1102159,14530.0,17929.5423783
c20,17145.0,24395.0,24987.0,13467.0,26607.0,21470.0,698.445505618,609.9,495.025280899
c21,4880.0,10637.0,12552.0,3430.0,11300.0,10995.0,6467.26647261,5060.0,1862.51918497
c22,4462.0,5497.0,5912.0,3557.0,5785.0,5145.0,9716.66776226,8963.0,5869.77074774
d1,13147.0,14980.0,15705.0,10580.0,15812.0,13510.0,1614.60463193,1667.0,1314.48028674
d2,13275.0,16072.0,19712.0,10612.0,16120.0,17187.0,1582.53046409,1660.0,1061.33264195
d3,13477.0,17230.0,24167.0,10655.0,16365.0,21140.0,1588.4334817,1675.0,878.505192878
d4,12902.0,16910.0,24775.0,10112.0,15732.0,21930.0,1771.58262351,1867.0,905.101971283
d5,5850.0,5940.0,7277.0,4762.0,5832.0,6412.0,7852.75951333,8170.0,5126.60626456
d6,5827.0,6892.0,11657.0,4622.0,5832.0,10485.0,7731.9558308,8131.0,3139.14746436
d7,6010.0,8475.0,19702.0,4570.0,5550.0,18200.0,7581.05595161,8071.0,1783.67530784
d8,6392.0,10590.0,29985.0,4612.0,5347.0,27790.0,7487.87515502,8020.0,1069.22281935
d9,4325.0,3642.0,3930.0,3622.0,3642.0,3452.0,15022.4101714,15560.0,12424.7761194
d10,4240.0,3807.0,4697.0,3515.0,3637.0,4187.0,14954.9332635,15600.0,10272.0753729
d11,4260.0,4057.0,5720.0,3515.0,3685.0,5112.0,14723.6377246,15420.0,8329.41616766
d12,4315.0,4877.0,10015.0,3452.0,3497.0,9120.0,14469.8237394,15350.0,4428.27978581
d13,5285.0,3077.0,2855.0,4580.0,3020.0,2460.0,14810.1086957,16920.0,19356.8478261
d14,3985.0,3987.0,3100.0,3280.0,4522.0,2630.0,16347.5246225,14680.0,17166.8286277
d15,3900.0,3450.0,4622.0,3237.0,3172.0,4145.0,18300.8244275,19210.0,11369.5826972
d16,5412.0,4772.0,4687.0,4527.0,4975.0,4102.0,10065.2053597,10330.0,9695.09466939
d17,3920.0,4602.0,4687.0,3162.0,4925.0,4070.0,14196.241074,12970.0,9880.31705227
d18,5145.0,3482.0,4305.0,4377.0,3205.0,3825.0,12563.722966,14900.0,10898.7899073
d19,5210.0,3907.0,2855.0,4410.0,4325.0,2385.0,11627.0943396,11540.0,16421.2418525
d20,6382.0,14607.0,17560.0,4452.0,15550.0,15492.0,3926.20380148,3076.0,1118.17634636
d21,5827.0,6865.0,7352.0,4697.0,7202.0,6425.0,6130.00053952,5944.0,3960.52872943
d22,4390.0,4910.0,5592.0,3547.0,5022.0,4942.0,10538.8707519,10140.0,6455.19400589
