patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,2618.0,4373.0,3363.0,0,0,0,3.6,3.01,2.05
a2,2326.0,4860.0,3559.0,0,0,0,4.42,2.97,1.76
a3,2183.0,5370.0,3838.0,0,0,0,5.12,3.01,1.46
a4,2142.0,5383.0,3797.0,0,0,0,5.65,3.26,1.6
a5,1659.0,2462.0,1808.0,0,0,0,12.71,10.97,7.93
a6,1469.0,2768.0,1917.0,0,0,0,15.07,11.1,6.97
a7,1337.0,3177.0,2031.0,0,0,0,17.42,11.1,6.06
a8,1228.0,3806.0,2197.0,0,0,0,20.36,11.07,5.12
a9,1035.0,1128.0,864.0,0,0,0,40.62,39.94,31.49
a10,969.0,1164.0,889.0,0,0,0,42.88,40.04,30.47
a11,910.0,1197.0,912.0,0,0,0,45.09,40.03,29.12
a12,865.0,1220.0,924.0,0,0,0,46.77,39.85,28.06
a13,808.0,756.0,573.0,0,0,0,71.78,75.46,63.09
a14,793.0,785.0,584.0,0,0,0,71.91,73.14,62.17
a15,793.0,766.0,579.0,0,0,0,74.11,76.98,63.06
a16,796.0,768.0,572.0,0,0,0,72.73,75.12,62.6
a17,786.0,754.0,569.0,0,0,0,74.05,76.81,62.33
a18,788.0,749.0,561.0,0,0,0,74.16,77.19,62.97
a19,824.0,774.0,558.0,0,0,0,69.16,71.7,62.05
a20,3871.0,6521.0,5186.0,0,0,0,1.37,1.12,0.78
a21,2225.0,5681.0,4926.0,0,0,0,5.17,3.27,0.85
a22,1710.0,5314.0,4721.0,0,0,0,10.35,5.9,0.91
b1,2729.0,4542.0,3816.0,0,0,0,3.35,2.93,1.63
b2,2473.0,5111.0,4515.0,0,0,0,3.98,2.94,1.07
b3,2328.0,5637.0,5029.0,0,0,0,4.71,3.09,0.74
b4,2286.0,5776.0,5239.0,0,0,0,5.08,3.21,0.69
b5,1644.0,2636.0,2225.0,0,0,0,12.86,11.1,5.86
b6,1497.0,3082.0,2765.0,0,0,0,14.66,11.01,3.94
b7,1378.0,3775.0,3607.0,0,0,0,16.97,10.94,2.28
b8,1323.0,4704.0,4456.0,0,0,0,19.7,11.01,1.2
