patch,r,g,b,refR,refG,refB,refX,refY,refZ
e1,13857.0,14762.0,13023.0,0,0,0,3.71,4.2,2.3
e2,15242.0,15873.0,17508.0,0,0,0,3.39,4.21,1.48
e3,16655.0,17514.0,23659.0,0,0,0,3.12,4.17,0.94
e4,16492.0,17444.0,24999.0,0,0,0,3.34,4.54,0.97
e5,8466.0,7298.0,7373.0,0,0,0,12.46,14.03,7.52
e6,9217.0,8251.0,11296.0,0,0,0,11.51,14.17,4.54
e7,10557.0,10091.0,17727.0,0,0,0,10.28,14.01,2.58
e8,12458.0,13353.0,28188.0,0,0,0,9.41,13.94,1.45
e9,5425.0,3879.0,3453.0,0,0,0,37.32,40.04,27.82
e10,5528.0,4027.0,3971.0,0,0,0,36.12,40.08,23.52
e11,5647.0,4190.0,4584.0,0,0,0,34.48,39.54,19.51
e12,6218.0,4989.0,7238.0,0,0,0,31.25,39.49,11.51
e13,5812.0,2906.0,1942.0,0,0,0,44.56,54.93,58.76
e14,4265.0,3354.0,2126.0,0,0,0,53.83,45.36,51.25
e15,4158.0,3198.0,3595.0,0,0,0,63.56,66.14,27.3
e16,5972.0,4460.0,3568.0,0,0,0,26.43,27.39,22.31
e17,4308.0,4119.0,3675.0,0,0,0,45.25,38.47,22.96
e18,5759.0,3444.0,3404.0,0,0,0,36.26,46.15,25.81
e19,5783.0,3496.0,1896.0,0,0,0,32.7,32.33,48.49
e20,5493.0,14381.0,25224.0,0,0,0,24.1,16.56,1.28
e21,6092.0,10982.0,15897.0,0,0,0,16.87,13.84,2.61
e22,4858.0,6053.0,7373.0,0,0,0,29.42,25.29,8.09
f1,20979.0,21302.0,16010.0,0,0,0,1.44,1.82,1.33
f2,24548.0,21247.0,17903.0,0,0,0,1.14,1.81,1.11
f3,27568.0,21445.0,20438.0,0,0,0,0.96,1.86,0.95
f4,28116.0,21139.0,21148.0,0,0,0,1.04,2.07,1.04
f5,12436.0,9613.0,8454.0,0,0,0,6.56,8.17,5.7
f6,15743.0,9662.0,9688.0,0,0,0,5.29,8.1,4.88
f7,20432.0,10272.0,11472.0,0,0,0,4.12,7.88,4.01
f8,26247.0,11657.0,14643.0,0,0,0,3.17,7.93,3.15
f9,5569.0,3775.0,3129.0,0,0,0,36.82,39.95,31.21
f10,5828.0,3794.0,3243.0,0,0,0,35.06,39.82,30.35
f11,6088.0,3778.0,3329.0,0,0,0,33.34,39.72,28.68
f12,7196.0,3879.0,3648.0,0,0,0,28.72,39.6,25.54
f13,6636.0,3038.0,1935.0,0,0,0,37.91,49.0,57.14
f14,4332.0,3739.0,2178.0,0,0,0,48.68,38.42,47.78
f15,4187.0,3502.0,4408.0,0,0,0,61.43,63.43,21.2
f16,6888.0,5482.0,4378.0,0,0,0,19.07,19.84,16.29
f17,4395.0,4944.0,4528.0,0,0,0,39.69,31.74,17.01
f18,6602.0,3870.0,4114.0,0,0,0,29.06,39.29,19.71
f19,6740.0,4062.0,1966.0,0,0,0,25.36,24.37,44.23
f20,5426.0,5380.0,5611.0,0,0,0,25.51,24.4,11.61
f21,4755.0,5200.0,6248.0,0,0,0,32.92,29.82,10.41
f22,4591.0,4292.0,4540.0,0,0,0,37.76,35.31,15.44
g1,18820.0,16292.0,11565.0,0,0,0,2.24,2.84,2.62
g2,23246.0,15648.0,11124.0,0,0,0,1.8,2.81,2.81
g3,27062.0,15157.0,10798.0,0,0,0,1.51,2.88,3.06
g4,27592.0,14890.0,10956.0,0,0,0,1.63,3.14,3.31
g5,11112.0,7564.0,5856.0,0,0,0,9.02,11.02,9.72
g6,14027.0,7316.0,5559.0,0,0,0,7.51,10.82,10.37
g7,18561.0,7333.0,5320.0,0,0,0,6.21,10.78,10.87
g8,24697.0,7821.0,5172.0,0,0,0,4.84,10.54,11.46
g9,5612.0,3684.0,2933.0,0,0,0,36.78,40.1,33.33
g10,5966.0,3657.0,2914.0,0,0,0,34.81,40.06,34.24
g11,6341.0,3615.0,2843.0,0,0,0,32.74,39.52,34.75
g12,7898.0,3573.0,2649.0,0,0,0,28.17,39.67,37.32
g13,7664.0,3209.0,1949.0,0,0,0,32.34,43.69,55.43
g14,4389.0,4307.0,2236.0,0,0,0,43.33,31.66,43.84
g15,4227.0,3912.0,5580.0,0,0,0,59.44,60.7,15.78
g16,7999.0,6961.0,5453.0,0,0,0,13.19,13.68,11.25
g17,4498.0,6157.0,5667.0,0,0,0,34.42,25.62,11.79
g18,7636.0,4430.0,5189.0,0,0,0,22.98,33.15,14.47
