patch r g b
a1 25252 34333 32000
a2 21365 36080 33895
a3 19137 37490 35900
a4 18455 37433 35515
a5 14960 21135 18200
a6 12402 23800 19722
a7 10707 27010 21567
a8 9247 31445 23697
a9 9205 9722 8982
a10 8662 10345 9365
a11 8192 11037 9717
a12 7715 11305 9822
a13 7457 6060 5850
a14 7287 6217 5880
a15 7245 5917 5837
a16 7180 5912 5720
a17 7052 5805 5720
a18 7127 5817 5720
a19 7405 6082 5720
a20 33193 42090 44223
a21 18850 37278 41035
a22 13042 35728 40235
b1 25977 35068 34153
b2 22855 37305 38563
b3 20650 39213 42293
b4 19862 39598 43455
b5 14480 22210 22142
b6 12510 26067 27855
b7 10975 31040 34695
b8 9812 36868 41365
b9 9290 9920 9632
b10 8695 10670 10527
b11 8267 11485 11540
b12 7885 12077 12445
b13 8215 6295 6115
b14 7457 6860 6222
b15 7382 6460 7010
b16 8162 7085 6947
b17 7297 7020 6925
b18 8130 6375 6862
b19 8022 6630 5880
b20 25562 40040 43038
b21 14565 36800 41110
b22 9002 14705 14852
c1 23965 30607 30955
c2 22567 33010 36848
c3 21715 35445 43028
c4 21087 35090 43743
c5 10985 14960 16312
c6 10122 18357 26307
c7 9642 22467 39330
c8 9632 25002 46268
c9 8747 9060 9387
c10 8352 9737 10975
c11 8045 10477 12840
c12 7885 11107 14692
c13 9205 6525 6200
c14 7522 7580 6425
c15 7447 6860 8205
c16 9195 8357 8150
c17 7522 8300 8320
c18 9045 6972 8045
c19 9045 7387 6030
c20 32030 41823 44808
c21 9440 21352 25467
c22 8725 11862 12062
d1 25840 30490 31422
d2 25977 32040 37135
d3 26500 33990 43093
d4 25180 32985 43455
d5 11145 12435 14490
d6 11135 14505 23302
d7 11572 17220 36635
d8 12295 19860 49315
d9 8395 7930 8535
d10 8407 8490 10315
d11 8375 8985 12190
d12 8567 10867 21237
d13 10260 6642 6180
d14 7627 8577 6605
d15 7542 7430 9750
d16 10547 10047 9590
d17 7650 9907 9802
d18 10175 7537 9302
d19 10240 8305 6082
d20 12670 26942 33000
d21 11497 14457 14937
d22 8610 10570 11507
e1 28332 30462 31647
e2 30177 31690 37765
e3 32382 33225 43838
e4 32190 32575 44530
e5 17380 17682 19990
e6 18977 19190 29025
e7 21450 20650 38765
e8 24487 22200 47995
e9 10345 9642 10302
e10 10762 10080 12030
e11 11220 10437 13820
e12 12647 11460 20947
e13 11657 6850 6190
e14 7725 9770 6830
e15 7617 7990 11572
e16 12157 12182 11325
e17 7872 11997 11582
e18 11700 8282 11050
e19 11657 9432 6242
e20 9492 28210 43475
e21 11730 23675 34398
e22 9110 15880 20437
f1 35930 38648 37955
f2 37615 39038 40930
f3 38530 39143 43573
f4 39108 38898 44063
f5 25500 21852 22195
f6 31327 21982 25957
f7 35793 22237 30155
f8 38020 22712 35623
f9 10675 9407 9355
f10 11507 9435 9930
f11 12210 9380 10250
f12 14852 9045 11347
f13 13627 7085 6137
f14 7830 11207 6947
f15 7725 8687 13957
f16 14267 14585 13275
f17 8045 14645 13852
f18 13660 9177 13212
f19 13797 10895 6392
f20 10602 14155 16025
f21 8822 13515 17410
f22 8535 11442 13787
g1 34460 32883 29910
g2 36858 32035 29462
g3 38170 31270 28737
g4 38488 30730 28952
g5 22537 17697 15557
g6 28375 16962 15045
g7 33608 16052 14692
g8 36475 15685 14822
g9 10825 9242 8907
g10 11817 9067 8907
g11 12840 8947 8832
g12 16195 8172 8257
g13 15737 7292 6062
g14 8012 13202 7222
g15 7810 9587 17060
g16 17070 17965 16175
g17 8215 17885 16632
g18 15940 10265 15770
g19 16440 12785 6542
g20 9172 11815 14960
g21 9162 13280 20277
g22 8492 16647 42463
h1 33748 32057 26735
h2 36230 30400 23537
h3 37955 29345 20617
h4 38255 27880 19222
h5 21757 17550 13575
h6 27075 16290 11357
h7 32722 15045 9717
h8 35953 14372 8747
h9 10890 9257 8375
h10 11572 9007 8032
h11 12582 8747 7512
h12 15515 7905 6222
h13 18592 7597 5977
h14 8267 15700 7597
h15 7960 10750 21482
h16 20587 22060 20052
h17 8407 21617 20427
h18 18837 11682 19627
h19 20170 15205 6787
h20 8940 10717 15205
h21 10452 10692 11295
h22 9867 11027 18200
i1 28345 27230 20010
i2 30890 25135 15012
i3 33748 23757 12115
i4 37168 21460 9057
i5 16857 16072 11945
i6 17870 15587 10080
i7 18945 15045 8907
i8 23837 13260 6275
i9 10367 9535 8502
i10 10462 9332 7905
i11 10730 9327 7565
i12 11050 8837 6477
i13 21930 7957 5902
i14 8470 18427 8022
i15 8022 12152 27097
i16 25350 27737 25562
i17 8767 26222 25745
i18 22397 13547 24775
i19 25020 17782 7160
i20 9407 9797 15097
i21 19967 18982 33575
i22 12680 9317 13117
j1 33353 36388 27950
j2 33405 34653 21642
j3 34875 32958 16292
j4 38328 27975 9557
j5 17997 19045 13915
j6 17720 18795 11817
j7 17592 18385 10005
j8 17890 17630 7277
j9 10165 9642 8522
j10 9962 9610 8045
j11 9877 9540 7447
j12 9727 9427 6605
j13 25755 8422 5955
j14 8757 21252 8492
j15 8247 14235 35685
j16 31412 35378 33470
j17 9237 31882 33235
j18 27172 16185 32425
j19 30932 20740 7787
j20 12712 8890 11155
j21 34098 24912 45063
j22 37125 38910 46513
k1 23037 28647 21150
k2 19830 28610 16845
k3 17517 28992 14160
k4 16665 29755 13500
k5 14640 17522 12615
k6 13062 18375 11060
k7 11870 19162 9962
k8 9802 20990 8182
k9 9665 9742 8427
k10 9172 9962 7960
k11 8842 10197 7585
k12 8215 10740 6905
k13 29462 9012 6082
k14 9172 24235 9227
k15 8512 16302 43775
k16 36400 42410 42100
k17 9770 37795 40898
k18 32275 19195 40843
k19 35293 24705 8695
k20 35110 35430 38703
k21 36773 38723 39513
k22 35728 34353 29772
l1 25605 34295 28982
l2 21757 35083 28067
l3 19275 35765 27565
l4 18667 35883 27235
l5 15110 20952 15972
l6 12605 23340 15472
l7 10815 26137 15077
l8 9322 29237 14532
l9 9462 9925 8842
l10 8917 10382 8832
l11 8512 10957 8875
l12 8045 11425 8725
l13 32467 9977 6327
l14 9590 27005 10047
l15 8885 18577 51435
l16 39053 47215 52108
l17 10560 41718 48270
l18 36175 23357 49305
l19 37253 28925 9887
l20 37700 44153 46333
l21 36325 42235 42315
l22 30785 38973 37028
gs0 7095 5587 5327
gs1 7512 6205 5892
gs2 7915 6647 6350
gs3 8480 7372 7052
gs4 9077 8122 7660
gs5 9812 8970 8460
gs6 10410 9807 9067
gs7 11272 10782 9930
gs8 12265 11950 10782
gs9 13405 13580 12092
gs10 14620 15067 13105
gs11 15940 16882 14790
gs12 17697 18610 16505
gs13 19552 20617 18220
gs14 21492 22897 20617
gs15 23932 25610 23420
gs16 26627 28800 25925
gs17 29632 32340 29560
gs18 32415 35888 33278
gs19 34385 38968 37403
gs20 35570 41138 41218
gs21 35815 41388 42293
gs22 35878 41530 43625
gs23 36315 41793 44700
