patch r g b
a1 3158 5011 4018
a2 2814 5216 4141
a3 2560 5349 4264
a4 2484 5321 4246
a5 1928 3160 2492
a6 1675 3415 2623
a7 1554 3781 2785
a8 1463 4182 2960
a9 1224 1491 1149
a10 1164 1528 1163
a11 1113 1590 1199
a12 1080 1643 1230
a13 985 975 745
a14 966 1001 750
a15 954 965 745
a16 959 974 739
a17 940 951 731
a18 929 931 707
a19 948 938 681
a20 3774 5855 4775
a21 2496 5376 4521
a22 1810 4997 4361
b1 3259 5128 4262
b2 3006 5353 4529
b3 2742 5464 4640
b4 2661 5497 4724
b5 1878 3300 2905
b6 1709 3726 3480
b7 1601 4232 3988
b8 1537 4729 4330
b9 1220 1500 1204
b10 1162 1576 1301
b11 1117 1652 1399
b12 1089 1740 1517
b13 1056 994 748
b14 970 1042 752
b15 955 1004 833
b16 1064 1118 849
b17 963 1085 838
b18 1025 1004 815
b19 1015 1002 688
b20 3288 5700 4752
b21 1971 5169 4428
b22 1222 2173 1957
c1 3019 4626 3996
c2 2936 4894 4397
c3 2825 5084 4712
c4 2757 5056 4794
c5 1445 2232 2147
c6 1395 2705 3244
c7 1372 3153 4219
c8 1377 3365 4545
c9 1147 1376 1150
c10 1103 1445 1306
c11 1077 1553 1546
c12 1067 1657 1768
c13 1148 1016 754
c14 984 1112 751
c15 958 1057 948
c16 1165 1268 971
c17 984 1226 960
c18 1123 1081 942
c19 1117 1098 704
c20 3727 5871 4850
c21 1342 3100 3217
c22 1158 1774 1537
d1 3191 4614 4038
d2 3257 4836 4512
d3 3306 4979 4821
d4 3206 4872 4871
d5 1427 1909 1884
d6 1437 2251 2893
d7 1496 2627 4060
d8 1568 2871 4748
d9 1103 1236 1044
d10 1084 1289 1216
d11 1083 1367 1440
d12 1114 1716 2503
d13 1254 1035 755
d14 998 1216 766
d15 961 1115 1095
d16 1289 1468 1126
d17 1005 1404 1113
d18 1227 1163 1082
d19 1235 1216 722
d20 1672 3901 3891
d21 1439 2173 1951
d22 1114 1585 1414
e1 3371 4632 4093
e2 3548 4793 4584
e3 3684 4925 4904
e4 3669 4833 4987
e5 2167 2714 2698
e6 2377 2978 3621
e7 2681 3217 4464
e8 3020 3396 5006
e9 1300 1470 1267
e10 1326 1510 1435
e11 1363 1581 1663
e12 1508 1810 2500
e13 1394 1064 751
e14 1022 1349 786
e15 967 1198 1296
e16 1461 1743 1343
e17 1034 1645 1316
e18 1368 1275 1288
e19 1395 1362 741
e20 1361 3782 4388
e21 1564 3482 4041
e22 1225 2364 2572
f1 3888 5502 4586
f2 3990 5555 4737
f3 4047 5561 4890
f4 4075 5549 4927
f5 3095 3431 3106
f6 3483 3497 3486
f7 3744 3612 3916
f8 3898 3751 4461
f9 1330 1422 1151
f10 1393 1412 1177
f11 1460 1410 1229
f12 1735 1410 1360
f13 1609 1105 753
f14 1046 1506 801
f15 972 1296 1554
f16 1706 2099 1648
f17 1079 1965 1607
f18 1577 1429 1548
f19 1655 1572 776
f20 1343 2120 2066
f21 1170 2048 2224
f22 1109 1724 1701
g1 3717 4912 3939
g2 3858 4882 3934
g3 3936 4822 3920
g4 3959 4770 3934
g5 2804 2769 2236
g6 3252 2713 2208
g7 3580 2700 2229
g8 3727 2691 2249
g9 1340 1392 1089
g10 1430 1365 1077
