patch r g b
a1 24445 31640 33320
a2 22855 32237 33650
a3 21780 32237 33853
a4 21192 32072 33448
a5 17410 22327 21812
a6 15662 23915 22985
a7 14522 25540 24007
a8 13415 27150 24922
a9 11282 10685 10547
a10 10867 11117 10792
a11 10430 11645 11187
a12 10165 12097 11625
a13 9035 7245 7150
a14 8875 7452 7202
a15 8800 7160 7127
a16 8855 7245 7160
a17 8695 7147 7170
a18 8620 6992 6947
a19 8822 7105 6850
a20 26542 33553 37925
a21 21685 31502 35665
a22 16600 29287 33245
b1 24827 32082 34760
b2 23825 32808 35665
b3 22802 33048 36188
b4 22237 33020 36103
b5 17220 23420 25242
b6 15940 25652 28450
b7 14950 28070 31327
b8 13990 29515 32650
b9 11357 10805 11112
b10 10910 11490 12082
b11 10560 12125 13052
b12 10292 12685 13840
b13 9600 7297 7170
b14 8970 7835 7245
b15 8917 7595 8267
b16 9835 8287 8385
b17 9015 8225 8277
b18 9505 7537 8182
b19 9440 7585 7010
b20 25190 33240 37765
b21 17965 30315 34258
b22 11890 15407 17315
c1 23880 30145 32798
c2 23282 31215 34568
c3 23005 31832 36293
c4 22525 31517 36133
c5 13712 15827 18945
c6 13382 18817 26437
c7 13117 21172 31552
c8 13000 22237 32895
c9 10645 9892 10430
c10 10462 10660 12337
c11 10217 11325 14150
c12 10142 11985 15802
c13 10377 7372 7160
c14 9120 8442 7340
c15 9035 8060 9492
c16 10910 9440 9695
c17 9312 9365 9557
c18 10517 8112 9492
c19 10462 8267 7212
c20 26457 33730 38383
c21 13020 21380 26180
c22 11252 12800 14320
d1 24455 30155 33278
d2 24720 31060 35420
d3 24987 31610 37243
d4 24487 30997 36858
d5 13467 13552 16782
d6 13767 15620 24625
d7 14362 17235 31637
d8 14790 18022 34865
d9 10142 8987 9695
d10 10315 9615 11720
d11 10325 10110 13542
d12 10612 11852 21525
d13 11347 7467 7192
d14 9345 9312 7575
d15 9195 8580 11070
d16 12392 10985 11357
d17 9675 10815 11060
d18 11635 8705 10867
d19 11645 9082 7382
d20 16005 26155 30965
d21 14097 15582 18050
d22 10877 11532 13362
e1 25180 30122 33588
e2 25680 30857 35963
e3 26395 31290 37775
e4 26425 30742 37818
e5 19010 19370 23547
e6 20480 20792 30122
e7 22152 21545 34780
e8 23720 21950 37475
e9 12222 10567 11710
e10 12657 11070 13565
e11 13137 11480 15620
e12 14330 12555 22450
e13 12552 7687 7277
e14 9642 10335 7862
e15 9355 9172 12902
e16 14140 13025 13500
e17 10175 12625 12967
e18 13085 9487 12840
e19 13117 10067 7597
e20 13127 25092 32372
e21 15087 23330 30987
e22 11975 16382 21897
f1 26927 33443 36943
f2 27140 33688 37765
f3 27535 33570 38318
f4 27577 33453 38040
f5 23975 24107 27065
f6 25670 24367 29942
f7 26670 24565 32798
f8 27290 24705 35440
f9 12477 10307 10815
f10 13085 10340 11390
f11 13745 10457 12167
f12 15642 10202 13405
f13 14065 7980 7382
f14 9972 11540 8150
f15 9665 9992 15280
f16 16335 15615 16132
f17 10697 14830 15312
f18 14822 10495 15312
f19 15110 11400 7937
f20 13372 15252 19020
f21 11582 14587 19787
f22 10890 12365 15492
g1 26395 31322 33278
g2 26617 31107 33183
g3 26872 30725 33108
g4 27012 30367 32768
g5 22355 19925 20617
g6 24337 19467 20800
g7 25627 18917 20692
g8 26160 18610 20725
g9 12467 10105 10292
g10 13405 10110 10645
