patch r g b
a1 477 3100 13075
a2 510 3297 13882
a3 542 3557 14992
a4 532 3510 14682
a5 255 1720 7107
a6 265 1857 7650
a7 297 2002 8215
a8 307 2157 8790
a9 137 867 3590
a10 137 900 3750
a11 137 942 3910
a12 147 962 3985
a13 85 562 2310
a14 85 572 2352
a15 85 567 2365
a16 85 567 2332
a17 85 567 2352
a18 85 557 2300
a19 85 562 2310
a20 755 4682 19905
a21 702 4490 19030
a22 692 4430 18850
b1 542 3440 14587
b2 627 4100 17390
b3 702 4627 19637
b4 722 4792 20277
b5 317 2165 8992
b6 402 2770 11572
b7 542 3685 15430
b8 680 4617 19372
b9 137 920 3802
b10 157 1047 4335
b11 170 1160 4837
b12 180 1235 5157
b13 85 580 2407
b14 95 605 2482
b15 95 685 2865
b16 95 675 2812
b17 95 670 2780
b18 95 652 2727
b19 85 580 2385
b20 765 4882 20800
b21 712 4635 19670
b22 222 1480 6222
c1 490 3120 13202
c2 605 3952 16845
c3 745 4857 20767
c4 765 5027 21492
c5 255 1717 7160
c6 415 2805 11922
c7 692 4622 19862
c8 882 5875 25412
c9 137 905 3750
c10 157 1090 4527
c11 200 1320 5487
c12 222 1490 6285
c13 95 600 2460
c14 95 620 2525
c15 127 830 3452
c16 137 825 3420
c17 127 812 3365
c18 127 770 3237
c19 85 572 2332
c20 797 5055 21470
c21 402 2602 10995
c22 180 1225 5145
d1 510 3190 13510
d2 627 4037 17187
d3 765 4937 21140
d4 787 5117 21930
d5 232 1527 6412
d6 372 2482 10485
d7 627 4180 18200
d8 957 6290 27790
d9 127 835 3452
d10 147 1005 4187
d11 180 1225 5112
d12 317 2145 9120
d13 95 600 2460
d14 95 647 2630
d15 147 990 4145
d16 147 990 4102
d17 147 985 4070
d18 137 915 3825
d19 95 590 2385
d20 562 3647 15492
d21 232 1532 6425
d22 180 1175 4942
e1 510 3255 13797
e2 650 4147 17795
e3 787 5032 21587
e4 807 5230 22482
e5 307 2065 8630
e6 477 3130 13350
e7 702 4637 20000
e8 947 6142 27002
e9 147 1017 4230
e10 180 1185 4922
e11 200 1385 5795
e12 307 2097 8865
e13 85 585 2407
e14 95 660 2685
e15 180 1202 5050
e16 180 1165 4847
e17 170 1187 4932
e18 170 1107 4665
e19 95 612 2482
e20 862 5587 24007
e21 605 3920 16815
e22 317 2102 8917
f1 650 4072 17230
f2 702 4420 18657
f3 777 4895 20810
f4 777 4952 21130
f5 340 2225 9237
f6 402 2597 10952
f7 477 3015 12817
f8 617 3860 16580
f9 137 935 3845
f10 137 952 3930
f11 147 1010 4207
f12 170 1110 4655
f13 95 590 2407
f14 95 675 2727
f15 222 1447 6125
f16 212 1377 5700
f17 212 1422 5902
f18 212 1357 5742
f19 95 620 2512
f20 265 1735 7310
f21 287 1857 7862
f22 222 1432 6030
g1 467 2965 12402
g2 457 2880 12040
g3 457 2805 11785
g4 457 2827 11827
g5 245 1617 6702
g6 245 1537 6382
g7 245 1432 5977
g8 245 1405 5850
g9 137 897 3685
g10 137 882 3632
g11 137 872 3600
g12 127 797 3292
g13 95 582 2375
g14 95 692 2780
g15 265 1790 7585
g16 245 1640 6775
g17 245 1735 7170
g18 255 1640 7000
g19 95 617 2492
g20 245 1602 6797
g21 330 2145 9172
g22 807 5172 22770
h1 402 2555 10612
h2 350 2150 8907
h3 307 1852 7597
h4 297 1735 7107
h5 222 1400 5775
h6 200 1137 4687
h7 157 915 3727
h8 147 765 3120
h9 127 840 3452
h10 127 787 3237
h11 105 727 2992
h12 95 580 2365
h13 95 562 2290
h14 95 717 2855
h15 330 2257 9590
h16 307 1970 8130
h17 307 2107 8662
h18 317 2032 8682
h19 95 615 2427
h20 245 1622 6892
h21 180 1175 4942
h22 297 1942 8320
i1 297 1842 7585
i2 222 1377 5582
i3 180 1080 4335
i4 147 765 3047
i5 200 1260 5177
i6 157 1047 4250
i7 137 887 3557
i8 95 590 2352
i9 127 860 3537
i10 127 802 3270
i11 105 745 3047
i12 95 627 2535
i13 95 562 2290
i14 95 737 2875
i15 435 2865 12307
i16 382 2492 10302
i17 392 2645 10857
i18 402 2572 11080
i19 105 615 2427
i20 245 1640 6990
i21 627 3962 17262
i22 222 1415 6030
j1 415 2625 10815
j2 307 1890 7617
j3 222 1377 5487
j4 147 732 2875
j5 222 1442 5880
j6 180 1197 4847
j7 147 990 3930
j8 95 670 2630
j9 137 867 3537
j10 127 812 3312
j11 105 755 3047
j12 95 660 2672
j13 95 552 2267
j14 105 770 2992
j15 595 3915 17005
j16 532 3430 14235
j17 532 3642 15120
j18 552 3530 15385
j19 105 605 2365
j20 180 1187 5017
j21 915 5635 24795
j22 850 5330 22972
k1 307 1985 8140
k2 245 1575 6350
k3 200 1310 5220
k4 180 1235 4867
k5 200 1315 5370
k6 170 1132 4570
k7 147 987 3920
k8 105 750 2917
k9 137 877 3600
k10 127 840 3430
k11 105 782 3185
k12 95 680 2737
k13 95 547 2215
k14 105 797 3090
k15 807 5342 23347
k16 745 4757 19967
k17 712 4815 20117
k18 777 4845 21310
k19 137 647 2502
k20 670 4150 17720
k21 692 4297 18252
k22 477 2892 12157
l1 457 2945 12210
l2 435 2805 11497
l3 392 2672 10932
l4 392 2615 10622
l5 245 1650 6690
l6 232 1542 6222
l7 222 1470 5850
l8 200 1410 5530
l9 137 930 3812
l10 137 925 3782
l11 137 892 3665
l12 127 865 3505
l13 105 562 2267
l14 127 867 3312
l15 1042 6877 30380
l16 980 6195 26202
l17 882 6007 25190
l18 1000 6185 27417
l19 147 750 2897
l20 840 5300 22495
l21 735 4612 19490
l22 627 3972 16815
gs0 72 530 2195
gs1 85 585 2440
gs2 95 642 2672
gs3 105 707 2950
gs4 127 787 3270
gs5 137 887 3685
gs6 147 967 4027
gs7 157 1070 4452
gs8 180 1175 4910
gs9 200 1325 5507
gs10 222 1415 5880
gs11 245 1557 6457
gs12 255 1670 6892
gs13 287 1810 7437
gs14 317 2045 8460
gs15 372 2337 9642
gs16 402 2652 10965
gs17 477 3092 12827
gs18 552 3552 14907
gs19 650 4155 17475
gs20 745 4720 19967
gs21 765 4810 20490
gs22 787 4975 21310
gs23 830 5182 22335
