patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,26927.0,31347.0,30357.0,0,0,0,1540.89555006,1394.0,1372.89184178
a2,24200.0,36100.0,32265.0,0,0,0,1756.6170755,1383.0,1266.24466391
a3,22652.0,41265.0,35218.0,0,0,0,1921.44012945,1375.0,1153.39805825
a4,22120.0,41488.0,34790.0,0,0,0,2056.4045677,1440.0,1201.80097879
a5,17305.0,17462.0,16420.0,0,0,0,4144.71662125,3701.0,3359.24856191
a6,14780.0,19525.0,17357.0,0,0,0,4771.84104938,3739.0,3029.28240741
a7,12840.0,22445.0,18347.0,0,0,0,5314.16666667,3682.0,2670.5
a8,11325.0,27737.0,19690.0,0,0,0,5988.85311475,3643.0,2312.40918033
a9,10495.0,8182.0,7830.0,0,0,0,12155.5568581,11980.0,10975.8147714
a10,9802.0,8335.0,7895.0,0,0,0,12713.7809187,12000.0,10621.9081272
a11,9237.0,8582.0,8065.0,0,0,0,13202.6743499,11930.0,10121.462766
a12,8855.0,8775.0,8117.0,0,0,0,13693.3769322,11940.0,9860.08323424
a13,8567.0,5427.0,5040.0,0,0,0,21174.6122449,22170.0,21290.9562682
a14,8407.0,5620.0,5167.0,0,0,0,21130.7833284,21480.0,20883.1569613
a15,8235.0,5295.0,4932.0,0,0,0,21783.4484761,22590.0,21199.8461538
a16,8247.0,5337.0,4867.0,0,0,0,21326.0961313,21970.0,21094.2907386
a17,8087.0,5205.0,4815.0,0,0,0,21655.848564,22410.0,20947.2062663
a18,8097.0,5177.0,4815.0,0,0,0,21686.7024673,22510.0,21144.371553
a19,8332.0,5252.0,4665.0,0,0,0,20181.7634855,20830.0,20725.0474215
a20,35323.0,43380.0,45693.0,0,0,0,677.534555308,603.3,642.340452662
a21,21417.0,39123.0,43998.0,0,0,0,1736.39698492,1221.0,651.825598581
a22,15620.0,36430.0,42015.0,0,0,0,3086.12137203,1944.0,669.08707124
b1,27652.0,32377.0,34653.0,0,0,0,1469.44946809,1371.0,1210.96897163
b2,25627.0,37860.0,42123.0,0,0,0,1616.66187262,1361.0,1017.054887
b3,24070.0,43160.0,49123.0,0,0,0,1779.34856974,1371.0,892.706576231
b4,23495.0,44163.0,50403.0,0,0,0,1889.49837806,1421.0,880.005897965
b5,17047.0,18700.0,20437.0,0,0,0,4135.86095346,3702.0,2667.24687855
b6,14822.0,21597.0,25095.0,0,0,0,4610.41608294,3677.0,2015.18968899
b7,13020.0,26607.0,32830.0,0,0,0,5131.65018264,3623.0,1425.17561113
b8,11987.0,34098.0,42293.0,0,0,0,5745.68917749,3593.0,1030.71919192
b9,10547.0,8207.0,8130.0,0,0,0,12015.8026467,11930.0,10375.2560414
b10,9792.0,8575.0,8800.0,0,0,0,12482.5843015,11880.0,9301.3431567
b11,9205.0,8880.0,9407.0,0,0,0,12913.716443,11850.0,8373.86744966
b12,8747.0,9082.0,9877.0,0,0,0,13307.1124031,11830.0,7614.8255814
b13,9172.0,5465.0,5007.0,0,0,0,19217.069371,20630.0,20793.7301587
b14,8395.0,5800.0,5050.0,0,0,0,19972.9593693,19710.0,20080.5336568
b15,8215.0,5565.0,5615.0,0,0,0,20622.7197117,21530.0,17536.7729415
b16,9152.0,6067.0,5560.0,0,0,0,16861.7990654,17390.0,16536.7523364
b17,8215.0,5955.0,5572.0,0,0,0,18892.7752028,18730.0,16635.6257242
b18,9002.0,5597.0,5560.0,0,0,0,18277.5034868,19850.0,17242.0920502
b19,8927.0,5577.0,4697.0,0,0,0,17538.2760736,17940.0,19552.398773
b20,27512.0,42105.0,47013.0,0,0,0,1053.00981267,827.4,579.893487957
b21,17452.0,39058.0,44383.0,0,0,0,2565.17791411,1644.0,593.626643295
b22,10057.0,11017.0,12487.0,0,0,0,8353.68619934,7262.0,4269.30832421
c1,25690.0,26840.0,30252.0,0,0,0,1768.28067701,1735.0,1390.93653032
c2,24657.0,30372.0,39405.0,0,0,0,1520.63736829,1376.0,639.728604472
c3,24412.0,34795.0,51340.0,0,0,0,1719.22832443,1511.0,611.622679888
c4,23762.0,34263.0,53055.0,0,0,0,1782.17157712,1551.0,506.887843526
c5,12915.0,12295.0,15012.0,0,0,0,6812.41986337,6531.0,3816.32790331
c6,11540.0,14480.0,22985.0,0,0,0,7333.96819961,6614.0,2231.09246575
c7,10815.0,18390.0,38618.0,0,0,0,7802.91824197,6565.0,1144.84168242
c8,10965.0,22020.0,53385.0,0,0,0,8135.79843861,6639.0,931.3761533
c9,9780.0,7542.0,7820.0,0,0,0,13562.9642058,13670.0,10994.1051454
c10,9332.0,7937.0,9002.0,0,0,0,13809.5832213,13630.0,9210.0537779
c11,8865.0,8315.0,10377.0,0,0,0,14117.4164291,13630.0,7572.61466701
c12,8492.0,8575.0,11572.0,0,0,0,14248.7484165,13490.0,6439.10818343
c13,10175.0,5655.0,5040.0,0,0,0,16961.1124331,18770.0,20098.7507436
c14,8502.0,6275.0,5167.0,0,0,0,18146.2688442,17160.0,18588.2035176
c15,8182.0,5822.0,6435.0,0,0,0,19267.009544,20210.0,14101.9936373
c16,10112.0,6915.0,6477.0,0,0,0,13117.1403662,13530.0,12672.8247602
c17,8300.0,6637.0,6360.0,0,0,0,16403.1257176,15670.0,12903.9121699
c18,9930.0,5980.0,6360.0,0,0,0,15119.7481918,17140.0,13655.0656309
c19,10057.0,6200.0,4880.0,0,0,0,14366.1102159,14530.0,17929.5423783
c20,34003.0,43908.0,50605.0,0,0,0,698.445505618,609.9,495.025280899
c21,10792.0,16072.0,21512.0,0,0,0,6467.26647261,5060.0,1862.51918497
c22,9665.0,9040.0,9812.0,0,0,0,9716.66776226,8963.0,5869.77074774
d1,27172.0,26377.0,31210.0,0,0,0,1614.60463193,1667.0,1314.48028674
d2,27535.0,28737.0,40653.0,0,0,0,1582.53046409,1660.0,1061.33264195
d3,28057.0,31732.0,52863.0,0,0,0,1588.4334817,1675.0,878.505192878
