patch r g b
gs2 4012 3485 2554
gs3 4237 3738 2758
gs4 4511 4018 2985
gs5 4844 4366 3284
gs6 5167 4718 3586
gs7 5588 5146 3936
gs8 6102 5645 4315
gs9 6649 6283 4821
gs10 7205 6880 5268
gs11 7845 7704 5885
gs12 8599 8594 6590
gs13 9389 9710 7390
gs14 10315 10993 8285
gs15 11330 12498 9558
gs16 12479 14376 10773
gs17 14066 16701 12610
gs18 15983 19616 14952
gs19 18491 23205 17952
gs20 20929 27012 21255
gs21 22315 29113 23056
gs22 23239 30744 24434
gs23 25828 32508 25620
