patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,16427.0,22863.0,17057.0,0,0,0,3.6,3.01,2.05
a2,14873.0,25881.0,17798.0,0,0,0,4.42,2.97,1.76
a3,13888.0,28863.0,18721.0,0,0,0,5.12,3.01,1.46
a4,13425.0,28880.0,18206.0,0,0,0,5.65,3.26,1.6
a5,10078.0,12888.0,9167.0,0,0,0,12.71,10.97,7.93
a6,8801.0,14433.0,9656.0,0,0,0,15.07,11.1,6.97
a7,7880.0,16869.0,10183.0,0,0,0,17.42,11.1,6.06
a8,6991.0,20679.0,10655.0,0,0,0,20.36,11.07,5.12
a9,6422.0,5798.0,4083.0,0,0,0,40.62,39.94,31.49
a10,6082.0,6124.0,4346.0,0,0,0,42.88,40.04,30.47
a11,5722.0,6373.0,4473.0,0,0,0,45.09,40.03,29.12
a12,5441.0,6604.0,4584.0,0,0,0,46.77,39.85,28.06
a13,5247.0,3843.0,2836.0,0,0,0,71.78,75.46,63.09
a14,5148.0,3963.0,2869.0,0,0,0,71.91,73.14,62.17
a15,5056.0,3736.0,2742.0,0,0,0,74.11,76.98,63.06
a16,5070.0,3744.0,2671.0,0,0,0,72.73,75.12,62.6
a17,5059.0,3760.0,2768.0,0,0,0,74.05,76.81,62.33
a18,5054.0,3683.0,2671.0,0,0,0,74.16,77.19,62.97
a19,5303.0,3859.0,2703.0,0,0,0,69.16,71.7,62.05
a20,23663.0,35468.0,27969.0,0,0,0,1.37,1.12,0.78
a21,14476.0,31079.0,25301.0,0,0,0,5.17,3.27,0.85
a22,10817.0,29993.0,23925.0,0,0,0,10.35,5.9,0.91
b1,17063.0,23835.0,19566.0,0,0,0,3.35,2.93,1.63
b2,15909.0,27433.0,22906.0,0,0,0,3.98,2.94,1.07
b3,14939.0,30445.0,25257.0,0,0,0,4.71,3.09,0.74
b4,14490.0,31121.0,25633.0,0,0,0,5.08,3.21,0.69
b5,10057.0,13926.0,11470.0,0,0,0,12.86,11.1,5.86
b6,9205.0,16441.0,14172.0,0,0,0,14.66,11.01,3.94
b7,8389.0,20292.0,17692.0,0,0,0,16.97,10.94,2.28
b8,7701.0,25553.0,21171.0,0,0,0,19.7,11.01,1.2
b9,6452.0,5906.0,4333.0,0,0,0,40.39,40.01,29.68
b10,6090.0,6355.0,4910.0,0,0,0,42.59,40.11,26.44
b11,5716.0,6670.0,5333.0,0,0,0,44.29,39.94,23.52
b12,5466.0,6991.0,5756.0,0,0,0,45.98,39.89,21.17
b13,5730.0,3940.0,2833.0,0,0,0,65.55,71.21,61.79
b14,5171.0,4147.0,2880.0,0,0,0,68.8,67.99,60.07
b15,5093.0,3972.0,3205.0,0,0,0,71.26,74.48,51.88
b16,5724.0,4383.0,3130.0,0,0,0,57.82,60.0,49.14
b17,5150.0,4340.0,3194.0,0,0,0,65.61,64.93,49.68
b18,5645.0,3982.0,3084.0,0,0,0,62.84,68.83,51.29
b19,5741.0,4184.0,2775.0,0,0,0,60.77,62.73,59.44
b20,18578.0,33329.0,27893.0,0,0,0,2.87,2.06,0.8
b21,11764.0,30907.0,24757.0,0,0,0,8.37,4.88,0.88
b22,6615.0,9072.0,7611.0,0,0,0,29.02,24.67,11.91
c1,15662.0,20055.0,17399.0,0,0,0,4.49,4.31,2.29
c2,15277.0,22640.0,21882.0,0,0,0,4.9,4.37,1.42
c3,15088.0,25146.0,26832.0,0,0,0,5.13,4.3,0.82
c4,14586.0,24703.0,27108.0,0,0,0,5.7,4.77,0.85
c5,7786.0,9072.0,8177.0,0,0,0,23.78,22.59,10.89
c6,7401.0,11244.0,13351.0,0,0,0,25.55,22.41,5.5
c7,7211.0,14264.0,21330.0,0,0,0,27.72,22.42,2.39
c8,7299.0,16607.0,27476.0,0,0,0,28.7,22.23,1.28
c9,6009.0,5341.0,4132.0,0,0,0,46.89,47.28,32.4
c10,5737.0,5777.0,4972.0,0,0,0,48.17,47.13,26.63
c11,5498.0,6191.0,5928.0,0,0,0,49.81,47.42,21.58
c12,5361.0,6594.0,6782.0,0,0,0,50.47,46.85,18.1
c13,6353.0,4071.0,2882.0,0,0,0,58.24,65.94,60.94
c14,5214.0,4478.0,2910.0,0,0,0,64.18,60.73,57.45
c15,5105.0,4232.0,3702.0,0,0,0,68.73,71.96,42.7
c16,6405.0,5102.0,3669.0,0,0,0,45.88,47.73,38.75
c17,5199.0,4931.0,3662.0,0,0,0,58.66,55.64,39.4
c18,6268.0,4326.0,3555.0,0,0,0,53.28,61.12,41.61
c19,6442.0,4646.0,2850.0,0,0,0,50.72,52.04,56.28
c20,22399.0,34699.0,29310.0,0,0,0,1.7,1.45,0.76
c21,7246.0,13570.0,13425.0,0,0,0,22.87,17.19,4.72
c22,6261.0,7281.0,5918.0,0,0,0,34.53,31.48,17.4
d1,16626.0,19890.0,17989.0,0,0,0,4.16,4.32,2.27
d2,17051.0,21689.0,22743.0,0,0,0,4.07,4.26,1.47
d3,17438.0,23530.0,28429.0,0,0,0,4.08,4.3,0.89
d4,16618.0,22804.0,28683.0,0,0,0,4.69,4.91,0.92
d5,7682.0,7604.0,6928.0,0,0,0,26.68,27.74,13.94
d6,7823.0,9075.0,11331.0,0,0,0,26.33,27.41,7.43
d7,8365.0,11637.0,19403.0,0,0,0,26.1,27.43,3.6
d8,9031.0,14952.0,29961.0,0,0,0,25.91,27.31,1.65
d9,5772.0,4753.0,3726.0,0,0,0,53.02,55.12,37.61
d10,5665.0,5046.0,4527.0,0,0,0,52.96,55.14,30.47
d11,5664.0,5434.0,5525.0,0,0,0,52.49,54.62,24.44
d12,5790.0,6879.0,10092.0,0,0,0,52.17,54.65,11.69
d13,7078.0,4222.0,2901.0,0,0,0,51.28,60.55,59.94
d14,5315.0,4987.0,2996.0,0,0,0,58.99,52.82,54.44
d15,5114.0,4542.0,4370.0,0,0,0,66.07,69.08,34.69
d16,7231.0,6063.0,4326.0,0,0,0,35.35,36.71,29.94
d17,5232.0,5668.0,4185.0,0,0,0,51.68,46.54,30.64
d18,6963.0,4731.0,4147.0,0,0,0,44.32,53.48,33.27
d19,7212.0,5177.0,2898.0,0,0,0,41.16,41.63,52.5
d20,9594.0,18265.0,17916.0,0,0,0,13.96,10.52,2.72
d21,8087.0,8999.0,7627.0,0,0,0,21.28,20.6,11.58
d22,6057.0,6496.0,5433.0,0,0,0,38.28,36.52,19.91
e1,17807.0,19575.0,18153.0,0,0,0,3.71,4.2,2.3
e2,19173.0,21185.0,23696.0,0,0,0,3.39,4.21,1.48
e3,20419.0,22759.0,29813.0,0,0,0,3.12,4.17,0.94
e4,20082.0,22227.0,30177.0,0,0,0,3.34,4.54,0.97
e5,11181.0,10998.0,10472.0,0,0,0,12.46,14.03,7.52
e6,12261.0,12489.0,15702.0,0,0,0,11.51,14.17,4.54
e7,13816.0,14672.0,23284.0,0,0,0,10.28,14.01,2.58
e8,15456.0,17283.0,32313.0,0,0,0,9.41,13.94,1.45
e9,7068.0,5862.0,4649.0,0,0,0,37.32,40.04,27.82
e10,7274.0,6135.0,5481.0,0,0,0,36.12,40.08,23.52
e11,7541.0,6466.0,6521.0,0,0,0,34.48,39.54,19.51
e12,8359.0,7485.0,10171.0,0,0,0,31.25,39.49,11.51
e13,7932.0,4391.0,2905.0,0,0,0,44.56,54.93,58.76
e14,5421.0,5590.0,3074.0,0,0,0,53.83,45.36,51.25
e15,5127.0,4890.0,5231.0,0,0,0,63.56,66.14,27.3
e16,8187.0,7282.0,5259.0,0,0,0,26.43,27.39,22.31
e17,5360.0,6741.0,5026.0,0,0,0,45.25,38.47,22.96
e18,7762.0,5260.0,4996.0,0,0,0,36.26,46.15,25.81
e19,8114.0,5857.0,2976.0,0,0,0,32.7,32.33,48.49
e20,7507.0,19642.0,26861.0,0,0,0,24.1,16.56,1.28
e21,8992.0,16029.0,19664.0,0,0,0,16.87,13.84,2.61
e22,6625.0,9850.0,10345.0,0,0,0,29.42,25.29,8.09
f1,25026.0,27170.0,23512.0,0,0,0,1.44,1.82,1.33
f2,27878.0,27649.0,26277.0,0,0,0,1.14,1.81,1.11
f3,29727.0,27673.0,28946.0,0,0,0,0.96,1.86,0.95
f4,29950.0,26854.0,29019.0,0,0,0,1.04,2.07,1.04
f5,15464.0,13722.0,12365.0,0,0,0,6.56,8.17,5.7
f6,18411.0,13907.0,14618.0,0,0,0,5.29,8.1,4.88
f7,22095.0,14531.0,17196.0,0,0,0,4.12,7.88,4.01
f8,26021.0,15539.0,21012.0,0,0,0,3.17,7.93,3.15
f9,7269.0,5740.0,4323.0,0,0,0,36.82,39.95,31.21
f10,7695.0,5789.0,4533.0,0,0,0,35.06,39.82,30.35
f11,8085.0,5793.0,4740.0,0,0,0,33.34,39.72,28.68
f12,9318.0,5800.0,5267.0,0,0,0,28.72,39.6,25.54
f13,8910.0,4588.0,2913.0,0,0,0,37.91,49.0,57.14
f14,5486.0,6226.0,3090.0,0,0,0,48.68,38.42,47.78
f15,5148.0,5308.0,6283.0,0,0,0,61.43,63.43,21.2
f16,9385.0,8742.0,6429.0,0,0,0,19.07,19.84,16.29
f17,5506.0,8099.0,6165.0,0,0,0,39.69,31.74,17.01
f18,8769.0,5952.0,6111.0,0,0,0,29.06,39.29,19.71
f19,9305.0,6693.0,3111.0,0,0,0,25.36,24.37,44.23
f20,7558.0,8907.0,8261.0,0,0,0,25.51,24.4,11.61
f21,6351.0,8552.0,8918.0,0,0,0,32.92,29.82,10.41
f22,5980.0,7023.0,6529.0,0,0,0,37.76,35.31,15.44
g1,22256.0,21057.0,16941.0,0,0,0,2.24,2.84,2.62
g2,25727.0,20496.0,16791.0,0,0,0,1.8,2.81,2.81
g3,27915.0,19460.0,16259.0,0,0,0,1.51,2.88,3.06
g4,28076.0,19019.0,16194.0,0,0,0,1.63,3.14,3.31
g5,13671.0,11053.0,8656.0,0,0,0,9.02,11.02,9.72
g6,16192.0,10671.0,8478.0,0,0,0,7.51,10.82,10.37
g7,19471.0,10359.0,8267.0,0,0,0,6.21,10.78,10.87
g8,23240.0,10221.0,7965.0,0,0,0,4.84,10.54,11.46
g9,7381.0,5649.0,4111.0,0,0,0,36.78,40.1,33.33
g10,7886.0,5557.0,4080.0,0,0,0,34.81,40.06,34.24
g11,8393.0,5471.0,3970.0,0,0,0,32.74,39.52,34.75
g12,10057.0,5321.0,3907.0,0,0,0,28.17,39.67,37.32
g13,9964.0,4830.0,2940.0,0,0,0,32.34,43.69,55.43
g14,5604.0,7113.0,3208.0,0,0,0,43.33,31.66,43.84
g15,5149.0,5842.0,7743.0,0,0,0,59.44,60.7,15.78
g16,10821.0,10738.0,8063.0,0,0,0,13.19,13.68,11.25
