patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,9986.0,11680.0,8705.0,0,0,0,3.6,3.01,2.05
a2,8668.0,13640.0,9124.0,0,0,0,4.42,2.97,1.76
a3,8087.0,16216.0,9970.0,0,0,0,5.12,3.01,1.46
a4,7993.0,16475.0,10082.0,0,0,0,5.65,3.26,1.6
a5,6924.0,6001.0,4730.0,0,0,0,12.71,10.97,7.93
a6,6168.0,6362.0,4898.0,0,0,0,15.07,11.1,6.97
a7,5745.0,7128.0,5164.0,0,0,0,17.42,11.1,6.06
a8,5552.0,9023.0,5797.0,0,0,0,20.36,11.07,5.12
a9,5284.0,3111.0,2436.0,0,0,0,40.62,39.94,31.49
a10,5067.0,3062.0,2396.0,0,0,0,42.88,40.04,30.47
a11,4950.0,3112.0,2475.0,0,0,0,45.09,40.03,29.12
a12,4879.0,3163.0,2533.0,0,0,0,46.77,39.85,28.06
a13,4721.0,2402.0,1744.0,0,0,0,71.78,75.46,63.09
a14,4657.0,2410.0,1743.0,0,0,0,71.91,73.14,62.17
a15,4659.0,2380.0,1737.0,0,0,0,74.11,76.98,63.06
a16,4669.0,2376.0,1720.0,0,0,0,72.73,75.12,62.6
a17,4620.0,2360.0,1731.0,0,0,0,74.05,76.81,62.33
a18,4609.0,2387.0,1742.0,0,0,0,74.16,77.19,62.97
a19,4695.0,2448.0,1702.0,0,0,0,69.16,71.7,62.05
a20,13842.0,19692.0,14440.0,0,0,0,1.37,1.12,0.78
a21,8319.0,16837.0,14939.0,0,0,0,5.17,3.27,0.85
a22,6865.0,15120.0,15165.0,0,0,0,10.35,5.9,0.91
b1,10293.0,12119.0,10168.0,0,0,0,3.35,2.93,1.63
b2,9219.0,14222.0,12494.0,0,0,0,3.98,2.94,1.07
b3,8576.0,16577.0,14795.0,0,0,0,4.71,3.09,0.74
b4,8474.0,17307.0,15688.0,0,0,0,5.08,3.21,0.69
b5,6835.0,6426.0,5973.0,0,0,0,12.86,11.1,5.86
b6,6263.0,7212.0,7399.0,0,0,0,14.66,11.01,3.94
b7,5882.0,8747.0,9964.0,0,0,0,16.97,10.94,2.28
b8,5832.0,11427.0,13629.0,0,0,0,19.7,11.01,1.2
b9,5289.0,3131.0,2524.0,0,0,0,40.39,40.01,29.68
b10,5078.0,3155.0,2647.0,0,0,0,42.59,40.11,26.44
b11,4946.0,3224.0,2807.0,0,0,0,44.29,39.94,23.52
b12,4863.0,3318.0,3030.0,0,0,0,45.98,39.89,21.17
b13,4879.0,2436.0,1728.0,0,0,0,65.55,71.21,61.79
b14,4672.0,2452.0,1751.0,0,0,0,68.8,67.99,60.07
b15,4643.0,2442.0,1903.0,0,0,0,71.26,74.48,51.88
b16,4893.0,2555.0,1880.0,0,0,0,57.82,60.0,49.14
b17,4645.0,2489.0,1890.0,0,0,0,65.61,64.93,49.68
b18,4821.0,2484.0,1893.0,0,0,0,62.84,68.83,51.29
b19,4851.0,2510.0,1709.0,0,0,0,60.77,62.73,59.44
b20,10416.0,18554.0,15461.0,0,0,0,2.87,2.06,0.8
b21,7323.0,16335.0,15787.0,0,0,0,8.37,4.88,0.88
b22,5258.0,4211.0,3859.0,0,0,0,29.02,24.67,11.91
c1,9653.0,9707.0,8844.0,0,0,0,4.49,4.31,2.29
c2,9089.0,10872.0,11712.0,0,0,0,4.9,4.37,1.42
c3,8854.0,12445.0,15828.0,0,0,0,5.13,4.3,0.82
c4,8801.0,12714.0,17088.0,0,0,0,5.7,4.77,0.85
c5,5821.0,4352.0,4269.0,0,0,0,23.78,22.59,10.89
