patch r g b
gs2 9492 5410 5380
gs3 9877 5720 5625
gs4 10495 6345 6402
gs5 11230 7042 7137
gs6 11785 7565 7735
gs7 12680 8442 8662
gs8 13627 9380 9610
gs9 14460 10222 10315
gs10 15375 11297 11272
gs11 16410 12770 12625
gs12 17710 14155 13787
gs13 19670 16500 15907
gs14 21597 18987 18115
gs15 24027 21732 20767
gs16 26425 24965 23175
gs17 29962 29067 26510
gs18 34183 34365 30442
gs19 39010 39980 34790
gs20 43818 45590 40290
gs21 45843 47798 42335
gs22 47590 49428 44670
gs23 53365 51200 45970
