patch,r,g,b,refR,refG,refB,refX,refY,refZ
a1,24805.0,32532.0,28365.0,0,0,0,1540.89555006,1394.0,1372.89184178
a2,20532.0,38945.0,29910.0,0,0,0,1756.6170755,1383.0,1266.24466391
a3,18487.0,46268.0,32552.0,0,0,0,1921.44012945,1375.0,1153.39805825
a4,17942.0,47050.0,32457.0,0,0,0,2056.4045677,1440.0,1201.80097879
a5,15610.0,17437.0,16195.0,0,0,0,4144.71662125,3701.0,3359.24856191
a6,13447.0,20420.0,17710.0,0,0,0,4771.84104938,3739.0,3029.28240741
a7,11955.0,24210.0,18742.0,0,0,0,5314.16666667,3682.0,2670.5
a8,11027.0,31135.0,20095.0,0,0,0,5988.85311475,3643.0,2312.40918033
a9,10645.0,7432.0,7640.0,0,0,0,12155.5568581,11980.0,10975.8147714
a10,10100.0,7697.0,7947.0,0,0,0,12713.7809187,12000.0,10621.9081272
a11,9897.0,8330.0,8630.0,0,0,0,13202.6743499,11930.0,10121.462766
a12,9802.0,8875.0,9152.0,0,0,0,13693.3769322,11940.0,9860.08323424
a13,9472.0,5540.0,5827.0,0,0,0,21174.6122449,22170.0,21290.9562682
a14,9260.0,5625.0,5850.0,0,0,0,21130.7833284,21480.0,20883.1569613
a15,9322.0,5535.0,5965.0,0,0,0,21783.4484761,22590.0,21199.8461538
a16,9387.0,5602.0,5922.0,0,0,0,21326.0961313,21970.0,21094.2907386
a17,9397.0,5667.0,6115.0,0,0,0,21655.848564,22410.0,20947.2062663
a18,9355.0,5615.0,6105.0,0,0,0,21686.7024673,22510.0,21144.371553
a19,9577.0,5757.0,6030.0,0,0,0,20181.7634855,20830.0,20725.0474215
a20,35580.0,49590.0,45193.0,0,0,0,677.534555308,603.3,642.340452662
a21,19010.0,47243.0,45448.0,0,0,0,1736.39698492,1221.0,651.825598581
a22,14522.0,45335.0,45843.0,0,0,0,3086.12137203,1944.0,669.08707124
b1,25572.0,33188.0,32317.0,0,0,0,1469.44946809,1371.0,1210.96897163
b2,22185.0,39518.0,38340.0,0,0,0,1616.66187262,1361.0,1017.054887
b3,20000.0,46875.0,44968.0,0,0,0,1779.34856974,1371.0,892.706576231
b4,19382.0,48718.0,47503.0,0,0,0,1889.49837806,1421.0,880.005897965
b5,15407.0,18785.0,20587.0,0,0,0,4135.86095346,3702.0,2667.24687855
b6,13595.0,22425.0,26192.0,0,0,0,4610.41608294,3677.0,2015.18968899
b7,12307.0,28402.0,33895.0,0,0,0,5131.65018264,3623.0,1425.17561113
b8,11805.0,36758.0,42548.0,0,0,0,5745.68917749,3593.0,1030.71919192
b9,10730.0,7612.0,8172.0,0,0,0,12015.8026467,11930.0,10375.2560414
b10,10122.0,7947.0,8832.0,0,0,0,12482.5843015,11880.0,9301.3431567
b11,9962.0,8700.0,10217.0,0,0,0,12913.716443,11850.0,8373.86744966
b12,9897.0,9430.0,11560.0,0,0,0,13307.1124031,11830.0,7614.8255814
b13,10070.0,5677.0,5892.0,0,0,0,19217.069371,20630.0,20793.7301587
b14,9312.0,5865.0,5880.0,0,0,0,19972.9593693,19710.0,20080.5336568
b15,9365.0,5837.0,6797.0,0,0,0,20622.7197117,21530.0,17536.7729415
b16,10175.0,6312.0,6712.0,0,0,0,16861.7990654,17390.0,16536.7523364
b17,9492.0,6337.0,6935.0,0,0,0,18892.7752028,18730.0,16635.6257242
b18,10037.0,5885.0,6637.0,0,0,0,18277.5034868,19850.0,17242.0920502
b19,10112.0,6072.0,5987.0,0,0,0,17538.2760736,17940.0,19552.398773
b20,25797.0,49560.0,48048.0,0,0,0,1053.00981267,827.4,579.893487957
b21,15737.0,48685.0,47930.0,0,0,0,2565.17791411,1644.0,593.626643295
b22,11027.0,11987.0,14460.0,0,0,0,8353.68619934,7262.0,4269.30832421
c1,23762.0,26585.0,28962.0,0,0,0,1768.28067701,1735.0,1390.93653032
c2,22045.0,30085.0,36730.0,0,0,0,1520.63736829,1376.0,639.728604472
c3,21450.0,34808.0,48750.0,0,0,0,1719.22832443,1511.0,611.622679888
c4,20790.0,34183.0,50178.0,0,0,0,1782.17157712,1551.0,506.887843526
c5,12497.0,11565.0,14950.0,0,0,0,6812.41986337,6531.0,3816.32790331
c6,11752.0,14297.0,24677.0,0,0,0,7333.96819961,6614.0,2231.09246575
c7,11432.0,18252.0,41525.0,0,0,0,7802.91824197,6565.0,1144.84168242
c8,11667.0,21827.0,56998.0,0,0,0,8135.79843861,6639.0,931.3761533
c9,10240.0,7020.0,7905.0,0,0,0,13562.9642058,13670.0,10994.1051454
c10,9930.0,7580.0,9430.0,0,0,0,13809.5832213,13630.0,9210.0537779
c11,9770.0,8202.0,11455.0,0,0,0,14117.4164291,13630.0,7572.61466701
c12,9695.0,8842.0,13255.0,0,0,0,14248.7484165,13490.0,6439.10818343
c13,10900.0,5762.0,5827.0,0,0,0,16961.1124331,18770.0,20098.7507436
c14,9505.0,6365.0,6137.0,0,0,0,18146.2688442,17160.0,18588.2035176
c15,9417.0,6177.0,7820.0,0,0,0,19267.009544,20210.0,14101.9936373
c16,11112.0,7195.0,7660.0,0,0,0,13117.1403662,13530.0,12672.8247602
c17,9567.0,7027.0,7787.0,0,0,0,16403.1257176,15670.0,12903.9121699
c18,10835.0,6265.0,7512.0,0,0,0,15119.7481918,17140.0,13655.0656309
c19,10910.0,6460.0,5892.0,0,0,0,14366.1102159,14530.0,17929.5423783
c20,34130.0,49650.0,48868.0,0,0,0,698.445505618,609.9,495.025280899
c21,11615.0,18140.0,25585.0,0,0,0,6467.26647261,5060.0,1862.51918497
c22,10805.0,9755.0,11667.0,0,0,0,9716.66776226,8963.0,5869.77074774
d1,25680.0,26085.0,29325.0,0,0,0,1614.60463193,1667.0,1314.48028674
d2,25915.0,28027.0,37520.0,0,0,0,1582.53046409,1660.0,1061.33264195
d3,26532.0,31045.0,50083.0,0,0,0,1588.4334817,1675.0,878.505192878
d4,25210.0,29745.0,51288.0,0,0,0,1771.58262351,1867.0,905.101971283
d5,12552.0,9630.0,12755.0,0,0,0,7852.75951333,8170.0,5126.60626456
d6,12467.0,11382.0,20702.0,0,0,0,7731.9558308,8131.0,3139.14746436
d7,13000.0,14507.0,35943.0,0,0,0,7581.05595161,8071.0,1783.67530784
d8,14012.0,19782.0,60708.0,0,0,0,7487.87515502,8020.0,1069.22281935
d9,10132.0,6550.0,7512.0,0,0,0,15022.4101714,15560.0,12424.7761194
d10,9982.0,6887.0,8897.0,0,0,0,14954.9332635,15600.0,10272.0753729
d11,9897.0,7235.0,10387.0,0,0,0,14723.6377246,15420.0,8329.41616766
d12,10080.0,9130.0,18817.0,0,0,0,14469.8237394,15350.0,4428.27978581
d13,11752.0,5795.0,5647.0,0,0,0,14810.1086957,16920.0,19356.8478261
d14,9577.0,6892.0,6167.0,0,0,0,16347.5246225,14680.0,17166.8286277
d15,9472.0,6540.0,9025.0,0,0,0,18300.8244275,19210.0,11369.5826972
d16,12317.0,8352.0,8832.0,0,0,0,10065.2053597,10330.0,9695.09466939
d17,9610.0,7965.0,8885.0,0,0,0,14196.241074,12970.0,9880.31705227
d18,11772.0,6605.0,8267.0,0,0,0,12563.722966,14900.0,10898.7899073
d19,12072.0,7090.0,5892.0,0,0,0,11627.0943396,11540.0,16421.2418525
d20,14192.0,25562.0,34653.0,0,0,0,3926.20380148,3076.0,1118.17634636
d21,13307.0,11900.0,14300.0,0,0,0,6130.00053952,5944.0,3960.52872943
d22,10645.0,8780.0,10965.0,0,0,0,10538.8707519,10140.0,6455.19400589
e1,28375.0,25237.0,29217.0,0,0,0,1407.42179072,1544.0,1212.54800431
e2,31040.0,26720.0,38543.0,0,0,0,1315.63069307,1546.0,965.101980198
e3,34088.0,28907.0,51010.0,0,0,0,1261.59275598,1565.0,807.0269329
e4,33278.0,27795.0,51288.0,0,0,0,1370.7276068,1714.0,851.882406982
e5,18007.0,13595.0,17560.0,0,0,0,3912.51686559,4333.0,2997.34769071
e6,19862.0,15242.0,27117.0,0,0,0,3622.82933579,4349.0,2058.15221402
e7,22652.0,17710.0,40738.0,0,0,0,3175.94313968,4188.0,1263.99258344
e8,26150.0,21497.0,60068.0,0,0,0,3068.46971473,4292.0,1025.61860102
e9,11945.0,7825.0,9067.0,0,0,0,10563.4212696,11230.0,9066.70513877
e10,12125.0,8070.0,10345.0,0,0,0,10263.8896121,11280.0,7823.46263994
e11,12360.0,8310.0,11817.0,0,0,0,9676.59921027,10980.0,6441.13030602
e12,13607.0,9572.0,18252.0,0,0,0,8704.93621622,10890.0,3951.00972973
e13,13212.0,6035.0,5700.0,0,0,0,12802.1338655,15190.0,18645.8765735
e14,9780.0,7810.0,6457.0,0,0,0,14639.8727648,12430.0,15674.281293
e15,9577.0,7115.0,10922.0,0,0,0,17193.9618955,18040.0,8830.52271617
e16,13692.0,9802.0,10175.0,0,0,0,7529.6489083,7684.0,7156.07452693
e17,9822.0,9365.0,10537.0,0,0,0,12289.0324417,10660.0,7386.76721685
e18,13020.0,7077.0,9525.0,0,0,0,10194.8959366,12680.0,8542.34886026
e19,13467.0,7887.0,5912.0,0,0,0,9129.93922652,8837.0,14581.8637201
e20,12082.0,26937.0,56913.0,0,0,0,6434.84630839,4647.0,588.168759417
e21,13435.0,20862.0,36890.0,0,0,0,4750.84660622,4005.0,1057.9245283
e22,11092.0,12875.0,19840.0,0,0,0,8016.6317388,7048.0,2773.89015439
f1,42433.0,35313.0,35613.0,0,0,0,672.98500283,774.7,744.448556876
f2,49475.0,34563.0,39150.0,0,0,0,495.72192846,663.6,560.740279938
f3,55688.0,34718.0,44830.0,0,0,0,526.972400898,771.7,625.286711543
f4,56573.0,33015.0,43743.0,0,0,0,451.931165185,711.7,501.553673374
f5,26192.0,17335.0,20000.0,0,0,0,2040.2863673,2425.0,2055.28367841
f6,33363.0,17165.0,23197.0,0,0,0,1719.0386414,2426.0,1825.91877923
f7,43338.0,17472.0,26735.0,0,0,0,1311.0,2262.0,1427.0
f8,55305.0,18572.0,32425.0,0,0,0,1053.41581171,2262.0,1234.97646349
f9,12285.0,7670.0,8352.0,0,0,0,10025.6144307,10740.0,9504.96054115
f10,12860.0,7660.0,8577.0,0,0,0,9726.42303433,10870.0,9497.7076412
f11,13532.0,7697.0,9025.0,0,0,0,9151.00725222,10680.0,8855.53585818
f12,16025.0,7677.0,9887.0,0,0,0,7953.52323838,10610.0,7948.22088956
f13,15172.0,6275.0,5700.0,0,0,0,10665.917791,13160.0,17466.8340132
f14,9897.0,8842.0,6627.0,0,0,0,12931.5443038,10340.0,14124.477396
f15,9525.0,7552.0,12775.0,0,0,0,16328.1560953,17010.0,6770.30888941
