patch code Y x y
i3 0 1182 0.2132 0.2042
i4 0 1160 0.1628 0.151
i5 0 3830 0.3133 0.3165
i6 0 3790 0.2867 0.2866
i7 0 3799 0.2647 0.2618
i8 0 3768 0.2134 0.2077
i9 0 10280 0.328 0.3344
i10 0 10400 0.3191 0.3248
i11 0 10360 0.3105 0.3142
i12 0 10450 0.2887 0.293
i13 0 8810 0.2138 0.2922
i14 0 5459 0.3587 0.2289
i15 0 14300 0.456 0.46
i16 0 1636 0.3458 0.3379
i17 0 4401 0.5195 0.3508
i18 0 5994 0.3101 0.4958
i19 0 2165 0.2115 0.1615
i20 0 11420 0.3931 0.4287
i21 0 3843 0.3708 0.4825
i22 0 9160 0.3386 0.4262
j1 0 585.9 0.2952 0.2599
j2 0 538.9 0.2626 0.2012
j3 0 535.5 0.2218 0.1499
j4 0 523.1 0.1583 0.0809
j5 0 2929 0.3237 0.3077
j6 0 2969 0.3075 0.276
j7 0 2973 0.2877 0.2436
j8 0 2914 0.2516 0.1846
j9 0 10250 0.3312 0.3327
j10 0 10320 0.3281 0.3228
j11 0 10380 0.3214 0.3094
j12 0 10360 0.3087 0.29
j13 0 7539 0.2017 0.2803
j14 0 4388 0.368 0.2171
j15 0 13410 0.4725 0.467
j16 0 1049 0.35 0.351
j17 0 3481 0.5566 0.3478
j18 0 4777 0.3053 0.524
j19 0 1409 0.1937 0.133
j20 0 9595 0.3248 0.4065
j21 0 2056 0.3102 0.5427
j22 0 743.9 0.3198 0.4069
k1 0 1147 0.3427 0.2843
k2 0 1125 0.3443 0.2365
k3 0 1119 0.345 0.2012
k4 0 1113 0.3471 0.1847
k5 0 3593 0.3427 0.3092
k6 0 3604 0.3451 0.2786
k7 0 3609 0.3451 0.2489
k8 0 3638 0.345 0.2031
k9 0 10130 0.339 0.332
k10 0 10070 0.3414 0.3199
k11 0 10070 0.3421 0.3063
k12 0 10040 0.3435 0.2838
k13 0 6251 0.1855 0.2682
k14 0 3306 0.3738 0.1997
k15 0 11760 0.4849 0.4737
k16 0 540.8 0.3503 0.3425
k17 0 2695 0.5885 0.3444
k18 0 3422 0.2824 0.5151
k19 0 806.4 0.1778 0.1052
k20 0 870.5 0.3149 0.3883
k21 0 544.6 0.2904 0.3574
k22 0 639 0.2648 0.3027
l1 0 788.4 0.3776 0.3062
l2 0 785 0.4149 0.2806
l3 0 822.3 0.442 0.2625
l4 0 867.4 0.4425 0.2593
l5 0 2821 0.371 0.3159
l6 0 2803 0.4004 0.2917
l7 0 2809 0.4306 0.2691
l8 0 2808 0.4537 0.2482
l9 0 9810 0.3496 0.3378
l10 0 9974 0.3575 0.3311
l11 0 9936 0.3657 0.3236
l12 0 9970 0.374 0.3157
l13 0 5043 0.1749 0.2535
l14 0 2731 0.3874 0.1977
l15 0 11080 0.5003 0.47
l16 0 354.6 0.4224 0.3317
l17 0 2046 0.6175 0.3353
l18 0 2566 0.2884 0.5843
l19 0 469.6 0.1646 0.0788
l20 0 299.3 0.3087 0.3125
l21 0 329.6 0.3302 0.3104
l22 0 523.3 0.3778 0.3072
gs0 0 19730 0.3333 0.3461
gs1 0 17910 0.3351 0.3443
gs2 0 16180 0.3346 0.3447
gs3 0 14300 0.3354 0.3448
gs4 0 12650 0.336 0.3451
gs5 0 11020 0.3361 0.3457
gs6 0 9686 0.3369 0.3462
gs7 0 8433 0.3361 0.3456
gs8 0 7214 0.3349 0.3448
gs9 0 6044 0.3364 0.3446
gs10 0 5207 0.3358 0.3441
gs11 0 4365 0.3378 0.3444
gs12 0 3642 0.3361 0.343
gs13 0 2948 0.336 0.3415
gs14 0 2365 0.3362 0.3391
gs15 0 1863 0.3364 0.3409
gs16 0 1427 0.3357 0.3383
gs17 0 1080 0.335 0.3383
gs18 0 803.1 0.334 0.3368
gs19 0 574.1 0.3331 0.3365
gs20 0 407.4 0.3336 0.3337
gs21 0 337.4 0.3324 0.3325
gs22 0 276.557377 0.3394 0.3191
gs23 0 234 0.3093 0.3092
