patch,r,g,b,refR,refG,refB,refX,refY,refZ
j17,8781.0,18005.0,21100.0,7132.0,19976.0,20846.0,5570.80103507763,3481.0,956.8246118458885
j18,20481.0,9470.0,20738.0,19952.0,6720.0,21057.0,2783.240648854962,4777.0,1556.1715648854956
j19,22318.0,12226.0,5279.0,21766.0,14728.0,5268.0,2052.054887218045,1409.0,7132.93007518797
j20,12421.0,6000.0,9671.0,11926.0,5890.0,9884.0,7666.558425584256,9595.0,6342.37761377614
j21,24796.0,13818.0,27684.0,24003.0,10982.0,27965.0,1175.1818684355997,2056.0,557.2832135618206
j22,27211.0,19208.0,26716.0,26278.0,19746.0,26803.0,584.6626198083067,743.9,499.6507004177932
k1,17915.0,15498.0,14257.0,16900.0,17800.0,13926.0,1382.6130847696097,1147.0,1504.8575448469926
k2,16150.0,16131.0,12158.0,15105.0,19107.0,11711.0,1637.7906976744187,1125.0,1994.0803382663848
k3,14647.0,16769.0,10777.0,13534.0,20209.0,10150.0,1918.762425447316,1119.0,2523.867793240557
k4,13981.0,17323.0,10377.0,12847.0,21009.0,9638.0,2091.6204656199243,1113.0,2821.3676231727127
k5,13351.0,10799.0,10495.0,12632.0,12420.0,10367.0,3982.2804010349296,3593.0,4045.0300776196646
k6,12332.0,11399.0,9439.0,11583.0,13473.0,9221.0,4464.251256281407,3604.0,4867.857860732232
k7,11536.0,12036.0,8508.0,10709.0,14488.0,8147.0,5003.880674969868,3609.0,5886.918441141021
k8,9846.0,13350.0,6934.0,8949.0,16474.0,6326.0,6179.763663220088,3638.0,8094.594780896111
k9,10168.0,6513.0,7508.0,9665.0,7321.0,7611.0,10343.584337349397,10130.0,10038.463855421685
k10,9814.0,6712.0,7226.0,9301.0,7660.0,7299.0,10746.789621756798,10070.0,10661.79743669897
k11,9491.0,6851.0,6843.0,8987.0,7969.0,6875.0,11246.970290564806,10070.0,11559.294809010771
k12,8832.0,7043.0,6056.0,8299.0,8424.0,5995.0,12152.00845665962,10040.0,13185.017618040874
k13,22495.0,5330.0,4278.0,22222.0,5493.0,4945.0,4323.491797166294,6251.0,12732.741610738256
k14,9086.0,15246.0,7509.0,8001.0,18844.0,6721.0,6188.196294441664,3306.0,7060.635953930897
k15,8718.0,10478.0,26890.0,7569.0,5990.0,27011.0,12038.049398353389,11760.0,1027.7897403419884
k16,25863.0,21462.0,24771.0,24875.0,23421.0,24567.0,553.1160291970803,540.8,485.0620729927005
k17,9051.0,20940.0,25248.0,7049.0,23019.0,24859.0,4605.132113821139,2695.0,525.0711382113822
k18,23514.0,11157.0,25221.0,22961.0,7372.0,25628.0,1876.0877499514656,3422.0,1345.282469423413
k19,25817.0,13684.0,5535.0,25290.0,16455.0,5575.0,1362.9079847908747,806.4,5496.0912547528515
k20,24966.0,17618.0,22861.0,24129.0,18556.0,22941.0,705.9501673963431,870.5,665.3731650785477
k21,27120.0,19489.0,23227.0,26193.0,20954.0,23250.0,442.50654728595407,544.6,536.676329043089
k22,26598.0,17450.0,18051.0,25796.0,19353.0,18208.0,558.9930624380574,639.0,913.00792864222
l1,19204.0,17704.0,18434.0,18070.0,19890.0,18126.0,972.2398432397125,788.4,814.1478772044416
l2,17082.0,18709.0,17886.0,15843.0,21455.0,17383.0,1160.7145402708481,785.0,851.8620812544544
l3,15382.0,19477.0,17408.0,14061.0,22632.0,16879.0,1384.5965714285712,822.3,925.6748571428571
l4,14961.0,19657.0,17142.0,13630.0,22929.0,16549.0,1480.2333204782108,867.4,997.5267258002315
l5,13495.0,12645.0,12373.0,12641.0,14525.0,12158.0,3313.0452674897115,2821.0,2795.9958847736625
l6,11749.0,14066.0,11958.0,10762.0,16553.0,11559.0,3847.5186835790187,2803.0,2958.668837847103
l7,10373.0,15748.0,11658.0,9249.0,18883.0,11075.0,4494.817539947974,2809.0,3134.68115942029
l8,9212.0,17699.0,11467.0,7872.0,21447.0,10657.0,5132.91539081386,2808.0,3372.5414987912977
l9,9986.0,6597.0,7889.0,9474.0,7380.0,7954.0,10152.682060390764,9810.0,9078.17051509769
l10,9488.0,6885.0,7878.0,8966.0,7797.0,7924.0,10769.269102990032,9974.0,9380.560555723348
l11,9030.0,7133.0,7702.0,8490.0,8197.0,7733.0,11228.662546353524,9936.0,9539.911001236092
l12,8528.0,7291.0,7480.0,7980.0,8491.0,7487.0,11811.149825783974,9970.0,9799.464681659805
l13,24677.0,5761.0,4272.0,24426.0,5895.0,5003.0,3479.3715976331364,5043.0,11371.119526627215
l14,9238.0,16772.0,8064.0,8040.0,20703.0,7098.0,5351.489124936774,2731.0,5731.370257966617
l15,9039.0,12102.0,31437.0,7629.0,6475.0,31494.0,11794.306382978722,11080.0,700.161702127661
l16,28642.0,24381.0,29108.0,27510.0,26312.0,28981.0,451.5617726861622,354.6,262.87651492312335
l17,9407.0,23433.0,28741.0,7054.0,25673.0,28286.0,3767.983895019386,2046.0,288.01431553832373
l18,26612.0,13077.0,29342.0,25972.0,8659.0,29706.0,1266.5315762450796,2566.0,559.0480917336982
l19,28088.0,15402.0,6348.0,27533.0,18518.0,6334.0,980.9157360406092,469.6,4508.875126903554
l20,28027.0,22973.0,26454.0,26951.0,25043.0,26382.0,295.660512,299.3,362.799488
l21,26457.0,22055.0,24460.0,25371.0,24367.0,24369.0,350.62474226804125,329.6,381.6309278350515
l22,21808.0,20486.0,22317.0,20716.0,22818.0,22188.0,643.5636067708334,523.3,536.5869140625
gs0,8182.0,3725.0,4765.0,7671.0,4086.0,4891.0,19000.314937879226,19730.0,18276.330540306273
gs1,8571.0,4147.0,5305.0,8056.0,4572.0,5409.0,17431.428986349118,17910.0,16677.159453964567
gs2,8939.0,4480.0,5788.0,8438.0,4934.0,5903.0,15705.912387583407,16180.0,15053.455178416012
gs3,9395.0,4986.0,6361.0,8894.0,5472.0,6467.0,13910.150812064963,14300.0,13263.167053364274
gs4,9880.0,5484.0,6980.0,9330.0,6027.0,7055.0,12316.430020283977,12650.0,11689.611706751662
gs5,10366.0,6046.0,7709.0,9855.0,6617.0,7757.0,10713.977437084177,11020.0,10143.37286664738
gs6,10808.0,6555.0,8234.0,10282.0,7184.0,8315.0,9425.804159445406,9686.0,8866.243212016176
gs7,11392.0,7201.0,8897.0,10850.0,7902.0,8993.0,8201.190104166668,8433.0,7766.851562499998
gs8,12012.0,7819.0,9604.0,11431.0,8558.0,9707.0,7006.869489559164,7214.0,6701.404292343388
gs9,12699.0,8665.0,10493.0,12101.0,9490.0,10507.0,5900.178757980267,6044.0,5594.997098084735
gs10,13319.0,9292.0,11033.0,12705.0,10236.0,11052.0,5081.402499273467,5207.0,4843.826503923278
gs11,13985.0,10189.0,11828.0,13363.0,11256.0,11888.0,4281.350174216028,4365.0,4027.865853658537
gs12,14803.0,11009.0,12411.0,14150.0,12208.0,12378.0,3568.7352769679296,3642.0,3407.34052478134
gs13,15791.0,12000.0,13145.0,15110.0,13399.0,13107.0,2900.521229868228,2948.0,2783.982430453879
gs14,17008.0,13146.0,14323.0,16282.0,14663.0,14273.0,2344.774402831023,2365.0,2264.5694485402532
gs15,18314.0,14264.0,15649.0,17524.0,15840.0,15543.0,1838.407744206512,1863.0,1763.5379876796717
gs16,19729.0,15506.0,17009.0,18919.0,17192.0,16912.0,1416.0328111143956,1427.0,1375.1167602719481
gs17,21166.0,16770.0,18827.0,20371.0,18520.0,18678.0,1069.4649719184156,1080.0,1042.9677800768552
gs18,22809.0,18326.0,20670.0,21937.0,20114.0,20596.0,796.4233966745844,803.1,784.9777909738716
gs19,24703.0,20047.0,22734.0,23743.0,22007.0,22613.0,568.2992867756316,574.1,563.692838038633
gs20,26018.0,21512.0,24603.0,25017.0,23556.0,24563.0,407.2779142942763,407.4,406.17914294276295
gs21,26436.0,21829.0,25034.0,25379.0,23882.0,24946.0,337.2985263157894,337.4,340.0383157894736
gs22,26548.0,22028.0,25568.0,25457.0,24048.0,25467.0,294.1509675769351,276.557377,295.9709941883423
gs23,27346.0,22289.0,25988.0,26209.0,24298.0,25936.0,234.07567917205697,234.0,288.71604139715396
